Speaker,Dialogue
senator 1,... but if we hesitate we'll lose this important source of dilithium. A trade agreement is in the best interests of the Empire.
senator 2,"Praetor, I recommend we dispatch a diplomatic mission to Celes II to open negotiations."
praetor,"Senator Tal'Aura, you disagree with the motion."
praetor,Then I will call for a vote on the motion to open trade negotiations with Celes II...
praetor,Would someone please tell me what that was?  Alert security --
praetor,-- and have them run a --
picard,Duty...
picard,A starship captain's life is filled with solemn duty.  I have commanded men in battle.  I have negotiated peace treaties between implacable enemies.  I have represented the Federation in first contact with twenty-seven alien species.  But none of this compares to my solemn duty as... Best man.
picard,"Now, I know that on an occasion such as this: it is expected that I be gracious and fulsome with praise on the wonders of this blessed union... But have you two considered what you're doing to? This is all a damned inconvenience...  ... Then there's the matter of my new counselor.  Undoubtedly some soft-spoken, willowy thing who'll be probing into my darkest psyche as she nods her head and coos sympathetically.  Isn't that right, Deanna?"
picard,"I notice Dr. Crusher laughing along with the rest of you.  As most of you know, the doctor will also soon be leaving the Enterprise, to assume command of Starfleet Medical.  Again, I'm forced to ask, Beverly, have you considered what you're doing to little ole' me?! I'll probably get some old battle- axe of a doctor who'll tell me to eat my vegetables and put me on report if I don't show up for my physical on time!"
beverly,It'll serve you right.
picard,"Really, it's not too late to reconsider.  No?  Very well then..."
picard,"Will Riker, you have been my trusted right arm for fourteen years; you have helped keep my course true and steady.  Deanna Troi, you have been my conscience and best guide, the touchstone to the better parts of myself.  You are my family.  And in proper maritime tradition I wish you full sails and a clear horizon... My friends, make it so."
beverly," Sort of like losing a son and gaining an empath, isn't it?"
picard,"Please, Beverly, this is hard enough."
beverly,If you start tearing up I promise to beam you out.  Level one medical emergency.  There's no crying in Starfleet.
leah,I've never seen your Captain so nostalgic.  Maybe he's getting soft in his old age.
geordi," Not likely.  After we installed the new Series Four replicators, he tried to order his usual tea and there was a glitch.  Had us remove the whole bunch of them and put the old ones back in."
leah,There!  Nostalgic about old replicators.
geordi,"He just likes things the way he likes them...  Of course, so do I."
worf,Romulan ale should be illegal.
geordi,"It is, old chum."
worf,Then it should be more illegal.
deanna,"Really, Captain, it was a lovely toast."
picard,"The least I could do for you, Deanna.  Besides, you know me... I'm a talking head."
deanna,And you needn't worry.  I'll brief your new counselor on everything she needs to know.
picard,The hell you will.  You know too much about me as it is... Now you promised there are no speeches during the ceremony on Betazed.
riker,"No, no speeches.  No clothes either. "
data,"Ladies and Gentlemen and invited Tran gendered species... In my study of Terran and Betazoid conjugal rites I have discovered it is traditional to present the ""happy couple"" with a gift.  Given Commander Riker's affection for archaic musical forms I have elected to present the following as my gift in honor of their conjugation."
data,"If you please, Mister Band Leader, a-one and a-two and..."
data," ""Blue skies, smiling at me, Nothing but blue skies do I see.  Blue birds, singing a song, Nothing but blue birds all day long.  Never saw the sun shining so bright, Never saw things going so right..."""
worf, Ugghhh... Irving Berlin.
deanna," All right, go ahead."
picard, May I have this dance?
deanna,"With pleasure, Captain."
beverly,Commander Worf... Do Klingons swing?
worf,I am not a swinger.  I am unwell.
beverly,"Don't worry, I'm a doctor."
beverly,I'm so glad you made it back to the Enterprise before I left.
worf,I was not suited for the life of a... diplomat.
beverly, Who'd have guessed?
picard,I've been saving this.  Chateau Picard 2267.  Batten down the hatches...
picard,They say a vintner's history is in every glass.  The soil he came from.  His past as well as his hopes for the future.
picard,So... To happy endings.
data,To happy endings.
data,"Sir.  I noticed an interesting confluence of emotion at the wedding.  I am familiar with the human concept of tears through laughter and its inverse, laughter through tears, but I could not help wondering about the human capacity for expressing both pleasure and sadness simultaneously."
picard,"I understand why it would seem confusing.  Certain human rituals -- like weddings, birthdays or funerals evoke strong and very complex emotions.  These rites carry great weight with us because they denote the passage of time."
data,And you were particularly aware of this feeling because Commander Riker will be leaving to assume command of the Titan?
picard,Will and Deanna joining the Titan. Dr. Crusher going to Starfleet Medical...
data,"And this makes you ""sad""?"
picard,"Well.  I suppose it does a bit. I'm very happy for them, of course, but I'm going to miss them.  The ship will seem... incomplete without them."
data,That is because you have a familiarity with them.  You can predict specific reactions and behavior and are comfortable in that knowledge.
picard,"Yes.  And, frankly, I envy them as well.  They've made important choices; they're going to have great challenges ahead of them. New worlds to conquer..."
picard,Seeing Will and Deanna today made me think about some of the choices I've made in my own life.  Devoting myself to Starfleet... Not marrying or having children... All the choices that led me here.
data,The choices I made have led me here as well.  This is the only home I have ever known.  I cannot foresee a reason for leaving.
picard,"You never know what's over the horizon, Data.  Before too long you'll be offered a command of your own.  Data looks at him; he has never really considered this."
data,"If I were... I believe my memory engrams would sense the absence of your specific reactions and behavior.  I would ""miss you."""
picard," Now, you make a toast."
data,To new worlds...
picard,"New worlds.  Yes Data, brave new worlds..."
suran,The fleet commanders are nervous. They've agreed to remain at their given coordinates and await his orders.  But they're anxious to know what's going on here.
donatra,I don't blame them.  We can't keep them in the dark forever.
viceroy,Don't you agree?
shinzon,Yet for generations one of those planets has been without a voice. We will be silent no longer.
shinzon,"Join us, Commanders.  Now what's the disposition of the fleet?"
suran,They're holding position.
shinzon,And?
suran," They will obey, Praetor."
shinzon,It's imperative we retain their allegiance or our great mission will be strangled before it can truly draw breath.
donatra,"They support your intentions, sir. But they require evidence of your... sincerity."
shinzon,And they'll have it.  Tell the fleet that the days of negotiation and diplomacy are over. The Almighty Federation will fall before us.  As I promised you.
shinzon,The time we have dreamed of is at hand.  The time... of conquest. 
shinzon,Cut off the dragon's head and it cannot strike back.
suran,How many Warbirds will you need?
shinzon,None.
suran,"Praetor.  You have the whole fleet at your disposal.  They supported the coup, they'll follow you."
shinzon,The Scimitar will serve my needs.
suran,But surely --
shinzon,I came this far alone...  We came this far alone.  We require no assistance from the fleet.  Now leave me to my thoughts.
shinzon,Are we prepared?
viceroy,"Yes, Praetor."
shinzon,So many years for this moment.  Bring him to me.
worf, I won't do it.
deanna,"It's tradition,Worf.  You of all people should appreciate that!  Besides, I've already seen it."
worf,A warrior does not appear without his clothing.  It leaves him... vulnerable.
riker,I don't think we're going to see much combat on Betazed.
deanna,Don't be too sure.  Mother will be there.
worf,I won't do it.
picard,"Won't do what, Mister Worf?"
worf,Captain.  I think it is inappropriate for a Starfleet officer to appear...  ... naked.
picard,"Come now, a big, strapping fellow like you?  What are you afraid of?"
worf,I'm picking up an unusual electromagnetic signature from the Kolarin system.
picard,What sort of signature?
worf,Positronic.
geordi,It's very faint but I've isolated it to the third planet in the Kolarin system.
picard,What do we know about the planet?
geordi,Uncharted.  We'll have to get closer for a more detailed scan.
picard, Theories?
data,"Since positronic signatures have only been known to emanate from androids such as myself, it is logical to theorize that there is an android such as myself on Kolarus III."
geordi,How many of you did Dr. Soong make?
data,"I thought only me, myself and Lore."
riker, Diverting to the Kolarin system takes us awfully close to the Romulan Neutral Zone.
picard, Still well on our side...
picard,"I think it's worth a look.  Don't worry, Number One, we'll get you to Betazed with time to spare."
riker,"Thank you, sir..."
picard," Where we will all honor the Betazoid traditions.  No cold feet, or any other parts of our anatomy. Now, if you'll excuse me.  I'll be in the gym."
riker, -- Warp Seven.
riker,Engage.
deanna,You better believe you're engaged!
geordi,"What do you think, Data, a long- lost relative?"
geordi,"I read six distinct positronic signatures, spread out over a few kilometers on the surface."
picard,What do we know about the population?
data,Isolated pockets of humanoids.  It appears to be a pre-warp civilization at an early stage of industrial development.
geordi,"Captain, I don't recommend transporting, that ion storm doesn't look very neighborly.  It could head this way without much warning."
picard,"Understood.  Data, Worf, you're with me."
riker," Captain, I hope I don't have to remind you --"
picard,"I appreciate your concern, Number One, but I've been itching to try out the Argo."
riker,Sir --
picard,"Captain's prerogative, Will. There's no foreseeable danger... and your wife would never forgive me if anything happened to you."
picard,"You have the bridge, Mister Troi!"
data,"The closest signature is two kilometers to the west... that direction, sir."
picard,"Thank you, Data.  Let's see what she can do."
data,I will always be baffled by the human predilection for piloting vehicles at unsafe velocities.
data," Over that rise, sir... half a kilometer."
data,It appears to be...  ... an arm.
worf, Why is it moving?
data,"Like me, it has been designed with modular power sources."
picard,"Mister Worf, if you please."
data,The next signature is one kilometer to the south.
data,The final signature is approximately 300 meters up that incline.
picard,"Mister Worf, accompany Data please."
worf," To find the head, sir?"
picard, If you don't mind.
data,Ten meters...
data,"I think it unlikely you will need your phaser to recover the cranial unit.  Of course, it could bite you."
worf,It's you.
data,The resemblance is... striking.
head,Why am I looking at me?
data,You are not looking at yourself. You are looking at me.
head, You do not look like me.
worf,No.
data, I would like to pick you up now. May I do that?
head, You have a pretty shirt.
worf,Thank you.
data,Fascinating...
head,I have two arms and ten fingers. Do you know where my arms are?  I cannot see where we are going. Where are we going? 
data,Commander!
worf,STOP TALKING!
worf,If you wouldn't mind.
data,Thank you.
head,You have a shiny head.
data,He is very observant.
picard,I can see that.
worf,Captain!
picard," Shall we try some ""unsafe velocities?"""
head, You have a red shirt.
data, This is not an appropriate time for a conversation.
head,Why?
data,Because the captain has to concentrate on piloting the vehicle.
head,Why?
picard,Data!
data,"Sorry, sir."
picard,Mister Data.  Let's make like the wind.
worf, He must have Klingon blood.
beverly,I think you have nicer eyes.
data,"Our eyes are identical, Doctor."
riker,Geordi?
geordi," Well, he seems to have the same internal mechanics as Data but not as much positronic development. The neural pathways aren't nearly as sophisticated.  I'd say he's a prototype.  Something Dr. Soong created before Data."
data," Do you have a name, sir?"
picard,Be-nign.  Dr. Soong's penchant for whimsical names seems to have no end.
head, You have a fuzzy face.
picard," Keep me informed, Number One, and, please, put him back together."
data,Can you tell me how you came to be on the planet where we found you?
beverly,Excuse me.  I have some diagnostics to run on some medical scanner things.
riker," Duty calls, gentlemen.  Carry on."
data,"Yes, please continue."
data,Do you know who I am?
data,No.  My name is Data... I am your brother.
deanna," ... and after the ceremony on Betazed, three entire weeks for our honeymoon."
riker,We're going sailing on the Opal Sea.  We've booked an old-fashioned solar catamaran.  Just us and the sun and the waves.
worf,It seems a very... soft honeymoon.
deanna, It's meant to be relaxing.
worf,A Klingon honeymoon begins with the Kholamar desert march where the couple bonds in endurance trials. If they survive the challenge they move on to the Fire Caves of Fek'lhr to face the demons of Gre'thor.
riker,"Well, that sounds relaxing too."
worf,It is... invigorating.
riker,So they've got him up and running.
worf,He's a very unusual android
riker, Runs in the family.
picard,"Earl Grey, hot."
picard,Come.  Counselor.
deanna,"Do you have a moment, sir?"
picard,"Of course, sit down."
deanna,"It's about Data  I've watched him with the B-9 and I'm troubled. Data's desire for a ""family"" is very strong.  I'm afraid he may be"
picard,You're speaking of emotional investment?
deanna,"The B-9 is like a slow child, sir. And Data, in his own way, has assumed the position of a parent or guardian.  I'm afraid he has expectations based on his own experiences.  He'll be disappointed when the B-9 cannot meet those expectations."
picard,"As much as we care for him, Deanna... we have to remember that Data isn't capable of disappointment."
deanna,"I don't believe that, sir.  We've shared many disappointing journeys."
picard,I'm going to miss you.
deanna,And I you.
picard,Acknowledged...  ... I'll talk to Data
deanna,"Thank you, sir."
picard,Admiral Janeway.  Good to see you.
picard, With or without the rest of the fleet?
picard,New Praetor?
picard,Understood.
picard,Not with the Romulans.
picard,"Just lucky, Admiral."
picard, Lay in a new course... Take us to Romulus.  Warp eight.
helm officer,"Aye aye, sir.  Course plotted and laid in..."
riker,Romulus?
picard,"I'm afraid the Opal Sea will have to wait, Number One... Engage."
data,"As you can see the habitable half of Remus is always in darkness because, like Mercury, one side always faces the sun.  Due to the extreme temperatures on that half of their world, the Remans live on the dark side of the planet."
data,"Almost nothing is known about the Reman homeworld, although intelligence scans have proven the existence of dilithium mining and heavy weapons construction."
data,The Remans themselves are considered an undesirable caste in the hierarchy of the Empire.
riker,"But they also have the reputation of being formidable warriors.  In the Dominion War, Reman forces were used as assault troops in the most violent encounters."
picard, Cannon fodder.
geordi,Then how did a Reman get to be Praetor?  I don't get it.
riker,We have to assume he had Romulan collaborators.
picard,A coup d'etat?
riker,The Praetor's power has always been the Romulan fleet.  They must be behind him.
picard, What have you learned about Shinzon?
data,"Starfleet intelligence was only able to provide a partial account of his military record.  We can infer he is relatively young and a capable commander.  He fought seventeen major engagements in the war.  All successful.  Beyond that, we know nothing."
picard,Well... it seems we're truly sailing into the unknown.  Keep at it.  Anything you can give me would be appreciated.  Dismissed.
data,At present he serves no useful function.  Dr. Soong created us to become active and useful members of society.  I do not believe he would have wanted the B-9 to live out his life in his present state.
geordi,I can't believe the Captain went along with a memory download.
data,"Captain Picard agrees that the B-9 was probably designed with the same self-actualization parameters as myself.  If my memory engrams are successfully integrated into his positronic matrix, he should have all my abilities."
geordi,He'd have all your memories too. You feel comfortable with that?
data,"I feel nothing, Geordi.  It is my belief that with my memory engrams he will be able to function as a more complete individual."
geordi,"An individual more like you, you mean."
data,Yes.
geordi,Maybe he's not supposed to be like you.  Maybe he's supposed to be just like he is.
geordi,Okay... we're done.
data, Do you know where you are?
data,Can you remember our father?
data,Do you know the name of the Captain of this vessel?
data,Is that your final answer?
geordi, Do you know my name?
