Speaker,Dialogue
star wars," Episode IV  A NEW HOPE  From the JOURNAL OF THE WHILLS  by George Lucas  Revised Fourth Draft January 15, 1976  LUCASFILM LTD."
threepio,Did you hear that? They've shut down the main reactor. We'll be destroyed for sure. This is madness!
threepio,We're doomed!
threepio,There'll be no escape for the Princess this time.
threepio,What's that?
threepio,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...
luke,Hurry up! Come with me! What are you waiting for?! Get in gear!
threepio,"Artoo! Artoo-Detoo, where are you?"
threepio,At last! Where have you been?
threepio,They're heading in this direction. What are we going to do? We'll be sent to the spice mine of Kessel or smashed into who knows what!
threepio,"Wait a minute, where are you going?"
imperial officer,The Death Star plans are not in the main computer.
vader,Where are those transmissions you intercepted?
vader,What have you done with those plans?
rebel officer,We intercepted no transmissions. Aaah... This is a consular ship. Were on a diplomatic mission.
vader,If this is a consular ship... were is the Ambassador?
vader,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador. I want her alive!"
trooper,There she is! Set for stun!
trooper,She'll be all right. Inform Lord Vader we have a prisoner.
threepio,"Hey, you're not permitted in there. It's restricted. You'll be deactivated for sure.."
threepio,"Don't call me a mindless philosopher, you overweight glob of grease! Now come out before somebody sees you."
threepio,Secret mission? What plans? What are you talking about? I'm not getting in there!
threepio,I'm going to regret this.
chief pilot,There goes another one.
captain,Hold your fire. There are no life forms. It must have been short- circuited.
threepio,"That's funny, the damage doesn't look as bad from out here."
threepio,Are you sure this things safe?
woman,I've told you kids to slow down!
fixer,Did I hear a young noise blast through here?
camie,It was just wormie on another rampage.
luke,Shape it up you guys!... Biggs?
luke,I didn't know you were back! When did you get in?
biggs,"Just now. I wanted to surprise you, hot shot. I thought you'd be here... certainly didn't expect you to be out working. "
luke,"The Academy didn't change you much...but you're back so soon? Hey, what happened, didn't you get your commission?"
biggs,Of course I got it. Signed aboard The Rand Ecliptic last week. First mate Biggs Darklighter at your service...  ...I just came to say good-bye to all you unfortunate landlocked simpletons.
luke,I almost forgot. There's a battle going on! Right here in our system. Come and look!
deak,Not again! Forget it.
luke,There they are!
biggs,"That's no battle, hot shot... they're just sitting there! Probably a freighter-tanker refueling."
luke,But there was a lot of firing earlier...
luke,"Hey, easy with those..."
camie,"Don't worry about it, Wormie."
fixer,"I keep telling you, the Rebellion is a long way from here. I doubt if the Empire would even fight to keep this system. Believe me Luke, this planet is a big hunk of nothing..."
leia,"Lord Vader, I should have known. Only you could be so bold. The Imperial Senate will not sit for this, when they hear you've attacked a diplomatic..."
vader,"Don't play games with me, Your Highness. You weren't on any mercy mission this time. You passed directly through a restricted system. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you."
leia,I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
vader,You're a part of the Rebel Alliance... and a traitor. Take her away!
commander,"Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion in the senate."
vader,I have traced the Rebel spies to her. Now she is my only link to find their secret base!
commander,She'll die before she tells you anything.
vader,Leave that to me. Send a distress signal and then inform the senate that all aboard were killed!
second officer,"Lord Vader, the battle station plans are not aboard this ship! And no transmissions were made. An escape pod was jettisoned during the fighting, but no life forms were aboard."
vader,"She must have hidden the plans in the escape pod. Send a detachment down to retrieve them. See to it personally, Commander. There'll be no one to stop us this time."
commander,"Yes, sir."
threepio,How did I get into this mess? I really don't know how. We seem to be made to suffer. It's our lot in life.
threepio,I've got to rest before I fall apart. My joints are almost frozen.
threepio,What a desolate place this is.
threepio,Where are you going?
threepio,"Well, I'm not going that way. It's much too rocky. This way is much easier."
threepio,What makes you think there are settlements over there?
threepio,Don't get technical with me.
threepio,"What mission? What are you talking about? I've had just about enough of you! Go that way! You'll be malfunctioning within a day, you nearsighted scrap pile!"
threepio,"And don't let me catch you following me begging for help, because you won't get it."
threepio,No more adventures. I'm not going that way.
threepio,"That malfunctioning little twerp. This is all his fault! He tricked me into going this way, but he'll do no better."
threepio,"Wait, what's that? A transport! I'm saved!"
threepio,"Over here! Help! Please, help!"
luke," ...so I cut off my power, shut down the afterburners and came in low on Deak's trail. I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad. Uncle Owen was pretty upset. He grounded me for the rest of the season. You should have been there... it was fantastic."
biggs,"You ought to take it easy Luke. You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous. Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall."
luke,Look who's talking. Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...
biggs,I've missed you kid.
luke,"Well, things haven't been the same since you left, Biggs. It's been so... quiet."
biggs,"Luke, I didn't come back just to say good-bye... I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know."
luke,What are you talking about?
biggs,"I made some friends at the Academy.  ...when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance..."
luke,Join the Rebellion?! Are you kidding! How?
biggs,Quiet down will ya! You got a mouth bigger than a meteor crater!
luke,I'm sorry. I'm quiet.  Listen how quiet I am. You can barely hear me...
biggs,My friend has a friend on Bestine who might help us make contact.
luke,You're crazy! You could wander around forever trying to find them.
biggs,"I know it's a long shot, but if I don't find them I'll do what I can on my own... It's what we always talked about. Luke, I'm not going to wait for the Empire to draft me into service. The Rebellion is spreading and I want to be on the right side -- the side I believe in."
luke,And I'm stuck here...
biggs,I thought you were going to the Academy next term. You'll get your chance to get off this rock.
luke,Not likely! I had to cancel my application. There has been a lot of unrest among the Sandpeople since you left... they've even raided the outskirts of Anchorhead.
biggs,Your uncle could hold off a whole colony of Sandpeople with one blaster.
luke,"I know, but he's got enough vaporators going to make the place pay off. He needs me for just one more season. I can't leave him now."
biggs,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important. What good is all your uncle's work if it's taken over by the Empire?... You know they're starting to nationalize commerce in the central systems... it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire."
luke,It couldn't happen here. You said it yourself. The Empire won't bother with this rock.
biggs,Things always change.
luke,I wish I was going... Are you going to be around long?
biggs,"No, I'm leaving in the morning..."
luke,Then I guess I won't see you.
biggs,Maybe someday... I'll keep a lookout.
luke,"Well, I'll be at the Academy next season... after that who knows. I won't be drafted into the Imperial Starfleet that's for sure... Take care of yourself, you'll always be the best friend I've got."
biggs,"So long, Luke."
threepio,Artoo-Detoo! It's you! It's you!
first trooper,Someone was in the pod. The tracks go off in this direction.
second trooper,"Look, sir -- droids."
threepio,Wake up! Wake up!
threepio,We're doomed.
threepio,Do you think they'll melt us down?
threepio,Don't shoot! Don't shoot! Will this never end?
beru,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce."
luke,It looks like we don't have much of a choice but I'll remind him.
owen,I have no need for a protocol droid.
threepio, Sir -- not in an environment such as this -- that's why I've also been programmed for over thirty secondary functions that...
owen,What I really need is a droid that understands the binary language of moisture vaporators.
threepio,Vaporators! Sir -- My first job was programming binary load lifter... very similar to your vaporators. You could say...
owen,Do you speak Bocce?
threepio,"Of course I can, sir. It's like a second language for me... I'm as fluent in Bocce..."
owen,All right shut up!  I'll take this one.
threepio,"Shutting up, sir."
owen,"Luke, take these two over to the garage, will you? I want you to have both of them cleaned up before dinner."
luke,But I was going into Toshi Station to pick up some power converters...
owen,"You can waste time with your friends when your chores are done. Now come on, get to it!"
luke,"All right, come on! And the red one, come on. Well, come on, Red, let's go."
luke,Uncle Owen...
owen,Yeah?
luke,This R2 unit has a bad motivator. Look!
owen," Hey, what're you trying to push on us?"
threepio," Excuse me, sir, but that R2 unit is in prime condition. A real bargain."
luke,Uncle Owen...
owen,Yeah?
luke,What about that one?
owen, What about that blue one? We'll take that one.
luke,"Yeah, take it away."
threepio,"Uh, I'm quite sure you'll be very pleased with that one, sir. He really is in first-class condition. I've worked with him before. Here he comes."
luke,"Okay, let's go."
threepio," Now, don't you forget this! Why I should stick my neck out for you is quite beyond my capacity!"
threepio,"Thank the maker! This oil bath is going to feel so good. I've got such a bad case of dust contamination, I can barely move!"
luke,"It just isn't fair. Oh, Biggs is right. I'm never gonna get out of here!"
threepio,Is there anything I might do to help?
luke,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
