Speaker,Dialogue
shuttle captain,"Command station, this is ST 321. Code Clearance Blue. We're starting our approach. Deactivate the security shield."
shuttle captain,We're starting our approach.
officer,Inform the commander that Lord Vader's shuttle has arrived.
operator,"Yes, sir."
jerjerrod,"Lord Vader, this is an unexpected pleasure. We're honored by your presence."
vader,"You may dispense with the pleasantries, Commander. I'm here to put you back on schedule."
jerjerrod,"I assure you, Lord Vader, my men are working as fast as they can."
vader,Perhaps I can find new ways to motivate them.
jerjerrod,"I tell you, this station will be operational as planned."
vader,The Emperor does not share your optimistic appraisal of the situation.
jerjerrod,But he asks the impossible. I need more men.
vader,Then perhaps you can tell him when he arrives.
vader,"That is correct, Commander. And he is most displeased with your apparent lack of progress."
jerjerrod,We shall double our efforts.
vader,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am."
threepio,"Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place."
threepio,"Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, you'd probably short-circuit."
threepio,"Artoo, are you sure this is the right place? I better knock, I suppose."
strange voice,Tee chuta hhat yudd!
threepio,Goodness gracious me!
threepio,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.
threepio,"I don't think they're going to let us in, Artoo. We'd better go."
threepio,"Oh, Artoo!  Artoo, wait for me!"
threepio,"Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no."
bib,Die Wanna Wanga!
threepio,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt."
bib,Nee Jabba no badda. Me chaade su goodie.
threepio,He says that our instructions are to give it only to Jabba himself.
threepio,I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things.
bib,Nudd Chaa.
threepio,"Artoo, I have a bad feeling about this."
threepio,Good morning.
jabba,Bo Shuda!
threepio,"The message, Artoo, the message."
luke,"Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life.  With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids."
threepio,What did he say?
threepio,"This can't be! Artoo, you're playing the wrong message."
threepio,We're doomed.
threepio,"Artoo, look! Captain Solo. And he's still frozen in carbonite."
threepio,What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!
ninedenine,"Ah, good. New acquisitions. You are a protocol droid, are you not?"
threepio,"I am See-Threepio, human-cy..."
ninedenine,Yes or no will do.
threepio,"Oh. Well, yes."
ninedenine,How many languages do you speak?
threepio,"I am fluent in over six million forms of communication, and can readily..."
ninedenine,Splendid! We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him.
threepio,Disintegrated?
ninedenine,"You're a feisty little one, but you'll soon learn some respect. I have need for you on the master's Sail Barge. And I think you'll fit in nicely."
jabba,Da Eitha!
oola,Na Chuba negatorie Na! Na! Natoota...
jabba,Boscka!
threepio,"Oh, no! Chewbacca!"
threepio,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!"
threepio,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty-five thousand.
threepio,"Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand."
threepio,Because he's holding a thermal detonator.
threepio,Jabba offers the sum of thirty-five. And I suggest you take it.
boushh,Zeebuss.
threepio,He agrees!
boushh,Just relax for a moment. You're free of the carbonite.
boushh,Shhh. You have hibernation sickness.
han,I can't see.
boushh,Your eyesight will return in time.
han,Where am I?
boushh,Jabba's palace.
han,Who are you?
leia,Someone who loves you.
han,Leia!
leia,I gotta get you out of here.
han,What's that? I know that laugh.
han,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault."
han,Look...
han,Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be a fool!
leia,We have powerful friends. You're gonna regret this...
leia,Ugh!
threepio,"Ohhh, I can't bear to watch."
han,"Chewie? Chewie, is that you?"
han,Ah! Chew--Chewie!
han,"Wait. I can't see, pal. What's goin' on?"
han,"Luke? Luke's crazy. He can't even take care of himself, much less rescue anybody."
han,"A...Jedi Knight? I--I'm out of it for a little while, everybody gets delusions of grandeur."
han,"I'm all right, pal. I'm all right."
luke,I must speak with Jabba.
luke,You will take me to Jabba now!
luke,You serve your master well.
luke,And you will be rewarded.
threepio,At last! Master Luke's come to rescue me.
bib,Master.
bib,"...Luke Skywalker, Jedi Knight."
luke,I must be allowed to speak.
luke,You will bring Captain Solo and the Wookiee to me.
luke,"Nevertheless, I'm taking Captain Solo and his friends. You can either profit by this... or be destroyed! It's your choice. But I warn you not to underestimate my powers."
threepio,"Master Luke, you're standing on..."
jabba,Bascka!
threepio,"Oh, no! The Rancor!"
luke,Han!
han,Luke!
luke,Are you all right?
han,"Fine. Together again, huh?"
luke,Wouldn't miss it.
han,How are we doing?
luke,The same as always.
han,"That bad, huh? Where's Leia?"
leia,I'm here.
threepio,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately."
han,"Good, I hate long waits."
threepio,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc."
threepio,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years."
han,"On second thought, let's pass on that, huh?"
luke,"You should have bargained, Jabba. That's the last mistake you'll ever make."
han,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur."
luke,"There's nothing to see. I used to live here, you know."
han,"You're gonna die here, you know. Convenient."
luke,Just stick close to Chewie and Lando. I've taken care of everything.
han,Oh... great!
threepio,"Oh, I'm terribly sor... Artoo! What are you doing here?"
threepio,"Well, I can see you're serving drinks, but this place is dangerous. They're going to execute Master Luke and, if we're not careful, us too!"
threepio,Hmm.  I wish I had your confidence.
threepio,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas."
han,"Threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. Right?"
luke,Jabba! This is your last chance. Free us or die.
luke,"Easy, Chewie."
lando,Whoa! Whoa! Help!
han,"Chewie, you okay? Where is he?"
han,"I'm okay, pal."
lando,Han! Chewie?
han,Lando!
han,Boba Fett?! Boba Fett?! Where?
han,"Lando, grab it!"
lando,Lower it!
han,I'm trying!
han,"Whoa! Whoa! Grab me, Chewie! I'm slipping."
han,Grab it! L--Lando. Grab!
han,Grab it! Almost... You almost got it!
lando,Hold it! Whoa!
han,"Gently now. All... all right. Now easy, easy. Hold me, Chewie."
han,"Chewie! Chewie, give me the gun. Don't move, Lando."
lando,"No, wait! I thought you were blind!"
han,It's all right. Trust me. Don't move.
lando,All right! A little higher! Just a little higher!
han,"Chewie, Pull us up! Come on! Okay... up, Chewie, up!"
leia,Come on. We gotta get out of here quick.
threepio,"Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!"
luke,Point it at the deck!
threepio,"Artoo, where are we going? I couldn't possibly jump."
luke,Come on!
luke,Let's go! And don't forget the droids.
lando,We're on our way.
han,I don't know. All I can see is a lot of blowing sand!
leia,That's all any of us can see.
han,"No, I'm thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn't just sleepin'. It was a big wide awake nothing!"
han,Why don't you leave that crate and come with us?
luke,I have a promise I have to keep first... to an old friend.
lando,"Figured if I left you frozen like that you'd just give me bad luck the rest of my life, so I might as well get you unfrozen sooner or later."
leia,"He means ""You're welcome."""
lando,"Come on, let's get off this miserable dust ball."
luke,I'll meet you back at the fleet.
luke,I will.
luke,"That's right, Artoo. We're going to the Dagobah system. I have a promise to keep... to an old friend."
vader,The Death Star will be completed on schedule.
emperor,"You have done well, Lord Vader. And now I sense you wish to continue your search for young Skywalker."
vader,"Yes, my Master."
emperor,"Patience, my friend. In time he will seek you out. And when he does, you must bring him before me. He has grown strong. Only together can we turn him to the dark side of the Force."
vader,As you wish.
emperor,Everything is proceeding as I have foreseen.
yoda,Hmm. That face you make. Look I so old to young eyes?
luke,No... of course not.
yoda,"Soon will I rest. Yes, forever sleep. Earned it, I have."
luke,"Master Yoda, you can't die."
yoda,Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things... the way of the Force.
luke,But I need your help. I've come back to complete the training.
yoda,No more training do you require. Already know you that which you need.
luke,Then I am a Jedi?
luke,Master Yoda... is Darth Vader my father?
yoda,Mmm... rest I need. Yes... rest.
luke,"Yoda, I must know."
yoda,Your father he is.
yoda,"Told you, did he?"
luke,Yes.
yoda,"Unexpected this is, and unfortunate..."
luke,Unfortunate that I know the truth?
luke,"Well, I'm sorry."
yoda,"Remember, a Jedi's strength flows from the Force.  But beware.  Anger, fear, aggression. The dark side are they.  Once you start down the dark path, forever will it dominate your destiny."
yoda,"Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or suffer your father's fate, you will. Luke, when gone am I  There is...another...Sky...Sky...walker."
luke,"I can't do it, Artoo. I can't go on alone."
luke,Obi-Wan! Why didn't you tell me?
luke,You told me Vader betrayed and murdered my father.
ben,"You father was seduced by the dark side of the Force. He ceased to be Anakin Skywalker and became Darth Vader. When that happened, the good man who was your father was destroyed. So what I have told you was true... from a certain point of view."
ben,"Luke, you're going to find that many of the truths we cling to depend greatly on our own point of view."
ben,"I don't blame you for being angry. If I was wrong in what I did, it certainly wouldn't have been for the first time. You see, what happened to your father was my fault."
ben,Anakin was a good friend.
ben,"When I first knew him, your father was already a great pilot. But I was amazed how strongly the Force was with him. I took it upon myself to train him as a Jedi. I thought that I could instruct him just as well as Yoda. I was wrong. My pride has had terrible consequences for the galaxy."
luke,There's still good in him.
ben,I also thought he could be turned back to the good side. It couldn't be done. He is more machine now than man. Twisted and evil.
luke,"I can't do it, Ben."
ben,You cannot escape your destiny.
luke,I tried to stop him once. I couldn't do it.
ben,"Vader humbled you when first you met him, Luke... but that experience was part of your training. It taught you, among other things, the value of patience. Had you not been so impatient to defeat Vader then, you could have finished your training here with Yoda. You would have been prepared."
luke,But I had to help my friends.
ben,"To be a Jedi, Luke, you must confront and then go beyond the dark side - the side your father couldn't get past. Impatience is the easiest door - for you, like your father. Only, your father was seduced by what he found on the other side of the door, and you have held firm. You're no longer so reckless now, Luke. You are strong and patient. And now, you must face Darth Vader again!"
luke,I can't kill my own father.
ben,Then the Emperor has already won. You were our only hope.
luke,Yoda spoke of another.
ben,The other he spoke of is your twin sister.
luke,But I have no sister.
ben,"Hmm. To protect you both from the Emperor, you were hidden from your father when you were born. The Emperor knew, as I did, if Anakin were to have any offspring, they would be a threat to him. That is the reason why your sister remains safely anonymous."
luke,Leia! Leia's my sister.
ben,"Your insight serves you well. Bury your feelings deep down, Luke. They do you credit. But they could be made to serve the Emperor."
luke,"But you can't let her get involved now, Ben. Vader will destroy her."
ben,"She hasn't been trained in the ways of the Jedi the way you have, Luke... but the Force is strong with her, as it is with all of your family. There is no avoiding the battle. You must face and destroy Vader!"
han,"Well, look at you, a general, huh?"
lando,"Oh, well, someone must have told them about my little maneuver at the battle of Taanab."
han,"Well, who says they didn't.  But I ain't crazy. You're the respectable one, remember?"
mon mothma,The Emperor has made a critical error and the time for our attack has come.
