Speaker,Dialogue
luke," Echo Three to Echo Seven.  Han, old buddy, do you read me?"
han," Loud and clear, kid.  What's up?"
luke," Well, I finished my circle.  I don't pick up any life readings."
han," There isn't enough life on this ice cube to fill a space cruiser. The sensors are placed, I'm going back."
luke, Right.  I'll see you shortly. There's a meteorite that hit the ground near here.  I want to check it out.  It won't take long.
luke,"Hey, steady girl.  What's the matter?  You smell something?"
luke,Aaargh!
han,Chewie!
han,"All right, don't lose your temper. I'll come right back and give you a hand."
rieekan,Solo?
han,"No sign of life out there, General. The sensors are in place.  You'll know if anything comes around."
rieekan,Commander Skywalker reported in yet?
han,No.  He's checking out a meteorite that hit near him.
rieekan," With all the meteor activity in this system, it's going to be difficult to spot approaching ships."
han,"General, I've got to leave.  I can't stay anymore."
rieekan,I'm sorry to hear that.
han,"Well, there's a price on my head. If I don't pay off Jabba the Hut, I'm a dead man."
rieekan,"A death mark's not an easy thing to live with.  You're a good fighter, Solo.  I hate to lose you."
han,"Thank you, General."
han," Well, Your Highness, I guess this is it."
leia,That's right.
han," Well, don't get all mushy on me. So long, Princess."
leia,Han!
han,"Yes, Your Highnessness?"
leia,I thought you decided to stay.
han,"Well, the bounty hunter we ran into on Ord Mantell changed my mind."
leia,"Han, we need you!"
han,We?
leia,Yes.
han,"Oh, what about you need?"
leia, I need?  I don't know what you're talking about.
han, You probably don't.
leia,And what precisely am I supposed to know?
han,Come on!  You want me to stay because of the way you feel about me.
leia,Yes.  You're a great help to us. You're a natural leader...
han,No!  That's not it.  Come on. Aahhh - uh huh!  Come on.
leia,You're imagining things.
han,Am I?  Then why are you following me?  Afraid I was going to leave without giving you a goodbye kiss?
leia,I'd just as soon kiss a Wookiee.
han,I can arrange that.  You could use a good kiss!
threepio,Don't try to blame me.  I didn't ask you to turn on the thermal heater.  I merely commented that it was freezing in the princess' chamber.  But it's supposed to be freezing.  How are we going to dry out all her clothes?  I really don't know.
threepio,"Oh, switch off."
han, Why do you take this apart now? I'm trying to get us out of here and you pull both of these.
threepio,"Excuse me, sir."
han, Put them back together right now.
threepio,"Might I have a word with you, please?"
