Speaker,Dialogue
written by, Frank Fenton & Winston Miller
shooting draft," JULY 22, 1947"
stickman,Eight the hard way! Pay the line!
stickman,Seven a winner.
haven,"No, thanks..."
stellman,Know him?
prince,No. Why?
stellman,He just seems kind of free with that money.
haven, Whiskey -- like you'd pour it for yourself.
blonde,Don't you know it's no fun to drink alone?
haven,Not till after the first one.
stellman,You a stranger here?
haven, What kind of whiskey was that?
barman,"On the bottle it says Rye -- but the way you take it, I don't see what difference it makes."
haven,Another Rye.
stellman, You didn't answer my question.
haven,I'm a stranger everywhere.
stellman,Got a job?
haven,"Listen, soldier. I know that one, too. Got a job, stranger? No? Why don't you join the Army? Three meals a day, a place to sleep, a nice warm uniform --"
stellman,It has a little more than that.
haven, It's got Second-Lieutenants.
stellman,If you want to make it a personal matter --
haven," I don't make it anything, soldier. You tried to sell something and I didn't buy it -- so why don't you just beat it?"
stellman,"If I weren't in uniform, I might teach you some manners."
haven,"If you could teach me anything, you wouldn't be in a uniform."
barman,"You couldn't be looking for trouble, could you?"
haven,"I could, but I'm not."
barman,"That's fine, because this is one of the best places West of the Atlantic Ocean to find it."
haven,That was my first impression.
barman, That Lieutenant's a nice young boy.
haven,"I don't doubt it, but his mouth is too big -- like your ears."
blonde,How is it now?
haven,What?
blonde,Drinking alone?
haven, It's all right -- try it.
charlie,It's not a good habit if it makes you pick fights.
haven,Only with Second Lieutenants.
charlie,We like Second Lieutenants here.
charlie,"You see -- here everybody fights, except the Army."
haven,I wouldn't know --
charlie, So anyone who doesn't like the Army --
haven,"I know what you mean, but I'm afraid I'll have to come back. I like the way you sing."
croupier,"Okay, Charlie?"
charlie,That's his limit.
croupier,There's a sucker getting hot with the dice at Ed's table.
charlie,Well -- cool him off.
stellman,Captain Iles -- the Commanding Officer of the Post.
stellman,Mr. Haven -- sir.
iles,I see you finally got here.
haven, I seem to finally get everywhere.
iles," Mrs. Caslon, -- Mr. Haven."
iles,You've met Mr. Stellman.
stellman,"It came off beautifully. He picks a very good fight. In fact, I think I'm still a little sore at him."
iles," Sit down, Mr. Haven."
haven,"Thank you, Captain."
iles,So you're operating under sealed orders.
iles, All this mumbo jumbo is characteristic of the Military Information Department.
haven,We use it as sparingly as possible.
iles,"I've been in this territory for a number of years -- and I think it might be a little rougher here than a suburb of Washington, D.C."
haven,Very possibly.
iles,Then why is M.I.D. sending you out here?
haven,Because two soldiers have been murdered.
iles,And they think I can't handle that?
haven,They merely know you haven't.
iles,"I have only ninety-four men on the post, with Indian trouble up north. The War Department has refused to send reinforcements, or am I boring you?"
