Speaker,Dialogue
tone,Who is it?
eazy,"Eric! Man, we been through this shit a thousand times."
eazy,Now where the money at?
tone,"Man, you heard what happen? My best runner got cracked. They sent his young ass to Y.A. --"
eazy,The fuck that got to do with me?
eazy,Do I look thirsty to you?  Where my ends at?
tone,"Why you so ruthless, Eric, damn! You don't want nothin' to drink? What you want --  -- you want some pussy?"
eazy,Yep. But not from these strawberry bitches you got right here.
tone,"So you just gonna disrespect my house like that, Cuz?"
eazy,"Dumb ass, this a dope house! It's already disrespected."
jittery dude, Well fuck it then -- You gonna have to let us hold on to that right there.
eazy,"Yeah, do what you gotta do -- `Cause I got my homies parked across the street from your momma's house. I don't show up. They show out..."
jittery dude,"Oh, shit --"
verna,What happened?
dre,What happened with what?
verna,"Andre, boy, don't play with me. Do you even care how it makes me look? Call in favors to get your thoughtless ass an interview? And you can't even show up?"
dre," Sorry, I just been so focused on this DJing that I forgot --"
verna,"You have a child, Andre. And spinning records ain't payin' none of the bills around here right now."
dre,"That ain't even true, momma. I get paid --"
verna,"Fifty dollars? Damn, you a billionaire!"
dre,It's a start --
verna,"Andre, you know the rules around here. In this house, you gonna work or go to school. I don't care if you gonna be a janitor --"
dre,"-- long as I own the company. Yeah, I know."
verna,But you don't own the company. Lonzo does.
dre, You don't care what I'm fighting for.
verna,"People used to tell me I was too young when I had you -- Said I wouldn't be shit, said you wouldn't be shit. Now I been workin' my ass off to get us here and I refuse to let you throw it all away."
tyree,"Grabbed some of your stuff, man."
dre,Good lookin' out.
tyree,When you comin' back?
dre,I don't know. Gotta figure some things out.
tyree,Can I come with you?
dre,You been fightin' for your own room this whole time and now you wanna come with me?
tyree,You know she's just want the best for you.
dre,"I know, T. I want the best for me too -- that's way I gotta go."
bus driver,Hey what's going on? --
ice cube,Fuck you niggas. I'm about to go write a rap about yo' drunk ass Momma. That bitch looks like The Egyptian Lover.
cube,"Nah, I already know how to gangbang. I'm just tryin' to learn how to make some of this white people money."
ice cube,Well take yo' ass to school sometimes.
cube,Where Dre at?
cube,What you mixin'?
jinx,"Crazy, right!"
dre,"Wuddup, Cube! Got them rhymes?"
cube,You know it.
jinx,Yup. His momma kicked him out for that mouth.
cube,Man that mouth always gettin' you in trouble. We got that in common.
dre,Think you ready for Doo-to's?
cube,Damn straight.
dre,"`Cause you know that's Compton, right? They got bodybags at the door."
cube,Ain't worried about all that. I'mma come with it.
dre,"Yeah, you better, `cause if your shit ain't tight, you might end up in one."
cube,Nothin'. Just goin' home --
cube,How you figure we in a gang? `Cause we black?
cube,"Officer, can you please explain why you jackin' us?"
hosie jackson,Hey! What the hell's goin' on out here? Those boys all live on this block!
doris jackson," Officer, that's my son!"
doris jackson,I just wanna know what's going on --
ice cube,"You ain't gotta talk to my moms like that, man!"
security guard,You really wanna be here? This club is full of Pirus.
ren,We straight.
eazy,"Thanks for the tip, homie."
dre,"Yo, Yella, man -- Lonzo comin'!"
lonzo,"Gonna make sure nothin's poppin' off outside. Keep them fat asses shakin'. None of that rap bullshit, you hear? I want people thinkin' `bout pussy not pistols.  And Yella, I saw you talkin to my lady. Keep your fuckin hands to yourself."
dre,"Why you fuckin with that nigga's girl, man?"
yella,Why not?
dre,Compton! I got my homie -- he's about to get his rhyme on for y'all! Give it up for Ice muthafuckin' Cube!
ice cube,"Here's a little somethin' about a nigga like me. Never shoulda been let out the penitentiary. Ice Cube would like to say, That I'm a crazy muthafucka from around the way. Since I was a youth, I smoked weed out, Now I'm the muthafucka that ya read about. Takin a life or two, that's what the hell I do. Don't like how I'm livin', well fuck you!"
lonzo,"I'm this close to firin' your monkey ass! You tryin' to start a riot up in here?! You know I don't want that hardcore shit played in my club, but I turn my back and you do that shit anyway..?"
dre,I'm just tryin' to keep you in business. Open your eyes. They went crazy to that shit --
lonzo,"You're up on that stage `cause I put you there. You're a bad ass DJ, I'll give you that, but you don't listen and I'm gettin' real tired of arguing all the time. You know it's plenty DJs out there who'll play what I want `em to play. Guys that don't bite the hand that feeds 'em. Now you take a backseat to that shit."
yella,"Don't trip off him, homie."
dre,"Man, Lonzo ain't got no vision."
eazy,"Dr. Dre, how you been doin'?"
dre,"What up, E? Been a minute."
eazy,You know. Out here on the grind -- Nice jacket.
dre,It's the uniform. I make it work.
eazy,"You remember Ren from Kelly Park, right?"
ren,"Wuddup, Dre."
eazy,Heard you been spendin' a lot of time at your auntie's house. How's the couch life?
dre,It's fucked up. I'm too tall for that shit. Plus I got my woman and baby livin' there. It's hard. But everybody can't do what you do.
eazy,"Yeah, but what I do is playin' out, fast. Muthafuckas are gettin' locked up and laid down out here left and right. Time to make a few changes."
dre,"Yeah. Change ain't bad. Shit, I'm tryin' to make a few changes my self."
eazy,What you mean?
dre,"Man, you should think about dumpin' some money into this music shit. I got some ideas --"
dre,Shit I gotta get back up there. Let's talk about this later. Think about it...
tyree,"Nigga, you heard me!"
dre,What he do!?
tyree,Muthafucka over here lookin' at me like he know me!
dre,"Tyree, you gotta stop doin' this shit, man!"
officer 1,We told everybody to clear this parking lot! What's going on!?
dre,"We got this, Officer --"
officer 1,I didn't ask you what you got! Get the fuck home!
dre,I am home.
officer 1,If you don't start walking --
eazy,"They got you for carrying records? That's some gangsta shit, Dre."
dre,Cops will throw a nigga in jail for anything.
eazy,"Lonzo just left you here, huh?"
dre,Guess he's sick of bailing my ass out.
eazy,Mind gettin' your funny lookin' ass in the car before they arrest you for some other dumb shit?
dre,"Yeah, and..?"
eazy,It's interestin' --
dre,"Interestin'? Tell me this, how long you think that shit you doin' gonna last, huh? You ever heard of a happy ending in that game?"
eazy,"Shit, man, this all comin' from the nigga I just bailed out."
dre,"Listen, if you can slang dope, you can slang records. You got a mind for this shit, E."
eazy,Okay so what then -- That nigga last night? Is that what we doin'?
dre,"What, Cube? Nah, he in a group right now, got some other business goin' on. But I got this group called H.B.O. from the east coast. Dope voices, and Cube wrote a song for `em that's crazy."
hbo 1,"What the fuck is ""Gankin""? And what's a ""6-4""?"
hbo 2,"I dunno, too much cussin' to get radio play. And honestly, nobody gives a fuck about Compton --"
dre,Y'all got somethin' to say about Compton? Cause we might have a problem up in this bitch.
hbo 1,This ain't us. I ain't fuckin' with this Jheri curl bullshit --
cube,"Fuck you then. Wearing a Kangol don't make you L.L. Cool J nigga, remember that."
hbo 2,Yeah. Now what?
cube,"What you wanna do, mark ass nigga?"
eazy,"Well there goes the talent. Don't know a whole lot about the music game, but we can't start a label without talent."
dre,"Well shit, why don't you get on the mic and try it?"
eazy,"What? Fool, I ain't no rapper."
dre,"You already spent the money. Don't you get it? Man, this song is all about you! This song is about Eazy-muthafuckin'-E! Now get in the booth. Let me deliver my side of this shit."
eazy,Fuck you doin'?
dre,"Just lemme produce. Get comfortable, man."
eazy, Cruisin' down the street in my 6-4 - -
dre,Hit that first beat hard. CRUISE-in down the street. CRUISE-in.
eazy,Cruisin' down the street in my 6-4 - -
cube,That ain't it...
eazy,"Get that dry-ass Jheri curl outta here, maybe I can concentrate."
cube,You kickin' me out?
dre,Just gimme the words.
eazy,Nigga what?
dre,Say that shit with me -- CRUISE-in - -
eazy," Dre, you know this shit is hopeless, right?"
dre,That! See how you just said that shit? Like you believe it!
eazy,`Cause I do.
dre,"So say this shit like you believe it. Like it's muthafuckin' Sunday and you cruisin' down the street in that dope-ass 6-4. Feel that shit, like its ya own words."
eazy,"You really gonna make me do this, huh?"
dre,"Hell yeah! That shit was tight. Only 59 more lines, E. But we gonna get through it. Hit that next line - -"
yella,"Lonzo, what you think?"
lonzo,"That some waste of time shit right there and trust me, it ain't gonna work. Won't get no radio play."
dre,You never know-- We might do a radio version and take it up to KDAY and see what happens.
lonzo,"This reality rap is never going to work, Dre. You need to hurry up and rap this shit up and finish that slow jam I had you working on. I'm serious, Dre! Hurry up with this..."
dre,"Yo, I don't know about working on this slow stuff anymore. After this I'm going to work on songs with DOC."
lonzo,"It's not a request, Dre."
dre,"Yo, if Lonzo don't like it, you know that shit is dope."
ren,"Damn, Dre -- You just turned a hustler into a rapper."
eazy,"Now this right here..? This some ruthless shit for real. Dre, you a muthafuckin' genius. And Cube, you got more of them stories to tell?"
