Speaker,Dialogue
seth,Yo.
evan,What's up?
seth,"I was doing research last night, for next year, and I think I'm gonna go with Bang Bus."
evan,Which one's Bang Bus?
seth,"The one where they bang the chicks on the bus. Thirteen bucks a month. Total access, live Web Cam feed. The works. It'll be like I'm on the bus, banging them myself."
evan,"That stuff's bullshit, they're all faking it. And plus, your parents are gonna look at the bill."
seth,It shows up under a different name. 
evan,Weapons of Ass Destruction's out then.
seth,I could tell my parents I'm doing a project on Rome and I have to research orgies.
evan, Yeah. Just tell them your taking a class on blow jobs.
evan's mom,"Thanks for taking him, Seth."
seth,Don't touch that!
evan's mom,You two are so funny. I can't imagine what you'll do without each other next year. Evan told me you didn't get into State.
seth,"Yeah, you know. I got some other places. Good places. I think we'll be fine."
evan's mom,Are you going to miss each other?
evan,Miss each other? No!
seth,That's disgusting.
mom,"Bye, boys."
seth,"I am truly, truly jealous that you got to suck on those tits when you were a baby."
evan,"Fuck you, man."
evan,"You're being an idiot, man. You really shouldn't park there."
seth,Fuck it. I'm a senior about to graduate. They should be suckin' my balls. It's the least they can do for stealing three years of my life.
evan,What the hell's wrong with Dimitri?
seth,"Oh, yeah dude, I forgot to tell you. I knocked the fuckin' shit out of him in capture the flag last week."
evan,"Good! 9th Grade Camp he gave me whiplash in ""King of the Ring."" I fucking hate that guy."
seth,They're like baby toes.
evan,It's not fair. I have to hide every erection I get.
seth,"Sometimes I get boners so big I can't hide them. And then I get nervous and my heart starts pounding, and it all just, like, feeds my boner. It just becomes this...thing...that's attached to me. And it won't go away."
evan,"Just imagine if girls weren't weirded out by our boners and they actually wanted to see `em, like this shit."
seth,"You know it's been, like, a year and a half since I've seen an actual human female nipple. Besides my mom's. I saw it last month, and it was sick."
evan,"Holy shit. Liat was two years ago? I guess so. She was insanely hot, though."
seth,Exactly. Too hot. That's what sucks.
evan,"How can that possibly suck? I'd be fuckin' psyched if I'd gotten with a girl that hot. You got, like, two dozen handjobs!"
seth,"And three quarters of a blowjob, But that was fuckin' it. It was the peak of my ass- gettin' career, and it happened way, way, way too early."
evan,You're like Orson Welles.
seth,"Exactly! If I'd built up to it, I'd probably at least be having steady sex with a mediocre-looking girl at this point. I honestly now see why Orson Welles ate his fat ass to death."
evan,"You'll have sex in college. Everyone does. And if not, you'll have the Bang Bus."
