Speaker,Dialogue
final revised draft,Copyright c1997 Ego Film Arts All Rights Reserved
mitchell,"Yes?  Yes, I'll accept the charges."
zoe,"Daddy, it's me...How are you doing? That's great...Where are you? What's that sound?"
mitchell,I'm in a car wash.
zoe,"A car wash!  Wow, I've never talked to you when you've been in a car wash.  Make sure you've got the windows closed."
zoe," Remember that time we were having the car washed and I started playing with the automatic window?  How old was I, Daddy?  Five or six?  I got absolutely soaked, remember?"
mitchell,"Why are you calling me, Zoe?"
zoe,"Why am I calling you?  You're my father.  I'm not supposed to call you?  What's the matter with wanting to talk to you, Daddy?"
mitchell,"Nothing's wrong with trying to talk to me, Zoe."
zoe, So what's the problem?
mitchell,The problem is I have no idea who I'm talking to right now.
zoe," 'Cause you think I'm stoned, Daddy? 'Cause you think I've got a needle stuck in my arm?  Is that what you're thinking, Daddy?"
zoe,"Are you wondering if I scored, Daddy, and I'm calling you for money?  That I'm begging?  God, I don't fucking believe it!"
zoe," Daddy!  Are you listening to me, Daddy?!"
mitchell,Yes.
zoe,Why can't you talk to me?
mitchell,I...I just need to know what state you're in so I know...how to talk to you...how to act...
mitchell,Need a hand?
peter,"Sure, it you could find a towel in this bag.  I know my wife packed one in there..."
mitchell,You always think you're prepared for these things.
peter,Tell me about it.
mitchell,How old is she?
peter,Almost three.
mitchell, Is this it?
peter,Perfect.
mitchell,Here we go.
peter,Thanks.
mitchell,"Yes, operator, I'm in a strange situation.  I'm calling from my car, and I appear to be stuck in a car wash...A car wash, yes...Is there anyway you could...Hello?...Hello?..."
mitchell,Hello?
sam,That was great.
nicole,Really?
sam,You're going to blow everyone away.
nicole,You mean it?
sam,Of course.
nicole,You don't sound like one hundred percent absolutely sure.
sam,I am.  Really.  It was awesome.
nicole,"I'm so happy, Daddy."
mitchell,Hello.
mitchell,"No, I...had an accident."
risa,Will you be spending more than a night?
mitchell,Hard to say.  I might have...some business here.
wendell,Are you a reporter?
mitchell,No.
wendell,You here about the accident?
mitchell,"Yes.  I'm a lawyer.  I realize this is an awful time, but it's important that we talk."
sam,Let's sit down.
sam,What's so funny?
nicole,Just the way Dolores gets so excited about bringing the kids to check out the animals.  It's like the biggest thing in her life.
dolores,"Alright, kids.  I want you all to listen to me.  Rule number one  No one is allowed to stick their fingers into the cages.  I don't care how cute some of these animals may be, the fact is they don't like being here, no matter how many ribbons some of them have won..."
wendell,Kyle Lambston's a drunk.  Nobody likes him.  He's a nasty piece of work.
mitchell,In what way?
wendell,Been drinking since high school. Fucked himself up.  Used to be smart enough.
mitchell,Any criminal record?
wendell,Probably half a dozen traffic convictions.  Drunk driving.  Lost his licence.  That's why he don't work no more.
wendell,Can't get off that shitty dump they live on.  What little money comes in goes to booze.
mitchell,How does the family survive?
wendell,"Don't know.  Food banks, welfare, church charity.  They scrape by."
mitchell,What about Doreen?
risa,She...she was a friend of mine.
mitchell,When?
risa,"At school.  She fell for Kyle just before we graduated.  Got pregnant, and...went to live in a trailer up on a woodlot Kyle's dad used to own. Kyle started spending more and more time at the Spread Eagle..."
mitchell,That's the local bar?
risa, ...coming home drunk and I guess feeling trapped by his life and blaming her for that...and...
wendell,Taking it out on her.
mitchell,He beat her?
risa,What do you mean?
mitchell,People who will help our cause.
risa,"Well, there's the Hamiltons.  Joe and Shelly Hamilton."
wendell," Yeah, right."
mitchell,"That's great, Wendell.  That's the sort of thing I need to know.  So it doesn't come back to haunt our case later on."
risa,There's the Prescots...
wendell,That sonofabitch owes thousands to the bank and half the businesses in town.  He's about to lose his house and car.
risa,But Charlene...
wendell,Charlene's over at the Spread Eagle every other night.  Sleeps with whatever she can get her hands on. She'll go down for a pat on the head and a fistful of peanuts.
risa,The Ottos.
mitchell,Tell me about the Ottos.
risa,Wanda and Hartley.  They lost Bear. He was their adopted son.  A beautiful boy.  Indian.
mitchell,Indian?
risa,Yes.
mitchell,That's good.  Judges like adopted Indian boys.  Tell me more about the Ottos.
risa,They're smart.  Been to college. They moved here from the city about a dozen years ago.
mitchell,What do they do?
risa,Crafts.
mitchell,Crafts?
risa,Wanda does these photographic things.  That's one of her pictures on the wall.
