Speaker,Dialogue
swingers, by  Jon Favreau
"dec. 13, 1994", Third draft
mike,And what if I don't want to give up on her?
rob,You don't call.
mike,But you said I shouldn't call if I wanted to give up on her.
rob,Right.
mike,So I don't call either way.
rob,Right.
mike,So what's the difference?
rob,"The only difference between giving up and not giving up is if you take her back when she wants to come back.  See, you can't do anything to make her want to come back.  You can only do things to make her not want to come back."
mike,So the only difference is if I forget about her or pretend to forget about her.
rob,Right.
mike,Well that sucks.
rob,It sucks.
mike,"So it's almost a retroactive decision. So I could, like, let's say, forget about her and when she comes back make like I just pretended to forget about her."
rob,Right...or more likely the opposite.
mike,"Right...  Wait, what do you mean?"
rob,"I mean first you'll pretend not to care, not call - whatever, and then, eventually, you really won't care."
mike,Unless she comes back first.
rob,"Ah, see, that's the thing.  Somehow they don't come back until you really don't care anymore."
mike,There's the rub.
rob,There's the rub.
mike,"Thanks, man.  Sorry we always talk about the same thing all the time..."
rob,"Hey man, don't sweat it."
mike,...It's just that you've been there. Your advice really helps.
rob,No problem.
mike,"Rob, I just want you to know, you're the only one I can talk to about her."
rob,"Thanks.  Thanks, man."
answering machine," Hello, you have five messages."
answering machine," Hey, baby.  It's Trent.  I hope you're feeling better about your old girlfriend. I hope my advice helped..."
answering machine, Skipping message.
answering machine, Skipping message.
answering machine, Skipping message.  End of final message.
mike, Shit.
answering machine, You have to put things in perspective.
mike," I know, I know."
answering machine, You've been through worse.
mike,You're right.  I know.
answering machine, Ever since I've known you.
mike,I don't know about that.
answering machine, Moving here from New York was much more of an adjustment than this.
mike,It didn't feel that way.
answering machine," That's because it was a challenge.  You has control over you're situation.  It was hard, but you rose to it."
mike,Okay.  I'll think about that.  Bye.
answering machine," You really should.  Life, after all, is really just a series of challenges..."
mike, Enough.  I've got to use the phone.
answering machine, Are you calling Her?
mike,"No.  Stop, come on."
trent, Hello?
mike,S'up Trent?
trent,"Lemme get off the other line, baby."
answering machine, You should call your Grandmother.
mike,Shuddup.
trent, That was Sue.  We got two parties tonight.  One's for a modeling agency.
mike,I don't know...
trent,"Listen to me, baby, there are going to be beautiful babies there."
mike,"Trent, I don't feel like going out tonight.  I got shit to do tomorrow..."
trent,Listen to you.  I got an audition for a pilot at nine and I'm going.  You gotta get out with some beautiful babies.  You can't sit home thinking about her.
mike,I don't know...
trent,"I don't know, I don't know- listen to you.  We're gonna have fun tonight.  We gotta get you out of that stuffy apartment."
