Speaker,Dialogue
victor hugo,If a triangle could speak it would say that God is eminently triangular.
arash amiri,"Have you ever tried liquid MDMA? Bob's forehead is sweating and his hair is sticking to it, which he wipes away as he sips his scotch."
bob,"Liquid MDMA? No, I never tried it."
arash amiri,Tehran is the world capital!
bob,Great. He's great. Arash just stares. Bob sips his drink.
abash amiri,After prayer --
bob,You said they were both for you. Arash tosses an envelope at Bob --
arash amiri,"What do you care? Bob glances in the envelope. Behind him, the Amiris are picking up the other case. Bob moves toward the curtain. IN THE BACK OF THE SHOP Bob's eyes adjust. Several robed shapes, ghosts in grey light, carry the case out a door. The BARREL OF A GUN touches the side of Bob's head. The SOUND of a SHELL CHAMBERED and a MOUTH BREATHER. Bob raises his hands. The barrel slides around to his forehead and Bob is staring into the blue eyes of MOHAMMED SHEIK AGIZA, 40's, bearded, and calm."
margaret,If you go back you get promoted. Which could open doors later. For consulting.
bob,Those people back there don't know what's going on. They don't wanna know.
margaret,Have you thought about college? Has that made it onto the radar screen?
bob,And it's not like anybody else could roll in here. It's not like it's just reading reports.
margaret,I took Pakistan because of the hardship pay. The private school
bob,"Well, then here we are."
margaret,Here we are. In the street it's turning into a full-blown protest.
bob,"Let's say, somehow, I get a Branch or even a Group, then what? Will you come? Will you bring Robby? Now, Margaret looks away. A STUDENT-LEADER is up on a platform brandishing a Coke bottle, SHOUTING in Farsi into a bullhorn."
margaret,What's he saying?
bob,"He's against the ban on Coca-Cola. He says you have to fix your soul, which is not something you can put on a soft-drink. We see the faces of the protesters, silently staring, their mouths covered by black tape."
bryan,". An evolutionarily perfect machine for the spreading of imported Cheerios to all corners of the kitchen. The toddler smiles at him. Julie puts four plates down. They both notice the empty place setting. Just then, a golden boy, MAX, 6, enters the kitchen."
max,"Mommy, I want bacon."
julie,You have bacon. Max sits at the table.
max,I want real bacon.
julie,"You have real bacon, only it's made from soy beans. Max looks at his plate."
max,I want pig bacon.
bryan,Our position is that there is at least twelve dollars of instability premium in the market. Protests in Iran. Threat of more strikes in Venezuela. The Turks still making noise about Russian crude through the Bosphorus.
boss,The Emir's summer party. In Marbella. Any interest?
bryan, I can't. I've got all this --
boss,I'm not really asking.
bryan,It's Max's birthday. We've got stuff all weekend. Vincent sticks his head in the door --
vincent,September T-I ticked up fifteen cents and is rebounding. Where's the next resistance level?
bryan,Read my report --
vincent, The Emir's party; I'll take that. Vincent tries to snatch the invite.
boss,Through much finagling we have an audience with the Emir. He wrote the strategy and he's not slick.
bennett,Are you a director or executive of this company? The leader gnaws on a bone. Bennett points down to a mess of contracts and legal papers in front of him.
underling,"He says, we eat every part of the pony!"
bennett,"Ask him if he's been receiving faxes'at this number? Ask him if this is his phone number?  Is this a number to reach you? Again, the leader speaks in rapid Russian."
underling,"He says, the weather in Siberia is very cold!"
bennett,"I'm asking you about this payment. Who is this person on the account? Bennett notices a Russian, OSKAR WERNER-TYPE, wearing THICK-FRAMED GLASSES, smoking and staring at him. Another RUSSIAN glances at the paperwork."
underling,Bank is no more.
bennett,I know bank is no more. I'm trying to find out where the assets went. The Russians nod to the MUSIC coming from the poles. Now the leader speaks in surprisingly good English.
leader,This is marching music composed for Stalin. Inspiring for workers. The leader smiles at Bennett. It's a scary smile. The THICK-FRAMED GLASSES GUY is still staring.
jimmy,"Is the Caspian a lake or a sea, Thomas?"
tommy,That's an important legal point --
jimmy,"Oh give me another lecture on subsurface rights, Thomas. Jimmy stands. He is imposing in a Lyndon Johnson visits Congress sort of way."
tommy,"That's enough, Jimmy."
jimmy,"No, I want to talk about The Gulf and how a goddamn E-mir, what is an E-mir anyway --"
tommy,King. It's a king --
jimmy,"How some podunk King tossed you out on your ass. Jimmy pulls out a sharpie, walks to the Resource Map and defaces it, drawing the outline of an actual country, Kazakhstan, in Central Asia, home of the Tengiz Field."
tommy,"Thank you, Jimmy. You know how much we appreciate hearing your point of view; however, Mr. Janus and I have asked Connex's Washington counsel, Sydney Hewitt, to come down here and talk about strategy for the next thirty days. The eyes all shift to SYDNEY HEWITT,. 60's, Alabama smooth accent and ever-so-certain."
sydney,In a way I feel like Switzerland and I'd like to remind everyone in this room that they've signed confidentiality agreements. Polite LAUGHTER.
sydney,You just visited what someday soon could be the most profitable corporation in America.
bennett,Provided the government approves the merger --
sydney,Provided we don't start running cars on water. Provided there's still chaos in the Middle-East.
bennett,"I know him. He taught a class of mine at Georgetown Law. Sydney knew this, of course. Sydney looks Bennett over, then he chuckles, the effect of which is unsettling."
sydney,"Well, there you go, he taught a class of yours at Georgetown Law. Mr. .Whiting did say to me, I have a feeling about this young man. He said, he can position himself. Sydney stands."
wasim,They're letting us go.
saleem,The whole group?
wasim,"The whole group. In the distance, the engineer is droning on."
engineer,We know you have worked hard and wish to thank you for that hard work with a small cash bonus which you may collect on your way out of the facility.
saleem,What did he say? I can't hear. I can't hear.
wasim,He's telling us to scram.
saleem,"Scram? What do you mean, scram? ANGLE ON: The engineer pointing toward the exit of the facility. He turns to another ENGINEER nearby."
saleem,"The Chinese are smart people, but such bad drivers. They should not be allowed even to wash cars. Wasim doesn't say anything. They walk in silence. Then --"
saleem,"That's right. Three hours away, but right there, white across the sky, like you could reach out and touch them. Snow covered mountains. Ahead is transient worker housing. Wasim takes in plywood fencing surrounding identical huts."
farooq,"Ow, ow, ow, ahhh -- He throws up. The KIDS laugh. He comes up composed --"
wasim,I'm afraid of your breath. Wasim points at a silent kid hanging back from the group.
farooq,He thinks that little bracelet's gonna get him girls.
wasim," What's wrong with your brother, anyway? Hakim looks to his brother, then lifts up his shirt. There is a recent scar where a kidney would be."
farooq,You can drink with one. You don't need two.
wasim,Farooq. You have to introduce me.
farooq,"There isn't any work. Quit pestering me. Hakim, Hakim -- Finally, Hakim sips and holds his side. The boys' cheers are thin and vulnerable in the immense desert. In the distance a luxury car is parked. And U.S. Military officers snap a picture - ""Native Boys in Desert."""
