Speaker,Dialogue
written by, Michael Hogan & Paul P Fix
story by, Gordon Ray Young
station agent, Expectin' someone?
rocklin, I guess not. Where's the stagecoach office?
station agent, Back of the depot.
dave, -- makes you the most aggravatin' female as ever I had a despise fer -- I've got a good notion to pizen you -- an' what's more --
dave," Fooled myself, too."
stage agent, Howdy.
rocklin, That the stage for Santa Inez?
stage agent, Leaving any minute.
stage agent,Santa Inez -- seventeen-fifty --  Name?
rocklin,Rocklin.
rocklin,Mind if I ride alongside the driver?
stage agent," It's all right with me -- if it's all right with Dave -- He's mad -- His last trip -- Had a row with Harolday, the boss -- Old-timer, Dave -- an' a grumpy old cuss."
rocklin, I like grumpy old cusses -- Hope to live long enough to be one.
stage agent, Yeah?
stage agent,"Here's your mail, Dave --"
rocklin, -- and a passenger.
rocklin,Mind if I ride up here?
dave,Where's them wimmen?
stage agent,Up at the hotel.
dave, Ain't it?
stage agent,You can pick 'em up there -- it's only up the street --
dave,On'y up the street -- an' they cain't walk it -- What's the matter -- don't Easterners have laigs like other folks?
stage agent," Hold tight when you git in the mountains, mister -- When he gits riled you can hear the passengers prayin' for miles."
dave, Whar's them wimmen? -- They waitin' for you to carry 'em out?
saddler," Dave -- Dave -- tell Arly Harolday her saddle ain't ready yet, will ya?"
dave, I ain't tellin' that crazy female nothin' -- Last time I seen her she threatened to rip the hide off'n me and bat me dizzy with it.
saddler, Mister -- will you tell the Agent at Santa Inez to tell Miss Harolday her saddle ain't ready yet?
rocklin, I'll say that.
clerk," By next year, madam, we expect to have a bathtub on each floor."
miss martin,Now don't drop it --
miss martin,At your age you'd best not be lifting things so heavy.
miss martin,Clara!
miss martin, Staring as though you'd never seen a man before.
clerk,Try to hold him down or he'll scare the women to death.
rocklin,I never feel sorry for anything that happens to a woman.
clerk,"Well, I hope you have a nice trip, ladies."
miss martin,I hope we get there -- wouldn't surprise me if we didn't.
dave," Wait till I get you on the road, you old buzzard, you'll be surprised all right."
dave,I wonder why a young feller who don't have to wants to come into this God danged country?
dave,Say -- did you mean what you said back there about wimmen?
rocklin, Every word of it.
dave, Then you're smarter than most.
rocklin,Maybe I seen more of 'em than most.
dave, All the same...
rocklin, All the same -- what?
dave, Take a slug.
dave," Whiskey and wimmen -- ever think how much alike they are? Both fool you, but you never figger out how to do without 'em."
dave,Take another.
rocklin,Not just yet.
dave, Here's to her.
rocklin,Who?
dave,The next one that fools you.
dave, Mighty rough stretch along here.
rocklin,Like me to speel you a while?
dave,"Nope. I've had a few snorts but that don't make no difference. Leas'ways, never has...  Don't ever git wore out, and useless, like me."
rocklin,Who're them as say you are?
dave,"Harolday, for one. Oh, I ain't belly- aching. Reckon he's entitled to his opinion. But him and me never did see eye to eye."
rocklin,What's wrong?
dave,"It's constitootional, I reckon. Like that step-daughter of his is crazy -- he's too sane. Believes In law and order."
rocklin, What's wrong with law and order?
dave,"Depends on who's a-dishin' it out. Never was good at takin' orders meself. As for the law -- well, you'll soon find out what that means 'round these parts."
miss martin,"Driver? Driver, what's the matter?"
dave,Nothin'. Restin' hosses. Git out and stretch yore laigs if you want.
miss martin,Resting horses? What for? I can see with my own eyes it's downhill.
dave,"You in such an all-fired hurry, lady?"
miss martin,"Certainly, we are in a hurry."
dave, Well -- we'll hurry some.
miss martin, Now what's the matter. Why are we stopping again?
pablo," Buenas noches, senor."
rocklin,"Buenas noches, amigo."
pablo," Ha llegado anticipademente, senor."
rocklin,Tuvimos suerte en haber llegado.
dave, We stop here.
miss martin,Why do we stop here?
dave,If you wanta eat and stretch yore laigs.
miss martin,Will you please stop referring to my legs!
dave,"You got some, ain't you?"
