Speaker,Dialogue
taxi driver, by  Paul Schrader
personnel officer,So why do you want to be a taxi driver?
travis,I can't sleep nights.
personnel officer,There's porno theatres for that.
travis,I know. I tried that.
personnel officer,So whatja do now?
travis,"I ride around nights mostly. Subways, buses. See things. Figur'd I might as well get paid for it."
personnel officer,"We don't need any misfits around here, son."
travis,You kiddin? Who else would hack through South Bronx or Harlem at night?
personnel officer,You want to work uptown nights?
travis,"I'll work anywhere, anytime. I know I can't be choosy."
personnel officer, How's your driving record?
travis,Clean. Real clean.  As clean as my conscience.
personnel officer,"Listen, son, you gonna get smart, you can leave right now."
travis," Sorry, sir. I didn't mean that."
personnel officer,Physical? Criminal?
travis,Also clean.
personnel officer,Age?
personnel officer,Twenty-six.
personnel officer,Education?
travis,Some. Here and there.
personnel officer,Military record?
personnel officer,You moonlightin?
travis,"No, I want long shifts."
personnel officer, We hire a lot of moonlighters here.
travis,So I hear.
personnel officer," Fill out these forms and give them to the girl at the desk, and leave your phone number. You gotta phone?"
travis,No.
personnel officer,Well then check back tomorrow.
travis,"Yes, Sir."
travis,Why should it be grounded?
travis,Then it's a good guess it's grounded.
travis,Have you tried the telephone?
travis,No.
slow down,AND GAUGE SPEED TO ROAD CONDITIONS YOU CAN'T STOP ON A DIME!
concession girl,Kin I help ya?
travis,What is your name? My name is Travis.
concession girl,"Awh, come off it, Pal."
travis,"No, I'm serious, really..."
concession girl,Ya want me to call da boss? Huh? That what you want?
concession girl,"No, no, it's alright. I'll have a big Coca-Cola - without ice - and a large buttered popcorn, and...  ... some of them chocolate covered malted milk balls... and ju-jukes, a box. They last."
concession girl,We don't have ju-jukes. We don't have Coca-Cola. We only got Royal Crown Cola.
travis,That's fine.
concession girl,That's a dollar forty-seven.
betsy,Tom.
betsy,"Tom, come here a moment.  And don't forget to add the new photo releases."
tom,"The senator's white paper is almost ready, Bets. Should we wait for that?"
betsy,Andy usually just sends those to the national media. The local press doesn't know what to do with a position paper until UPI and AP tell them anyway.
tom,I think we should try to get maximum coverage for this new mandatory welfare program. Push the issues.
betsy," First push the man, then the issue. Senator Palantine is first of all a dynamic man, an intelligent, interesting, fascinating man."
tom,"You forgot ""sexy""."
betsy,"No, I didn't forget ""sexy""."
tom,"Just didn't get around to it, huh?"
betsy,"Oh, Tom, please."
tom,"Well, for Christsakes, you sound like you're selling... I don't know what... cars... not issues."
betsy,Have you ever wondered why CBS News has the highest ratings?
tom,More people watch it.
betsy,"Alright, forget it if you're not going to be serious,"
tom,"No, c'mon, I'm listening. I was just..."
betsy,Just what?
tom,"Kidding around... you know, fun."
betsy,"Maybe if you'd try thinking once in a while, you'd get somewhere."
tom,With who?
betsy,"Alright, now. You want to know why CBS has the highest ratings? You their news is any different from NBC, ABC? It's all the same news. Same stories. Same order usually. What, you thought they had good news for people, right? You thought that's why people watched CBS? I'll tell you why people watch CBS. Cronkite. The man. You got it? Not the news, not the issues, the man. If Walter Cronkite told people to eat soap, they'd do it. We are selling cars, goddamn it."
tom,"Well, if Cronkite's so great, why don't we run him instead?"
betsy,That's the last. The finish. Period. Some pople can learn. Some people can't. And you wonder why we never get serious----
tom,Sure we could run him. You realize he's already of his block association.
betsy, Have you been noticing anything strange?
tom,"No, why?"
betsy,Why's that taxi driver across the street been staring at us?
tom,What taxi driver?
betsy,That taxi driver. The one that's been sitting here.
tom,How long has he been there?
betsy,I don't know - but it feels like a long time.
tom," Well, I'll go out and ask him."
wizard,"First she did her make-up. You know, I hate it when they do that. I mean she does the whole works, the mascara, the eye-shadow, the lipstick, the rouge..."
wizard,The kind with a brush.
wizard,Travis.
travis,Hey Wizard.
wizard, Ask Travis. He's the ladies man.
wizard," Well, whatever the fuck it is, she used it. And then the spray perfume. You know, the real sweat kind - and, on top of that, get this, right when we're crossing the Tri- boro bridge - she changes her pantyhose!"
wizard,Yeah.
wizard,"Well, she was trying to keep her skirt down, sort of, you know. But it was pretty obvious what she was doing. I mean, Christ, it was rush hour and the traffic's practically standing still."
wizard,"Threw on the emergency, jumped the seat and fucked her brains out - What do you think!  What do I have to do? Draw you a picture?"
wizard,"What was I supposed to do? I was watching in the rear view. You know, just checkin' traffic.  So howsit?"
travis, Some fleet driver for Bell just cut up. Just heard it on the radio.
wizard,"Sure. What do you think? She wanted to get out of the cab. I said ""Look, you're in the middle of the fucking bridge..."""
wizard,"Well, I said, ""Lady, please, we're on a bridge..."""
wizard,"She stayed in the cab, what's she gonna do? but she stiffed me. A real skunk."
wizard," Travis, you know Dough-Boy, Charlie T.?"
wizard,We call him Dough-Boy cause he likes the dollars. He'll chase a buck straight into Jersey.
wizard, So howsit?
travis, Some fleet driver for Bell just got cut up.  Just heard it on the radio.
travis,"No, just some crazy fucker. Cut have his ear off."
travis,In the jungle. 122nd.
wizard," Fuckin' Mau Mau land, that's what it is."
travis,Huh?
travis, I have.
travis,Nah.  I suppose not.
wizard,The cops and company raise hell they find out.
wizard,For a fee.
wizard,I never use mine. But it's a good thing to have. Just as a threat.
wizard,"What ya gonna do with all that money, Dough-Boy?"
betsy,Try holding the match like this.
tom,"This is gotta be a game, right?"
betsy, This I gotta see.
tom, Ouch!
betsy," Oh, are you all right?"
tom,I'm great. Always set my fingers on fire. If you want to see another trick. I do this thing with my nose.
betsy,No. I just wanted to see if you could light it that way. The guy at the newsstand can.
tom,"Ah, yes, the guy at the newsstand, Mr. Asbestos..."
betsy,He happens to be missing fingers. I first noticed when -
tom,Is he Italian?
betsy,"No, why?"
tom,You sure he's not Italian?
betsy,"He's Black, OK?"
tom,"Well, If he had been Italian, they could have been shot off. Sometimes the mob does that to teach guys a lesson, If they blow a job or something."
betsy,"As I said, he isn't Italian. Besides, I thought they just killed them."
tom,"Don't be naive. They can't kill everybody. They have different punishments for different things. Like, if they kill a stool pidgeon, they leave a canary on the body. It's symbolic."
betsy,Why don't they leave a pidgeon instead of a canary?
tom,"I don't know. Maybe they don't leave a canary. Don't be technical. What I'm saying is if this newsstand guy's Italian and his fingers are gone, maybe he's a thief."
betsy,"First, he's not Italian. Second he's not a thief. I noticed the fingers when he was getting my change - the right change. Two of his fingers are missing. Just stubs. Like they were blown away. I was putting my change in my purse when I saw him get out a cigarette. I couldn't help watching. I was dying to see how he'd light it."
tom,"With the other hand, right?"
betsy,"No, stupid. With the stubs. That's the whole point."
tom,"I know that guy. His hand looks like a paw. An old Black guy, the newsstand at -"
betsy,"No, this is young - well, I'm never sure how old Black people are - but, anyway, he isn't old. That's for sure."
tom,Show me how he did that again.
travis, I want to volunteer.
tom, If you'll come this way.
travis, No. I want to volunteer to you.
tom, Bets.
betsy, And why is that?
travis,Because you are the most beautiful woman I have ever seen.
betsy, But what do you think of Charles Palantine?
travis, Who mam?
betsy,Charles Palantine. The man you want to volunteer to help elect president.
travis,"Oh, I think he's a wonderful man. Make a great, great President."
betsy,You want to canvass?
travis,"Yes, mam."
betsy,How do you feel about Senator Palantine's stand on welfare?
travis,"Welfare, mam? I think the Senator's right. People should work for a living. I do. I like to work. Every day. Get those old coots off welfare and make 'em work for a change."
betsy,"Well, that's not exactly what the Senator has proposed. You might not want to canvass, but there is plenty more other work we need done: Office work, filing, poster hanging."
travis,"I'm a good worker, Betsy mam, a real good worker."
betsy," if you talk to Tom, he'll assign you to something."
travis,"If you don't mind, mam, I'd rather work for you."
betsy,"Well, we're all working tonight."
travis,"Well, Betsy mam, I drive a taxi at night."
betsy,"Well, then, what is it you exactly want to do?"
travis," If you don't mind, mam, I'd be mighty pleased if you'd go out and have some coffee and pie with me."
betsy,Why?
