Speaker,Dialogue
greenbaum,Uh oh.
greenbaum,W...what?  2 CONTINUED:
greenbaum,Why would Jesus want that?
john,"Hey guys, can I play?"
greenbaum,"Yeah, Bennett, get outta here!"
john,Wow!
john's dad,"I guess Santa paid attention to how good you were this year, huh?"
john's mom," Merry Christmas, John."
john,He talks!
john,Hey Teddy... can I tell you something nobody knows?
john,Teddy?  Teddy?!
teddy,Hug me.
john,Did you... did you just talk?
teddy,"You're my best friend, John."
john, You're alive?!
teddy,Uh-huh.
john,Whoa...
teddy,"Don't look so surprised. You're the one who wished for it, aren't you?"
john,"Yeah, I... I did wish for it."
teddy,"Well, here I am."
john,You mean... we get to be best friends... for real?
teddy,For real.
john,Forever and ever?
teddy,Sounds good to me.
john's dad,One of the best.  And I particularly enjoyed the gift you gave me last night.
john,Mom! Dad! Guess what?! My teddy bear's alive!
john,"No mom, he's alive! For real! Look!"
teddy,"Merry Christmas, everybody!"
john's dad,Jesus H. Fuck!
teddy,Let's all be best friends!
john's mom,Oh my god...
john's dad,"John, get away from that thing! Come over here, right now!"
john,BUT DAD--
john's dad,GET OVER HERE!
john,"Dad, no!"
teddy,Is it a hugging gun?
john's dad,"Helen, get my gun, and call the police!"
teddy,"I'm sorry, Mr. Bennett. I didn't mean to scare anybody. I just wanted John and I to be friends. JOHN Yeah, Dad! I made a wish last night that Teddy was alive, and my wish came true!"
john's mom," My god, Steve... it's a miracle. A Christmas miracle."
newscaster,"Out of a Boston suburb comes what is, without a doubt, the most incredible story in the history of broadcast news..."
southern newscaster,Look what Jesus did! Look what Jesus did! Look what Jesus did!
teddy,"Yeah, John?"
john,Do you promise we'll always be together?
teddy,I promise.
john,Thunder buddies for life.  11 CONTINUED:
ted,"All I'm sayin' is Boston women are are, on the whole, a paler, uglier sort than women from the elsewheres of life."
john,"That's bullshit, what about Lori? She's hot."
ted,"Lori's from Pennsylvania, not a Boston girl.  16 CONTINUED:"
john,They're not that bad.
ted,"The fact that you have to say they're not that bad means that they are that bad. They turn into drunk, half-white, half- pink monsters after 2 hours at any beach."
john,I-- It's workin' for me.
ted,"I think it sucks, I'm gonna have a talk with him."
john,"Yeah, I don't know that you wanna go to a drug dealer with complaints."
ted,"No, I know this guy a long time. I've known him since 9/11. Remember, I was like, ""Aw, shit. 9/11. I gotta get high."" JOHN  Oh fuck, is it nine-thirty? Shit, I gotta get to work."
ted,"Hey, you mind pickin' up a bird feeder on the way home? I wanna start enjoying the beauty of birds."
ted,"I'll drive you, I feel fine. 17"
john,"Aw, man."
ted,Is it bad?
john,It's not good.
john,Shit.
ted,"It's okay, go, go, I'll pull outta here.  Hi, Thomas! How are ya?"
other driver,Asshole!
ted," Easy, Jersey license!"
thomas,"John, it's almost ten o'clock."
john,"I know, I'm sorry, it wasn't my fault. THOMAS What do you mean?"
john, I guess I... wasn't really prepared for a follow-up question.
thomas,"John, all you have to do is not fuck up, and you get my job when I go to corporate next month. You will be the new branch manager. All you have to do is not fuck up, and all you're doing is fucking up. Not that I don't think you're too fucked up to handle not fucking up my job, but you happen to be the least fucked-up person in the whole office. The next least fucked-up is Alix, and you've been here three fucking years longer than him. But I'm telling you, I will promote the fuck out of him if you fuck up one more time. That is all. Fuck."
john,"Sir, I promise, you're not gonna regret promoting the fuck out of me."
thomas,"Good. I like hearing that. Because in a month my life now could be your life: a cushy $38,000-a-year branch manager who's personal friends with Tom Skerritt. It's not a bad life, is it?"
john,N--no.
thomas,Did you know I'm friends with Tom Skerritt?
john,No.
thomas,"I'll show you something I don't show too many people, because I don't want anyone treating me differently."
thomas,"Goddamn right, wow. Now get outta here. I'm gonna dock you for being late, and for the scratch on that car. Try and be a little more responsible tomorrow."
john,"I will, sir. Thank you. I won't let you down, Goose."
thomas,What?
john,Top Gun.
thomas,So?
john,Tom Skerritt.
thomas,Oh.
guy,"There you go, here's your key and rental agreement, and a complimentary map of Boston. Thanks for choosing Liberty, drive safely."
guy,"Hey, heard you got busted."
john,"Jesus, Guy, you look like shit, what happened?"
guy,"I don't know, man. I got fuckin' wasted last night, and my phone says I texted somebody at 3:15 asking them to beat me up. And then at 4:30 I texted the same person saying thanks."
john,And you don't remember it?
guy,"No. Same as last time. JOHN It... it just seems gay, doesn't it?"
guy,"I don't know. Maybe, yeah."
john,"Do you think you're part of some, like, gay beat-up underworld? Like one of those gay beat-up clubs?"
guy,"I don't know. I dig chicks. I don't remember any of it, I was so fucked up. I might be gay, I don't know. You mind covering for me for a bit? I'm gonna go lay down in the john."
alix,Hey you buddies. Where's it hanging?
alix,"Ah, I didn't get in because the bouncer was doucheface, but I made friends in the line."
guy,"Oh, well, that's good I guess."
tanya,Hi you guys.
alix,You look so pretty today.
tanya,"Aw, thanks Alix, I worked out this morning."
alix,"I can tell, you are less fat than you have been."
john,"Hey guys, does anybody know a nice restaurant? Like something where the napkins are cloth?"
guy,For what?
john,"Lori and I have been dating four years tomorrow, and I wanted to take her someplace nice."
tanya,"Oh wow, congratulations, John."
guy,You guys`ve been goin' out for four years?
john,Yeah.
guy,"THAT'S IN--  --saaaane, my longest relationship was like six months, and then she farted in her sleep. I'm like, I am outta here, man. Was gone before she woke up."
john,"Wow, you're... not very tolerant, huh. GUY Lori ever fart in front of you?"
john,Yes.
guy,Really.
john,Yes. Many times.
guy,You Italian?
john,No. GUY Oh.
john,Why?
guy,"I dunno, just seems like-- never mind, take her to Benihana."
tanya,"Don't you think after four years, maybe she's probably hoping for something more than dinner?"
john,Like what?
tanya,"Well, if I were her, I'd be expecting a proposal."
john,"Oh come on, nobody's expecting anybody to propose. Marriage isn't... I mean, isn't love enough? I submit that love is enough."
guy,You could put the ring in her ass and let her fart it out.
john,"So bad, but so good."
ted,"Yes, a study in contrasts."
john,"Oh, I love this part.  STAND FOR EVERY ONE OF US!"
john, HE'LL SAVE WITH A MIGHTY HAND/EVERY MAN EVERY WOMAN EVERY CHILD WITH A MIGHTY FLASH!
ted,"Fuck yeah, Flash!  Hey, before I forget, let's nail down a plan for the Bruins game tomorrow night."
john,"I can't, I'm taking Lori to dinner."
ted,For what?
john,"Well, we've been dating four years tomorrow."
ted,"Oh, fuck me. Nice."
john,"Lemme ask you something... you don't think she's gonna be expecting something... big, do you?"
ted," What, like anal?"
john,"No, like... a circular gold thing on the finger."
ted,"Oh, fuck that! It's four years! You and I have been together 27 years!"
john,"Stop it! Jesus Christ, knock it off! He throws Ted off of him."
ted,"No, John. It's a bad idea. And it's the wrong time. What with the economy and... the credit bubble... the Supreme Court... I mean, look at Haiti."
john,I guess I didn't think about that.
john,"This is the American fantasy, right here. A professional NFL player is called upon to save the world."
ted,Tom Brady could do that.
john,"Tom Brady could do that. The front door opens and LORI, an attractive girl in her mid to late 20's, enters holding several grocery bags."
lori,Hi guys.
john,"Hey, sweetie."
ted,"Hey, Lori."
lori,Ooh. I think you just got me stoned.
john, What do we got there?
lori,Turkey burgers.
ted,Oh. Okay. Are we having homos over for dinner or something?
lori," No, just you homos."
ted,"She's funny, John. You got yourself a regular Toni Collette."
lori,"Wait, who's that? Is that good?"
john,She's a comedienne.
lori,Oh nice. Is she pretty?
john,She's as pretty as she is funny. How was work? LORI Good.
john,How's your dickhead boss?
lori,"Rex is fine. He only hit on me once today, so that's good."
john,"I'm not saying this to be mean, but I really hope that fucker gets leukemia."
lori,"He's harmless, I can handle it."
ted,"Hey Johnny, while you're up, grab me a beer, huh?"
john," Oh yeah, a coupla' Charles Brew-Kowskis?"
ted,"Yes, a Brew-stoy-ovski would be nice right about now."
lori,Jesus.
john,Maybe a Mike Brew-ga-slow-ski?
ted,Perhaps a Ted Kazyn-brewski?
lori,"Y'know, I think I might also have a Martina Navra-ti-brewski."
lori,"Bullshit, what do you mean?"
john,"It doesn't work, the name has to have a ""ski"" at the end of it. You just put ""brewski"" on the end of Martina Navratolova."
lori,I thought we were just doing funny names.
ted,"No, it's gotta have a ""ski"" at the end. Otherwise where's the challenge? If there's no ""ski"" at the end of the root word, then we would just be idiots saying nonsense."
lori," Oh, look, they found those missing hikers."
john,They did? What happened?
lori,It says they got separated and one of them had his foot trapped under a rock for five days.
john,"You know, if your leg got trapped under a rock, I'd chew it off to get you free."
lori, You would?
john,I sure would.  Is that cannibalism?
lori,"No, I think it's only cannibalism if you swallow. JOHN Oh yeah, no, I don't swallow."
lori,Really? That's not what I heard about you.
john,"It's not true, I'm a fuckin' classy broad."
lori," Y'know, speaking of classy, Ciao Bella's a really expensive restaurant. If you want, we can go somewhere else tomorrow night. I don't care, as long as we're together."
john,"You kiddin' me? Four years we been going out, I'm takin' you to the best place in town. I been crappin' out room for it for two days, I know exactly what I'm gonna order."
lori, You're disgusting.
john,And you get to pick any bottle of wine.
lori,Ooh.
john,Any bottle of 2012 wine.
lori,"Oh, are the new wines in?"
john,They are in and they. Are. Fresh.
john,"Ah, come on!"
lori," I don't understand it, 35 years old, and you're still scared of a little thunder."
john,"I am not. We hear another thunderclap. Ted runs into the room with no warning and leaps into bed, right between Lori and John."
ted,"Thunder buddies for life, right Johnny? C'mon, let's sing the thunder song!"
ted,Boomp.  30 CONTINUED:
gina,"Wow...Baby, I'm not saying this to be nasty, but you look really tired."
lori,"Oh, I'm okay... except I didn't have time for breakfast, the garage was full, I spilled coffee on my leg, and I have a boyfriend who can't sleep through a storm without his teddy bear."
gina,I don't understand why you keep putting up with him.
tracy,"Yeah, I mean, the guy's thirty-five years old and he's working for a rental car service."
lori,"No, it's not that, I don't care about that. I'd love him even if he was a janitor. I mean, he's got a huge heart, we laugh together all the time, and it's just a bonus that he's like the hottest guy in Boston."
gina,Yeah but the hottest guy in Boston is like being the classiest Kardashian.
lori,"I just wish he could get his life together, you know? Our life. And he can't, and I swear to god, it's all because of that bear."
michelle,You should give him an ultimatum: it's you or the bear.
lori,"I can't do that, he'd be devastated. And I mean... what if he chose Ted?"
michelle,"Oh come on, you don't really think that."
lori,"Not really, but what if?"
michelle,Well then... things happen for a reason. TRACY No they don't. That's just something girls say when something bad happens to them that they don't understand.
gina,"Fuck off, Tracy."
rex,Well hello there. Sorry if I'm interrupting any private girl talk about Channing Tatum's index finger but Lori I need to see you in my office.
lori,"Actually Rex, I have a lot of work I need to get to--"
rex,"Oh, this is work, I swear."
lori," Okay, fine."
michelle,He's such an asshole.
gina,Out of control. Such a sleaze.
tracy,"You guys are so pathetic. You're shitting on Rex, and you both had sex with him."
gina,And so did you.
tracy,"Well, I didn't want one of you whores getting promoted before me."
lori,"So... what do you need to talk to me about, Rex?"
rex,"See that? That's me on the diving team in high school. We dove the shit outta that pool that year. If you look close, you can see the outline of my root."
lori, You promised this was about work.
rex,"Lori, what is wrong with you? Why don't you like me? I'm rich, I'm good-looking, my dad owns the company--"
lori,"I have a boyfriend, Rex. I think you know this."
