Speaker,Dialogue
ted,"Hey, Renise."
renise,Hey.
ted,So what's up?
renise,Eh.
ted,"Great. Great.  So listen, uh, I was wondering if maybe you wanted to go to the prom you know, with me."
renise,"See, the thing is, I heard a rumor that this guy I like was gonna ask me."
ted,Uh-huh.
renise,"Yeah, so...I'm gonna wait and see what happens there...But that sounds great, yeah."
ted,Okay.  So is that a yes or a no?
renise,"I think I was very clear, Ted. If everything else falls apart, maybe."
ted,I'm gonna hold you to that.
ted,"Ah, I don't know if I'm even gonna. You know, not my style."
ted, Who?
ted," Yeah, and who are you gonna take, your own palm?"
ted,Who?
ted,Woogie from Borrington high? Sounds like a loser.
girl,What?!
boyfriend,"You son-of-a-bitch, I'll kick your ass!"
ted,"Take it easy, Smokey."
ted,"All right, just be cool.  He looks like he's not all there, you know what I mean?"
mary,What's going on here?
mary,"No, I haven't seen your baseball. Jeez, Warren, you know you're not supposed to leave the yard by yourself."
mary,He's my brother.
mary,You okay?
ted,Oh yeah. Fine.
mary,"Thanks a lot, Ted."
mary,"Hey, you're limping. Did you just hurt yourself?"
ted,"No, it's an old football injury."
mary,"Oh, are you on the team?"
ted,"No, a couple of the players and me were joking around and, uh, I fell off the school."
warren,Piggyback ride?
mary,"Warren, come on, leave Ted alone."
warren,Piggyback ride.
ted, I don't mind. If you think he can hold me.
mary,Oh he can hold you. He weighs two-hundred-and-thirty pounds.
ted,"A real Clydesdale, huh Warren?"
warren,My turn now.
ted," We're here, Warren. You wanna get off?"
warren,Giddy-up.
mary,So who you taking to the prom?
ted,Huh?
mary,The prom--you going?
ted,"Oh, I don't know. I think proms are pretty dumb."
mary,'Cause I thought maybe you and I could go if you weren't already taking someone.
ted,I mean dumb in the sense that they only happen once a year.
ted,They broke up. She said he started getting weird on her.
ted,"Oh come on, why would I lie?"
mary's dad,Yeah? What do you want?
ted,"Um, hi, I'm Ted Peloquin. I'm here to take Mary to the prom."
mary's dad,Prom? You're about twenty minutes late. She just left for the prom with her boyfriend Woogie.
mary's mom,"Charlie, that's mean. Come on in, Ted. Don't listen to Mr. Wise Guy here. He's a joke a minute."
ted,"Oh.  Oh, that's a good one."
ted,"Hey, Warren."
mary,"Hi, Ted."
ted,"Hi, Mary."
mary's mom,Poor Teddy--he's been getting it both barrels from the Wisenheimer here.
mary,"Dad, have you been busting Ted's chops?"
warren, 'Bout ten times.
ted,"Hey, Warren, I think I know where your baseball is."
warren,You seen my baseball?
ted,"Well, if it's a big white one with red stitching, I think I saw it right behind your ear .."
mary,Warren!!!
mary's dad, What the hell are you doing?!
mary's mom,"Teddy, let him go!"
ted, I'm trying...tell him to...calm down.
ted,I was playing a trick. I-I-I had a baseball.
mary's mom,What baseball? Where's a baseball?
ted,There was a ball I had a honest.
ted,Oh. Okay. I gotcha.
mary,Are you all right?
ted,Oh yeah.
mary's mom," Honey, now you're all wrinkled."
mary,"Ted, will you just give me one more minute? I have to iron this thing."
ted, May I use your bathroom?
ted,YEEEOOOOOWWWWWW!!!!!!!!!!
mary," Ted, are you okay?"
mary's mom,"He's been in there over half an hour.  Charlie, I think he's masturbating."
mary,Mom!
mary's mom,Well he was watching you undress with a silly grin on his face.
mary's mom,"Charlie, do something."
mary's dad,"All right, kid, that's it, I'm coming in."
ted,I wish.
mary's dad,You got what stuck?
ted,It.
mary's dad,"It?  Oh it. All right, these things happen, let me have a look. It's not the end of the world."
mary's dad," Shirley, get in here! You gotta see this!"
ted,"What?! No please, sir--"
mary's dad,She's a dental hygienist. She'll know what to do.
mary's mom,"Teddy, hon, are you okay?  OH HEAVENS TO PETE!"
ted,Would you shhh! Mary's gonna hear us.
mary's mom,"Just relax, dear. Now, um...what exactly are we looking at here?"
ted, What do you mean?
mary's mom, I mean is it...is it...?
mary's dad, Is it the frank or the beans?
ted,I think a little of both.
mary, Shhhh.
ted,One guess.
mary's dad,How the hell'd you get the beans all the way up top like that?
ted,I don't know. It's not like it was a well thought-out plan.
mary's mom,"Oh my, there sure is a lot of skin coming through there."
mary's dad,"I'm guessing that's what the soprano shriek was about, pumpkin."
