Speaker,Dialogue
for educational,"PURPOSES ONLY  THIS BOY'S LIFE FADE IN:  1   EXT. HIGHWAY - DAY                                          1 It is 1957, and we are in the deserts of Utah. TONY BENNETT sings ""Rags to Riches"" on the SOUNDTRACK. Breath-taking scenery stretches out on either side of a highway. The CAMERA MOVES to reveal a Nash Ambassador as it labors up a hill. Twelve cars are caught behind the thirty-mile- per-hour pace. Two cars decide to ignore safety and cross the solid yellow line to pass the pokey car."
2.,"2   CONTINUED:                                              2 CAROLINE  Toby, hush. Let me just... So concentrated on her driving she doesn't even finish her sentence, she nurses the car upward. Finally the car crests the hill and starts down. Caroline sighs with relief. She turns to Toby with a smile. CAROLINE What'd you say? TOBY I said -- for the twentieth time -- if a person promises somebody something, they can't just turn around and take it back. CAROLINE Oh, honey, Jesus. Don't start with that again. TOBY Why not? CAROLINE Because I'm the mother, and I get to tell you what to do every minute of your life 'til you're eighteen. Seriously, we've got no money. I can't buy you the moccasins. TOBY I bet if you'd promised Roy some moccasins he'd of got 'em."
caroline,"No talk about Roy, okay? And ditto the moccasins. We, can't, afford, them. TOBY Yeah, but you did promise... CAROLINE Sue me. Take me to court. Oh, Toby, I know you're disappointed, but... TOBY Jack.   Call me Jack. "
3.,"2   CONTINUED:    ... Jeanette. Jeanette Marie. TOBY Oh, you're so stupid sometimes, I... The BAWLING of an AIRHORN interrupts him. Both of them look through the back window and see a huge tractor- trailer truck, out of control, bearing down on them. Caroline brakes and steers a hard right, SKIDDING the NASH safely onto the side of the road. The truck, its HORN BLASTING steadily, shimmies and slides past them, and then, hideously, fails to make the next curve: it smashes through the guard rails and into empty space, its HORN still BLARING. Caroline and Toby look at each other, then scramble out of the car."
caroline,"Well, it was everywhere in Moab, they say -- just like gold in the gold-rush days. TOBY But we were too late in Moab, and that guy at the office said nobody'd found any uranium in Salt Lake City. CAROLINE Well, that means we'll have the place pretty much to ourselves, huh? Honey, this could be a big break for us. If this works out, oh, just think: we'll get us a house, get rid of this damn Nash Ambassador -- no money worries... It'll be like heaven on a June day."
5.,"6   INT. CAR - DAWN                                           6 We hear ""MOOD INDIGO"" on the car RADIO and see that a weary Caroline has driven through the night and Toby is slumped against the passenger door. Toby stirs, then opens his eyes. CAROLINE Ask me how far we are from Salt Lake City. Toby is instantly awake, excited. Caroline points to a small highway sign and both she and Toby yell out. CAROLINE/TOBY Forty-seven miles to go!"
toby,It almost makes me want to see Roy -- he was the only one could make the thing stop overheating.  Let's go get rich in Salt Lake City!
6.,"8    EXT. SALT LAKE CITY  - DAY                       8 Toby waits beside the Nash Ambassador, looking toward a three-story concrete building. He holds a portable RADIO, which PLAYS DEAN MARTIN singing ""Volare."""
10.,"15    CONTINUED:                                              15 TOBY Yeah, well if you'd stayed married to Dad none of this would've ever happened. CAROLINE Look, don't you put that    on my back: I can't make your     father call you. I can't make     your brother write you. They     dumped you. Yes. But it's not      my fault."
11.,"16A   CONTINUED:                                            16A TOBY I'm sorry. CAROLINE I know you are, honey. Ah, well -- it wasn't fire, and nobody bled, so I guess we're okay. The TELEPHONE RINGS and she answers it.   When she hears the VOICE on the other end she once again  touches her right cheekbone with a finger -- the spot  where the bruise had been. She sags back against a   wall. CAROLINE Yes...  All right, yes... in an hour, then. Caroline hangs up. TOBY Who was that? She closes her eyes. TOBY Who was that? Caroline laughs aloud, then slides down the wall until she's on the floor still laughing. CAROLINE We've got a guest for dinner: it's Roy. He tracked us down. Toby groans and falls full-length onto the sofa."
