Speaker,Dialogue
for educational,PURPOSES ONLY  2.  THREE MEN AND A BABY  FADE IN:
jack,"Yes, I'm the pilot...  ... I'm not even asking for your phone number... BUSINESSMAN Isn't there a pilot whose name is Paul?"
jack, Yeah... Are you Jim? BUSINESSMAN Yeah. He hands Paul a man's purse. BUSINESSMAN Here's your cash. PAUL What about the stuff? BUSINESSMAN I don't have it. We've got problems. Too much heat. Too
businessman,"I mean shut up and listen. Two guys will be waiting for you in a black T-Bird, expecting the dope. Just ignore them. It'll be delivered to you on Sunday and picked up the following Thursday, okay? PAUL But I won't be home, I'll be in the air for two weeks. BUSINESSMAN That's your problem. Make arrangements, a deal's a deal. Got it!? PAUL Got it. Jack returns. JACK  I got her phone number!   She gave me her phone number! BUSINESSMAN That's some magnificent view, isn't it? JACK It's wonderful -- Life is wonderful! The Businessman goes back to his seat and Jack grabs hold of the microphone. JACK This is your captain speaking. In honor of your victory, in honor of your beauty, and in honor of Jane, the most beautiful gymnast I have ever met. I'm going to give you a little demonstration of aviation gymnastics -- reserved only for the most important guest, hip, hip... Everyone shouts ""HOORAY!"" except for Paul and the"
jack,"God, what a woman! Paul is nervous, glancing uneasily from car to car. JACK Wanna share a cab? Paul Yeah, sure! A black Ford pulls up in front of them and its driver looks at Paul who immediately turns his back on him. JACK She's so beautiful! I've never been so in love before. Can you believe she gave me her phone number... Oh, Christ -- where is it?... Oh, no, don't tell me I lost it... It's a matter of life and death... Oh here it is -- thank God! All the while    Jack has been rambling on, a beige car on the other    side of the street has slowed down. Paul notices it.     In the beige car, a narcotics agent, GRATON, is behind the    wheel with one of his colleagues sitting beside him. GRATON They're slowing down.    Take a picture. The colleague snaps a picture of everyone who happens to be standing near the black Ford, including Jack and Paul. The black Ford pulls out. The beige car follows it. Paul observes all this out of the corner of his eye. PAUL Listen, I need a favor, I got"
peter," He's around somewhere.     Check under all the couches. Paul walks off in Jack's direction. We STAY WITH Peter, who reaches Natalie. She is talking with a very styl- ishly-dressed, tall, young man, CARL."
peter,"Oh Natalie, I've been looking for you all night. CARL All night? I just saw you deep in conversation with Nicole! PETER Deep? Hell no, we were just talking shop. NATALIE Oh come on Peter, we all know what a ladies' man you are. PETER Who, me? Jack's the ladies' man, not me. You're the only lady I'm after. CARL  So tell me, how's your project coming along? I heard you're not ready yet. PETER We've still got two weeks left before the semi-finals. We'll be ready. CARL We've been ready for three days now. We're gonna kick your ass. NATALIE Their project is really incredible. PETER Oh really?   You've seen it?"
natalie," No, it's top secret but he's been telling me about it..."
peter," ... Please darling, don't move... I'll be right back, okay? I'll bring us back some champagne... He disappears with Paul. JACK You're a lifesaver, Paul. I thought I'd never get away. Rosalie's waiting for me in the living room. Isn't she terrific? PAUL Who?   Rosalie? JACK Clementine. PAUL Oh yeah, for sure, I dunno. Listen, can you do me a favor? With some difficulty, Paul follows Jack as he picks his way through the people dancing, heading in Rosalie's direction."
jack,"Yeah... What kind of favor? Damn, I've got to get her a glass of champagne. PAUL Listen, I've got a little problem. I'm having a valuable package delivered to me on Sunday, but I'm not going to be home. I've got to do the Hawaii-Tahiti-Australia route, so can I have the package delivered here instead? JACK  But it's okay. Peter and Michael will be here. They'll take care of it. PAUL Will you be sure to tell them about it? JACK Absolutely.   Don't worry about a thing. PAUL It'll be delivered Sunday and picked up next Thursday, okay? JACK Delivered Sunday picked up Thursday. Got it. No problem. PAUL This is a very delicate matter, Jack. It's very important they don't tell anybody about this package. It could be very... uh, embarrassing for me, you know what I'm saying? JACK Sure. You got it.    I'll see you later..."
jack,"Okay, sure, not to anyone at all... Look, I'm sorry Paul, but I gotta get back to Rosalie. Now go have a good time. I'll take care of everything. PAUL Bye and thanks a lot."
