Speaker,Dialogue
girard,And god have mercy on whomever you meet next.
mother,"Sit. D'Artagnan sighs, sits in a large wooden chair. A beat. His mother speaks quietly, eyes turned back to the open chest. MOTHER Your father was a proud man. And he had a right to be. I never knew one as brave or as kind. He knew that his strength was a gift to be given in the service of honor. That is why he dedicated his life to his country and his King. That is why he gave his life, for both."
mother,It's time for you find your fortune with men as brave and as bold as you are. In Paris. With the King's Musketeers.  You'll need this.
mother,"Yes, son.   And now to you. With that, she holds out the beautiful saber.         D'Artagnan takes it firmly into his hands."
mother,Never submit to insults.    Except from the King.
mother,You've heard that every man in the Musketeers is on the run from someone or something? D'ARTAGNAN Yes.   But what am I running from?
mogher," A shrew of a mother, and a drafty old house. Now go."
rochefort,"Musketeers... A hundred faces turn   upward to regard him. And on each the same expression   -- absolute loathing for the man in black. Rochefort is    not intimidated by this sea of con- tempt. He revels in    it. ROCHEFORT By joint edict of His Majesty King Louis XIII and His Eminence Cardinal Richelieu, the Musketeers are officially disbanded. In preparation for the coming war with England, your ranks and commissions are hereby transferred to the Infantry. You will be contacted and told where to report. Until that time, you are instructed to return to your homes. DE TREVILLE  And who will protect the King? ROCHEFORT The Cardinal's Guards are more than capable of assuming that... responsibility."
rochefort,"You are hereby ordered to disperse. Should even one of you resist... the entire corps will be arrested and imprisoned.  'All for one, and one for all.'"
de treville,Go to your homes. Wait. Our day will come again.
rochefort, All but... three.
richelieu,Three?
jussac, What is this?
athos,A private party. Go away. ARAMIS Athos -- is that any way to greet our guests?
jussac,Your presence is requested at Musketeer Headquarters by Captain Rochefort. Athos and Aramis exchange looks.
athos,The Cyclops is a Captain? He must've made a pact with the Devil.
aramis,Or the Cardinal. ATHOS What's the difference?
jussac,You're instructed to come with me and surrender your tunics.
athos,These gentlemen made a similar request. JUSSAC Are you refusing to come peaceably? ATHOS Probably. But I'll leave it up to my companions. Aramis? ARAMIS We can't refuse Rochefort's invitation. It would be impolite. Athos tips back in his chair and gazes upward.
athos,"And what do you say, Porthos?"
porthos,"I'll be right down! With the grace of an aerialist, Porthos jumps from the balcony and lands atop the chandelier. His weight causes the chains suspending it to break. With a whoop of pleasure, Porthos rides the chandelier down as it lands squarely atop Jussac's Guards, squashing them."
constance,These 'bandits' are the Queen's own bodyguards.
constance,"You're a very foolish boy, d'Artagnan... but a very handsome one. Good-bye. Constance spurs her horse and rides off to catch up with Anne. D'ARTAGNAN  Wait!   You didn't tell me your name! But Constance is gone. D'Artagnan stands in the middle of the road, feeling foolish and oddly thrilled at the same time. The two bodyguards groan and grumble."
rochefort,"I'll take those tunics, Musketeers. PORTHOS  What did he say? ARAMIS He said he'll take those tunics. PORTHOS Tunics?   Coming right up. Porthos reaches inside his cloak and takes out a crumpled red tunic he took from one of the Cardinal's guards. He drops it on the ground, digs into a pocket and takes out another. He finds another in his boot and another up his sleeve. There's one in his hat. Like a magician, he keeps pulling red tunics out of the most bizarre places."
athos,I was trying to remember the last time I saw you here. I know. It was the day you were kicked out of the Musketeers.
aramis,Conduct Unbecoming a Musketeer. Wasn't that the charge?
rochefort,You ought to know. Three witnesses stood against me.
athos,"And if we refuse? ROCHEFORT You will become outlaws.   Hunted men. PORTHOS It doesn't matter where I go or what I do. Sooner or later somebody's calling me 'outlaw.' Athos cuts him off with a look. He's familiar with Porthos' propensity for tall tales. But not here, not now. Athos turns back to the balcony. Rochefort lobs a taunt. ROCHEFORT Are you refusing to serve your King? ARAMIS We are refusing to serve the Cardinal. PORTHOS Same thing, these days. ARAMIS France has one King too many."
rochefort,I'll tell him you said that.
athos,"Do that, Rochefort. Tell his Emminence the Cardinal that we will continue to perform our sworn duty to protect the King. From enemies across the sea. "
rochefort,I'll make sure His Emminence the Cardinal gets the message. But I can't promise he'll be pleased.
aramis,Are you going to visit them alphabetically or in order of preference?
