Speaker,Dialogue
written by, John Fusco
fourth draft," Oct. 5, 1990"
carl,Hey.
ray,Hey. Nice tie.
carl,Don't get too attached.
ray,Ya got the paper?
carl,Yeah.
ray,"You're my hero, Carl."
carl,"Heroes ain't supposed to shake. I'm shakin', man, look at me."
ray,"Breathe, Carl. Four, nice, deep ones."
ray,"Anyone stops us going in, we're with the Bowen-Hamilton Textile Company. We have rug samples."
carl,Rug samples.
ray,"We are one-dimensional, boring peddlers of fine carpet, Carl."
black man,"Hey, look who's here."
ray,"Louis, my man, what's happenin'?"
fence man,Clean ones?
ray,Immaculate.
fence man,"What ya got there, seventy-five thousand?"
carl,A hundred and ten. Count it.
fence man,SALLLLY!
louis,F.B.I.! Get your face on the fuckin' floor! MOVE!
ray,Slam dunk.
louis,Beauty. Beauty...
carl,"Jesus Christ, Larry, what the fu-- Larry. That's not even your name, is it? What's your real name, you fucking scumbag?"
ray,"Don't have one, Carl. I have a number, man. Just like the numbers on those treasury checks. You stole from your own country, Carl. Shame on you."
louis,Sugar Ray.
louis,They want ya Home. Upstairs wants to see ya.
louis,Make sure ya spell my name right.
carl, He had dinner at my mother's.
intercom,"SA Levoi, Sir."
tully,Please.
tully,Ray...
ray,Mister Tully.
tully,Do you want a coffee?
ray,"No. No, no. Thank you."
tully,"Levoi, Cooch. Raymond Levoi, Criminal Division."
cooch,"Oh, yeah -- right."
tully,Ray this is --
tully,That's right.
couture,"Hello, Ray."
ray,It's an honor.
tully,"Ray, we're taking you off the street. We need you out in South Dakota."
ray,"South Dakota...  Did I do something unsatisfactory, Sir?"
cooch,"No, Ray. You're gonna have to blame that on your grandmother."
tully,"Interesting bloodline you have, Ray.  French, Scots-Irish, Italian, ...and one-eighth American Indian."
cooch,"Sioux Indian, right?"
ray,"I'm not that sure. Yeah, I think --"
tully,"-- yes, Teton Sioux. Father's side."
tully,"Ray, there's been a homicide out in an area known as The Badlands. Indian Reservation."
cooch,It's not the first. There's been several. And our field office in Rapid City is getting a lot of heat... none of the investigations have turned up jack shit.
tully,"The main problem is, Ray, these people are extremely distrustful of outsiders, non-Indians. Relations have not been amicable."
cooch,Different culture. Hard to penetrate. The Indians don't like white cops poking around. And that's why we're in a position where we have to bring in an American Indian agent.
tully,"With an Indian representative out there, we hope to keep hostilities dormant; this is a COINTELPRO, Selective Operations Unit, and it'll be easier on Agent Couture if you can gain the people's trust and maybe --"
ray,"Woh, excuse me, Sir... I see what you're saying... I've got a little Indian blood, that's true. But --  I am not an... an Indian. I can't just go in and --"
tully,-- your father was part Sioux.
ray,"I didn't know him, Sir. He passed away when I was six."
cooch,Seven.
cooch,"Don't worry about it, Ray. As long as the people have proof that we sent them one of their own, no one's gonna ask you to weave baskets or make it rain."
ray,Eight murders in less than a year. All of them Indian. All of them unsolved. Is the law a non-entity out here or what?
cooch,Those are two agents who went into a reservation a few years ago to serve a warrant. They were executed at close range. That one there is a police officer killed by the Mohawks up in Canada more recently.
ray,Jesus...
cooch,"The agents who have worked out here say its like going into Nam. Unfamiliar terrain, foreign language, foreign customs... and you never know when you might walk into a few rounds. They hold a lot of old anger for the white man out here."
ray,Were you in Nam?
cooch,"Airborne. That's where they used to get us agents from. Now we get 'em from Carnegie-Melon, Ivy League. Accountants and computer whiz-kids. Yuppies with guns.  That's scary shit."
ray,Not as scary as a Hoover man with a computer.
cooch,"Hey, hey, hey. J. Edgar would've loved you. He'd love anybody who joined the bureau to, what was it? ""To enforce the laws of my country and protect her interests""?"
ray,You crashed my file?
cooch,"No. I consulted it. We're going into Indian Country, I wanna know what kind of individual is covering my ass. Don't you?"
ray,"You've been in the bureau for thirty years. You survived The Hoov, the Black Panthers and Abscam. I don't see any bullet holes. That's good enough for me."
cooch,Who found him?
miles,Indian kids. Hunting fossils.
cooch,Okay. I think Agent Levoi and I can proceed from here. What are your call signals?
sherman,"PX-10 and 11. Anything we can do to help you out, just radio."
cooch,"Good. Thanks, Guys."
ray,Leo Fast Elk... Thirty seven... single... Member of the Tribal Council.
cooch,Looks like Fast Elk wasn't fast enough to outrun that load. What do you make of the damage?
cooch,"That's what it looks like, doesn't it? But that's what a ten gauge, choke-bored, shotgun will look like when it hits your lower back from five feet away."
ray,"Somebody was serious about doing this guy, that's for sure."
cooch,Ray.
cooch,Good morning.
cooch,Taking ol' Leo somewhere?
crow horse,"Leo's been out here too long, man. I'm taking him to ceremonial burial."
ray,This is a restricted area.
cooch,"Check him out, Ray."
cooch,"Nice piece. You come back here to cover your tracks, Geronimo? What's your name?"
crow horse,It ain't Geronimo.
cooch,Who are you?
crow horse,"I think maybe you guys got off the wrong exit, yeah? This is the Bear Creek Indian Reservation."
cooch,"I know where I am. I'm on federal land, doing a federal investigation, and if you don't wanna cooperate you can take a ride in a federal car, and spend the rest of the day in a little room, answering federal questions. It's your call. Who are you?"
crow horse,"I'm a full blood Oglala Sioux, born and raised on this reservation."
cooch,You're a wise-ass. Ray check his wallet.
ray,I did.
cooch,Who the fuck is he?
ray,-- a fucking cop.
ray,Walter Crow Horse. Tribal Police.
cooch,He's a fucking cop.
crow horse,"We got the wire ya was comin'. You're the Indian official, yeah?"
cooch,"No. No, that's Ray, here. Ray, uh...  Ray... Little Weasel."
crow horse,"Leo's gotta get to burial, Brother. He's gotta make the journey."
cooch,What journey?
crow horse,"Tell him, Ray."
ray,"Leo has to take the journey, Cooch."
cooch,"We'll have to give Leo a refund. Because he's gotta go to the M.E. In case you don't know, Officer, violation of the Major Crimes Act on --"
crow horse,-- an Indian Reservation is within the jurisdiction of the Federal Bureau of Intimidation. I know that.
cooch,Good. Thank you.
crow horse,I said when can Leo be taken to ceremony?
ray,After we've completed our investigation.
crow horse,That's a nice suit.
cooch,"Somebody must be doing something somewhere in your jurisdiction, Officer Crow Foot."
crow horse,"You ain't gonna cut his hands off and send 'em to Washinton, are ya? They done that to one of our girls once. Leo did quillwork, he's gonna need his hands."
ray,"Leo's gonna need his hands, Cooch. He does quillwork."
cooch,I think Leo's retired from quillwork for the moment.
crow horse,"Respect the dead, Hoss. Because when --"
cooch,-- did you understand me when I said that --
crow horse, -- violation of the Major Crimes Act on an Indian Reservation is within the jurisdiction of the Federal Bureau of Instigation. I know that.
cooch,Goodbye.
cooch,What the hell you doing?!
crow horse,His mother needs a piece of his hair. It's for the Keeping of the Souls Ceremony.  Has to be kept for four days.
cooch,Keeping of the souls. Do they still burn their dead or something?
ray,Beats the hell outta me.
cooch,"Sorry, Ray. You're gonna have to wait in the car. I'll bring you out a cheeseburger."
clear moon, You made it. Was-te.
cooch,You must be... President Clear Bone.
clear moon,Clear Moon.  Moon. You must be the Sioux.
cooch,No. That's Ray here. Ray...
ray," Ray Levoi, Sir. Pleasure."
clear moon,It's about time they sent us one of our own. Was-te.
clear moon,Things are no good here. It is like war zone. We need an official who understands what is good for the Indian people. Who knows Indian way.
ray,I thought we were staying on the reservation.
clear moon,Yes. Rooms thirteen and fourteen are on Indian land.
ray,I see.
clear moon,Are you hungry? I have some nice raw kidney in the truck.
ray,"Oh, I'm set, Sir. I'm set."
cooch,"He's starving, Mr. Clear Moon. Get him some raw kidney. He hasn't had any Indian food in days..."
white local,Where you goin'? Back to the res?
white local,What ya doin'? You drunk?
cooch,Let's take a walk.
cooch,What's goin' on here?  I can't walk across the goddamn street without some breed-ass fallin' all over me?
cooch,"Watch out now, he wants a kiss, Ray, wants a kiss --"
cooch,"Go ahead, skin, get your ass back on your sacred land. Get outta here."
cooch,Get outta here. Drive.
dennis,So what type of salesmen are you gentlemen anyway?
ray,"Liquor. We heard they like their drink on the reservation, and we were gonna see if we couldn't unload some surplus on the way to Nebraska."
cooch,"Now keep that between us, Dennis, cuz I don't know what kinda Johnny Law they got here."
dennis,"Hey, Brooks, come over here. I want you to meet a coupla fellas from Denver."
dennis,"Liquor salesmen. Be nice to them, maybe they'll give you a sample of some of that gin you like.  He likes that Russian shit that --"
brooks,They ain't liquor salesmen. They're FBI.
cooch,"Brooks, what's a perceptive fellow like you, doing in a joint like this? Let me buy you a glass of some of that Russian shit you like."
dennis,FBI? What you investigatin'?
cooch,A murder. On the reservation.
dennis,"Again. Figures, man."
brooks,You'll never find out who did it.
cooch,"You underestimate me, Brooks."
brooks,"No. You underestimate these grass niggers. They're killing each other. That's all they do. Get drunk and kill each other. Then cover for each other. Who gives a damn really as long as they stay on their reservation. You ask me, the government shouldn't care one particle."
dennis,"You know how in your big cities, you got your niggers and you got your Puerto Ricans? Well out here we got Indians. That's just the way it is."
cooch,"The only good Indian is a dead Indian, does that old adage still hold true out here?"
brooks,"That set-to you saw out front, was nothin' more than a message we were sendin' to the sonsabitches that are divertin' water from the river."
dennis,We got rights. We got a ranch just up here.
ray,Did any of you gentlemen know Leo Fast Elk?
brooks,"You fellas are here to investigate a Indian crime, you should keep to Indian land, and talk to them, not us. But you wanna drink here and shoot stick here, that's your right, and we respect that.  Come on, Son, we're up on the table."
dennis,You fellas wanna play doubles?
ray,"Water. Worth killing for out here, I'd think."
cooch,Get the plate numbers off everyone of these cars.
ray,I already did.
ray,Couldn't sleep.
cooch,Good.
recorder, -- out here we got our Indians. And that's the way it is.
cooch,"By the time you get to the main village, sun'll be up. I want you to fraternize. Socialize. Penetrate. Infiltrate. Eat some raw kidney, and get these Indians talking. I'm gonna Powwow with Big Chief Clear Moon and find out more about Leo."
ray,Done.
ray,"Hobert Standing-Buffalo-That-Walks- Dreamer.  Hello, I'm looking for Hobert Standing- Buffalo-That-Walks... Dreamer."
ray,Good morning. I'm looking for Hobert- Buffalo-Dreaming...  Hobert Standing-Buffalo-That-Walks--
ray,--Dreamer.
ray,Sir?
crow horse,Ray Little Weasel. FBI. I like the way ya sneaked up on me. Must be Indian.
ray,What are you --
crow horse,Watch out!
ray,What?!
crow horse,You're steppin' on sign.
ray,"Hey.  Hey, you, listen up --"
crow horse,-- Leo wasn't killed here. He was dumped here. Out of a vehicle. Bald tread. Muffler held on with baling wire.
crow horse,"The man you want... stepped outta the car, dragged Leo out, laid him down. Then walked over here and made a circle in the earth with a stick. I can't find the stick. He stuck an eagle plume in the circle, got back in his car, dustin' his own prints with a pine bough for about six feet, but he missed a print, right here, see. He got in his car and went Hell- bent-for-Holy-Sunday outta here. He ditched that pine bough three miles across the flat, in the Little Bear River, it floated down to Thundershield Gap. The car hit paved road, and was outta here."
