Speaker,Dialogue
young man,Please-please stop. D-don't.
young man,SARAH!    RUN!
mike,"Come on, hit me."
sheryl, Chill...I gotta find -- alright.
mike,You got one?
mike,"""Warning Shots"", Thievery Corporation."
mike,Come on.   Next one.
mike,"""Bullets"" by the Editors."
sheryl,You loaded these songs. You don't need to be so impressed with yourself.
mike,I know I don't have to be.
sheryl,I haven't even heard of half these bands.
mike,"It's called good music. You should try to familiarize yourself with it, instead of listening to the crap you do."
sheryl,I listen to crap?
mike,Hurts me to be the one to tell you.
sheryl,I'm sure it does.
mike,"You gotta be more like me, baby. Think new, fresh, cutting edge. I'm looking for the next Beatles, U2 or Radiohead."
sheryl,"So, where does this band fall into that group?"
sheryl,"Fresh, new or cutting edge?"
mike,How'd that get on there?
sheryl,You loaded the songs.   You tell me?
mike,Must be a mistake.
sheryl,Says here you've listened to it 86 times.
sheryl,Is this true? Have you always wanted to be a cowboy?
sheryl,"You also got ""Men Without Hats"" greatest hits? I didn't know they qualified for a greatest hits album. Can you break me off a little ""Safety Dance""?"
mike,"Okay, give me that."
mike,Good morning.
sam,Now what can I do you two for?
mike,Well...ah...
sam,First time here and you're not quite sure where to begin.
sam,Something like that.
sheryl,Precisely like that.
sam,Get you started with one of these.
sam,How long you folks hiking for?
mike,Two days.    Heading out early Sunday.
sam,"Well, if you move at a decent clip, you could hit the summit by midday tomorrow. Should still give you time to take it all in and make it down."
sheryl,Any particular path?
sam,You folks experienced hikers?
mike,We've done some ah--
sheryl, No. Nothing like this.
sam,"For first-timers, I recommend either Willow Creek Bridge or Donner Trail."
sheryl,"Donner Trail? As in ""The Donner Party?"""
sam,"I'm not sure of the name's origin. They're the two paths we regularly patrol. Something happens and you're on one of the other trails, it might be awhile before we find you."
mike,Where do we camp?
sam,"Unless it says not to, you can set up where you like. Just make sure when you turn in that you extinguish your fire. Oh, and this here's bear country. They're not animals to fool with. You see one, you head the other way, especially if he's feeding. If the bear thinks you're getting in the way of his food, that's all she wrote."
sheryl, Great.
sam,You got yourself a first aid kit?
mike,Nurse Betty here's my first aid kit.
sheryl,Don't mind him. I'm a nurse.
sam,"Good for you. The question was, do you have a first aid kit?"
sheryl,"Yes, we have a first aid kit."
sam,"Great, see how easy that was.  It's off-season, park's pretty quiet. Even more than usual. You may run into a few locals, but--"
sheryl,People live up here?
sam,We have a few generations of families that have called these mountains home. Most of `em are friendly. Respect their land and they'll respect you.
mike,Sorry.
sam," Base is just outside, to the left. At about two miles up there'll be a junction where you can pick your path."
mike,Thanks.
mike,You getting anything?
mike,I'll lock them in the car.
sheryl,I'll take mine.
mike,Why?
sheryl,Just to annoy you.
mike,Seriously...
sheryl,"In an emergency, I'd rather have a phone that may not work up there, than not have a phone that may work up there."
mike,"Okay, we all set?"
sheryl, Yup.
mike,Let's do this.
sheryl,"Hey, Einstein. What do you think, leave the tent or maybe take it with us?"
mike,I was just seeing if you were paying attention.
sheryl,It could be fun.
mike,Not a chance. High School reunions serve only two purposes... to try to 
sheryl,So what were you?
mike,Me?   I was a stoner.
sheryl,So what does that mean?
mike,How the hell am I supposed to remember? I was high all the time.
mike,Where'd you get that bandana?
sheryl,"It's cute, right? I stopped by that Army-Navy store on Grover yesterday. Keeps the sweat out of your eyes."
mike,"And when you were buying it, you didn't think that maybe..."
sheryl,Oh...well...it was the last one...
mike,The last one?
sheryl,Yeah...
mike,The entire Army-Navy store... sold out?
sheryl,Completely. There was some sort of run on bandanas at the last minute.
sheryl,Here... You big baby.
mike,Fucking nasty.
sheryl,What is it?
mike,"Looks like it's a, or was, a fox. Come on."
sheryl,"What do you think?    ""Cannibal"" Trail or the other one?"
mike,Guidebook says a couple of these other trails lead to some pretty sweet views.
sheryl,We're not Lewis and/or Clark. We're gonna stick to one of the ones the Ranger said.
mike,We're just going over our options here.
ida,"Well, take it from me, any way you choose, you can't go wrong."
sheryl,The Ranger at base suggested Donner Trail or...
ida,"...Willow Creek Bridge. I think Sam only knows those two trails. Well. Between those, I'd pick Donner Trail. Willow Creek will shoot you to the top, but there's not as much to see. Donner weaves through Peddler's Point, it's a better hike and prettier all around view."
sheryl, What do you think?
ida,That's a pretty ring.
sheryl,Thank you.
ida,"Not your traditional wedding ring, but it's all the same in the Lord's eyes. How long have you two been wed?"
sheryl,Oh... we're not married.    Not yet anyway.
sheryl,It's a ring my father gave me for graduation.
ida, I'm just an old fashioned silly-bird. I need to mind my own business.
sheryl,"No, it's fine."
mike, Which one of those trails got the best clearings?
ida,"Clearings? Neither will give you much in the way of clearings. But, there's another path, this one here.  Timber Falls. Its got some beautiful vistas and one of the prettiest falls you'll ever see."
mike,Sounds perfect.  Yeah?
ida,"Well, I'll leave you to it. Last thing you need is me fussing'round you, taking you from your private time."
ida,"I'm just gonna say it and go, but if you two were to marry... I bet the Lord would bless you with a happy, healthy and handsome child. Good luck and God bless you both."
sheryl,I suddenly feel the need for confession.
mike," Not yet? Love taking your shots, don't ya?"
sheryl,When I see an opening.
mike, That path she was talking about winds through these falls. What do you think?
sheryl,"I think... if you get eaten by a bear and there isn't a Ranger around, I'm not carrying what's left of you down this mountain."
mike,And they say romance is dead.  Timber Falls it is.
mike,Who's Lewis and/or Clark?
sheryl,You really were stoned through high school.
mike,You're going to lose that out here.
sheryl,It's fine. I never take it off. Not since you gave it to me. Betcha don't remember...
mike,I remember every moment with you.
