Speaker,Dialogue
bond,There has to be an easier way to earn a living.
bond's voice," Seven, in position."
tanner's voice,"Roger, Seven."
admiral roebuck,"- I'll be sure to acknowledge 007's 'assistance' in my report to the Prime Minister. But this is, still, a naval operation."
general bukharin,"'In a joint operation, someone's nose always gets put out of joint.'"
tanner," A regular terrorist swap meet. Death at discount: Two Chinese Long March Scuds, a pair of Soviet A-17 attack helicopters -"
bukharin, Stolen -
tanner,"And the crates look like American M-16 assault rifles, Chilean antipersonnel mines, six French Exocet missiles, and 75 - no maybe a hundred - kilograms of Czech made C-4 Semtech explosive.  Something for everyone. Fun for the whole family."
tanner, One to seven: Deal the face cards.
tanner,"Gustav Meinholtz. Neo-Nazi, former East German STASI agent. Ties to the Beider-Meinhoff gang.  Aces high, seven. Bid to the east."
tanner,"Vilko Barkoviac. Bosnian war criminal; thought to be operating freelance out of Teheran.  Full house, seven. Bid to the North."
tanner,Sitoshi Isagura. Japanese religious fanatic. Wanted for the Tokyo subway -
admiral roebuck, Tell your man to drop back. We're initiating plan B -
admiral roebuck,"- Thank you, M. But this is more than your man can handle.  Are we in agreement?"
bukharin, - Yes. Yes.
admiral roebuck,Command to Nelson: Authorization to fire.
captain,Weapons authorized. Prepare to fire. On my count: Five. Four. Three. Two -
firing officer,Cruise missile away -
admiral roebuck,"I appreciate your assistance, M. But this is now a military operation."
tanner,One to seven: Exit target area. Repeat -
bond's voice,Seven to one. Negative. Wait.
tanner,"Oh, no."
tanner, Kim Dae Yung. North Korean Nuclear specialist.
tanner, I don't know. He's not in the database -
bukharin, ... We usually... Transport... Weapons grade uranium.
tanner,Maybe. Maybe not.
admiral roebuck,It's too late -
tanner,One to seven - one to seven -
bond,"Negative, one. NOT YET."
tanner,"Soviet SB-9 nuclear torpedo. Yield, one kiloton."
tanner,Yes.
admiral roebuck, Jesus. Can't you people keep anything locked up?
general bukharin,We didn't know it was missing.
tanner,God help him.
bond's voice,Seven to base. I have a full house. Your bid.
bond,"By the way: Thank the General for all his ""assistance."" Over and out."
bond, ... And what do you call these?
jenny wu,Ja-shwa tsway. These are lips.
bond,Indeed they are.  Deadly little things.
bond,And what do you call these? The Gang of Two?
jenny wu, Stop it!
bond,I was just getting to the interesting part!
jenny wu,We've already done the interesting part. Do you forget?
bond,Remind me.
jenny wu,Sakwa!
bond,"Is that Mandarin, or Cantonese?"
jenny wu,Mandarin. You jerk.  I'm late. I have to get dressed.
bond, Hello.
moneypenny,"Hello, James. I hope I'm interrupting something important."
bond,"Not at all, Moneypenny. I was just brushing up on a little Chinese."
moneypenny,"I'm sure she is, James. But I'm afraid you'll have to 'kiss off' the rest of your lessons this afternoon."
