Speaker,Dialogue
clock," Tick, tock, seven o'clock.  Time to rise and open your eyes."
clock," Tick, tock, seven-oh-one.  Time to get up, the day had begun."
clock," Tick, tock --"
quail,"I dreamed about Mars again... it was bizarre, yet is was so real..."
kirsten, It's your time of the month again.
kirsten, At least once a month.  Douglas Quail's obsession.  For twelve years you've been talking about Mars.
quail,"People do go to Mars, you know."
kirsten,"That's right, Douglas.  But not you.  Not us."
kirsten," As it is, we can barely scrape by on your lousy ten thousand a week."
kirsten, What do they expect ... the way men dress these days ... then they scream rape.
quail,You know -- let's really do it.
kirsten,Rape men in the park?
quail,No.  Go to Mars.
kirsten, Go to hell.
quail,"We can pool our savings and I've got some sick leave coming, besides my regular vacation..."
kirsten, ...more of a half-wit.  For a start a war could break out there any day ...
quail,That's just media talk.  They're...  ...just a minority.  They're powerless.
kirsten,"Well, there's a lot of things we need around here before we waste our money on a trip to Mars.  We're broke.  I'm just a slave around this dump. Now if you were capable of finding a better job...."
clock,It's now eight.  You'll be late!
quail,I'll be late!
guard,"No weapon again, Mr. Quail?"
quail,"I keep forgetting, Herb.  They frighten me."
guard,"Yeah?  Well, it's the law, Mr. Quail.  Has been since 1990 they tell me.  Tomorrow - ya carry ya gun or ya get reported."
quail,"Okay.  Herb, okay."
newscaster," ...but Earth Intelligence Operations Director Vilos Cohaagen, clearly worried about the damage to Mars's all important tourist industry was today dismissive of the dissident groups...."
cohaagen,We're dealing with a bunch of extremists and unrepresentative lunatics.  Mars is a happy and prosperous protectorate of Earth... and will remain so.
cohaagen,I have no further comment.
announcer,"Good morning, commuters.  This portion of your trip is brought to you by Rekall, Inc.  Do you have a dream that never came true?  Do you aspire - but only perspire?  Has the great adventure passed you by?  Then come to... REKALL, where what might have been will have been. For the memories of a lifetime... REKALL."
quail,But... is the process really that effective?  A false memory!?
quail,"Is it in any way dangerous? I mean, the medical techniques?"
quail,It's just - incredible.
quail,But... I'll know I hired you. That'll destroy the whole illusion.
quail,I won't?
quail,"""Intelligence Agent""... wouldn't that be dangerous?  I might attack...."
quail,I don't know... about the whole thing... it's all such a fake.  I won't really have gone.  I won't really....
quail,You know that's illegal.
kirsten,Yeah?  Who's going to report me?  You?... wimp....
kirsten," Screwing around's illegal, too.  But just give me half a chance..."
old lady,"Hi, I'm Doctor Sophie Lull. Sorry I'm late.  I'll be right with you."
quail, This really going to work?
lull,It the Pope Martian?
lull,"Now, just relax, kid.  This ain't gonna hurt.  Just a controlled drip of Narkadine. When you're under, I'll just ask ya a few questions, nothin' real personal, just full details of yer private life so's we can tailor the wish-fulfillment program to your needs."
lull," See?  Painless.  I didn't feel a thing.  Hey, you're a nice kid... you like a little somethin' extra?"
lull," Good.  Now, what's the first thing you think of when you're thinkin' about Mars?"
quail, Well... I'd like to see the Martian Sphinx...
lull,"Okay -- you will, Dougle!  I want ya to start counting backwards from a hundred for me."
quail, One hundred... ninety-nine... ninety-eight... ninety-seven... ninety-six... ninety-five....
lull,"Okay, Ernie, the trip to Mars; number sixty-two... and throw in that blonde... We'll give him a real good time."
ernie,Sixty-two... and... the blonde...
ernie,"Boy, is this one wild.  He won't want to come back."
lull,Dougie?  This Sophie Lull. Can ya hear me?
quail,...Sophie....
lull,Good! ... I'm gonna ask ya a few more questions now.  Ya think you'll be able to answer 'em?
quail,...Yes....
lull,"Attaboy!  To begin with, I wanna ask ya; -- You sex life.  How many orgasms a week?"
lull," Quail?  Dougie, can you hear me?"
quail,Yes.
lull,Tell McClane what you told us.
quail, All of you in this room are dead.
quail,You've broken my cover.
lull,The Narkadine cracked a memory cap.  Mars --  He's really been there.
ernie,With spontaneous breakthrough.
quail, You've compromised the Sphinx Project.  You'll have to be silenced.
quail,My name isn't Quail.
quail,"I believe you, but that won't stop E.T.O. from killing you."
quail, Killing you... killing you... killing you....
lull, Someone at Earth Intelligence Operations erased his memory. All he know was going to Mars meant something special to him.
