Speaker,Dialogue
robert,Mr. Rodman...it's too bad your client didn't show as much sense in choosing what he planted as he did in choosing his attorney...
robert,"Lately the only variation I'm hearing in your argument is the name of the client.  And you can sit there all day arguing the ins and outs of Illinois v. Gates, but you aren't going to convince me that this country has not sanctioned the use of anonymous informants.  Furthermore, there is no sacred protection of property rights in the United Sates.  When you make the decision to have marijuana on your farm, whether it's one joint or an acre of plants, your property can be seized and your property can be sold."
robert,"Mr. Rodman, may I offer a piece of advice?  The next time you argue this point before this court, regardless of my whereabouts, I recommend you have something up your sleeve other than your arm."
clerk,What do you think it is?
robert,Depends who it's from.
clerk," Your friends at Warren, Putnam and Hudson."
robert,"You can learn a lot about somebody from this stuff.  Three categories: you like me, you hate me, you want something from me.  Definitely third category."
clerk,What would a law firm want from the new drug Czar?
robert,Depends on the state.
clerk, Arizona.
robert,Medicinal marijuana initiative.  Or am I being cynical?
clerk,Maybe there's a book in it.
robert,Not by me.
javier,I had that dream again.
manolo,Which one?
javier,Where my mother's suffocating.
driver,Is there a problem?
javier,No.  There's no problem.
driver,Okay.  I see.  How much do you want?
driver,You want more than this?
driver,You want something else?
javier,Drop the package.  Put your hands behind your head.  You're under arrest.
driver,I don't understand.  I think there must be some mistake.
javier,"No, there's no mistake."
salazar, What's your name?
javier,Javier Rodriguez.
salazar,"Well, Javier Rodriguez, you've done a very good job, but we'll take care of it from here."
salazar,We've been following these Narco- trafficantes for some time but had not been able to bring them to justice.  Put the prisoners in the car. Impound the truck.
salazar, One question.  How did you find about this?
javier,An informant.
salazar,What is the name of your informant?
javier, It was an anonymous tip.
salazar," For a State Police officer, you're very well informed.  Let's go."
moments later,Javi and Manolo watch the convoy of vehicles drive away.
manolo,Wasn't that General Salazar?
javier,Yeah.
manolo,What's he doing up here?
javier,I don't know.  Something.
castro,No telltales.  Nothing to read. Not touching my face.  Not even blinking.  No giveaways.  How're you feeling?
gordon, I feel good.
castro,"No more pissant basin league bullshit for us, hunh?"
gordon,Nope.
castro,"Limbering up, gonna stay loose, keep it all together.  Take this motherfucker down."
castro,Showtime.
castro," Good afternoon, ladies, gentlemen. We're looking for Eduardo Ruiz.  We have a two o'clock appointment."
ruiz,You ever buy a quarter ton?  Not many people have.
ruiz,"So, it's worth the wait, right? What can I do?  Rent a Huey?  Have an airlift?  It's not like you can put it in a condom up some mule's asshole, right?  How many peasants would that take?  A line stretching from here to Mexico City --"
gordon,"Nobody said shit, Eduardo --"
ruiz,"Relax.  We're waiting, that's it."
castro,"Hey, you want to hear a joke?  I got a joke.  Why do women wear makeup and perfume?"
gordon,Chill out --
castro,It's a funny fuckin' joke and it's quick.  Why do women wear makeup and perfume?
ruiz,I don't know.
castro,'Cause they're ugly and they stink.
gordon,"Man, you never been close enough to a woman to know how she smells."
dea agent,"This is ridiculous this fucking thing.  Look at this shit -- the first television transmission.  I had better shit when I was the AV guy at junior high, swear-to-God."
fbi agent,"This is our show.  Ah, man.  I don't want to share this one."
castro,"Agent down.  Repeat, agent down."
clown,"Hey dudes, we're not open yet."
ruiz,Take me to the hospital.  I'm bleeding to death.
seth,"Father of Greek tragedy?  Anyone? Okay, Aeschylus it is.  Score.  Thank you.  Madmax from Omaha we own you.  And Tragedy is closed out."
caroline,Entertainment.  The Susan Lucci section or Banal Love Songs of the Nineties?
seth,"Banal Love Songs it is.  Hey, you wanna try something?"
caroline,What are you doing?
seth, Just watch.
seth,Inhale the smoke and hold it.
caroline,"What is this, like freebase?"
seth,Not like.  It is.
seth,Go...  Go!
seth,Hold it.
seth,"See... Now, you see."
caroline,More.
robert,I'll be sure to let you know.
sheridan,"I just want to be clear about one thing.  I used to work for him, but now I work for you.  I'm not a partisan person, I'm an issue person. In the next few weeks, if you allow me, we'll get you well-versed on an incredible array of issues.  The most important of which, in my opinion, being Mexico.  I know everybody that you're gonna meet. It's important that they like you. It's not important that they like me.  That's why I can help protect you."
robert,Like you protected Landry?
sheridan,"I see where you're going with that, but if I could just say something, which is basically that a guy like Landry is so autocratic he doesn't know how to let himself be helped; it's a point of pride to take every bullet, no matter who fired it, or whether it was even aimed at him, which personally I think it very self-defeating.  Now, don't get me wrong, he's a man of enormous integrity, but there's a political component to this job that the General just didn't have any patience for."
general landry,"Jeff, you want to excuse us for a minute?"
general landry," Functionaries.  Nice people, the Schedule C's.  About twelve graduate degrees apiece, but it seems sometimes all they do is start rumors."
robert,"You've done a fine job here, Sir. The Office of National Drug Control Policy is in better shape than when you found it."
general landry,I'm not sure I made the slightest difference.  I tried...  I really did.
robert,"There are a lot of encouraging statistics.  The work's just started, but I intend to see it through. You've got my word on that."
general landry,"You're here for two years, three maximum.  What'd they promise you? Court appointment?  What?  District? Appeals?  Not Supreme... Supreme?"
robert,I've come in to do a tough job and that's what I'm going to focus on.
general landry,"When Kruschev was forced out, he sat down and wrote two letters and handed them to his successor.  He said ""When you get into a situation you can't get out of, open the first letter and you'll be saved.  And when you get into another situation you can't get out of, open the second.""  Soon enough this guy found himself in a tight place.  So he opened the first letter.  It said, ""Blame everything on me.""  So he blamed the old guy and it worked like a charm.  He got into another situation he couldn't get out of, so he opened the second letter, which read, ""Sit down and write two letters."""
javier,Relax.  If they were going to kill us they would have done it in the desert.
manolo,"They wouldn't do it in front of all these people.  They'd send someone later, when we're alone."
manolo, Away from the car.  Now!
javier,"Even if that were true, they're not going to come to your house where you're waiting for them."
anna,"He's right.  They'll do it when you're walking somewhere, make it look like street crime."
manolo,Shut your fucking mouth.  Nobody's talking to you.
javier,"If you want her to stay out of it, then stop telling her everything. You should learn how to keep a secret."
manolo,She's nosy.  She hears me on the telephone.
javier,"Anyway, I don't think we'll ever see them again.  Everything's back to normal."
tourist woman,You're a police officer.  Aren't you going to take a report or something? Don't you want to know what kind of car it is?
tourist man,It's a Brown Ford Explorer --
tourist woman,It was right here.  It's been stolen. I want to file a report.
manolo,Please.  Filing a report will not help you find your car.
javier,The police won't find your car.
tourist woman,But you're the police.
javier,"Call this man, he'll find your car for you."
tourist man,I don't get it --
tourist woman,How will this guy know who has our car?
javier,The police will tell him.
tourist man,Why will they tell him but they won't tell us?
tourist woman, Right?  And he pays the police.
