Speaker,Dialogue
aragon,A year younger than I was for my first.
tristan,When can I have a stag?
aragon,a stag?
tristan,Oh come on!
tristan,Why would they join up against the Irish?
aragon,Because someone has to stand up to them.
tristan,You?
aragon,"Me, Marke, all the tribes. We cant resist alone."
tristan,I could.
aragon,Oh my little warrior. We have to be careful.
aragon,Come home without something for your Lady there will be hell to pay.
tristan,Can I?
man,"The Angles have arrives my Lord, as well as the Carrods, our fellow Jutes and the Saxons."
aragon,"Good. With Marke, all will be here."
man,Yeah. It is a great day.
aragon,Let us hope so.
tristan,Thanks.  [The boy starts to make a bracelet out of the herbs. Going up to Lady Marke he hands her the finished wreath]
lady marke,We heard the news...
tristan,"Mother, I made this for you"
aragon,"Friends, look at us."
aragon,"The tribes of Britain. Divided. Weak. Just as the Irish like us. But if we were one land united, we would out number them two to one. We could defeat them once and for all. That is why we are here today, to sign this treaty of unification."
lord,But who would be King?
aragon,The strongest among us: Lord Marke.
aragon,"Look if you are happy sending all of your gold to Ireland, living as slaves then by all means do nothing."
baron,If we were happy doing that then we would never have risked coming here.
marke,"Friends. My wife is with child, my heart tells me it is a boy. I want him to grow old in a land where all of us, all the tribes: Pict, Celt, Angle, Jute, Saxon are at peace. This island has not known unity since the Romans left. That is why I sign this treaty."
wictred,And why should we follow you?
marke,"Perhaps, Wictred, because your last attempt to form an alliance without the knowledge of half the Barons in this room has failed."
man,My Lord! The Irish are here!
aragon,Take all your men. Guard the women!
marke,But you...
aragon,Go!!!
lady marke,Tristan! Hurry! Come this way.
baron,How did they know?
lady marke,"Tristan!  [Aragon manages to hold his son back and puts him in a hold under the floorboards. Aragon is then killed by Morholt. There is more destruction and fire breaks out. Tristan reaches up to touch the floorboards above and finds his fathers seeping blood on his hands. Tristan comes out of the hole and surveys the destruction. His father and Lady Marke are dead. Suddenly he is attacked by an Irishman but Marke jumps in to save him, losing his hand in the process]"
bragnae,"Shes with the Gods now Isolde, youll see her again someday."
isolde,Will I?
henchman,Morholt returns.
king donnchadh,What news of the treaty?
king donnchadh,"Good Morholt, good"
bragnae,Your mother loved you so much Isolde
isolde,Why did she die Bragnae? Why?
bragnae,It was an ill fever that took her. Fever.
isolde,No. It was her heart.
marke,Your husband?
marke,Oh sister I am so sorry.
marke,A whole generation of men.
edyth,Whos this?
marke,Tristan. Son of Aragon. Were his family now.
edyth,"I have a son about your age. Melot! Melot!  Melot, this is Tristan."
henchman,"What shall we do, my Lord?"
marke,Rebuild.
marke,Dont hold back  [Marke loses the fight easily. A boy starts yelling to the other boys]
boy,Tristan wont fight me! Look hes scared!
marke,Still won't fight?
general,Tristan has the heart of a lion.He just needs some time.
melot,"Why did you take off your helmet? You going to cry? My father died too, but you dont see me crying!"
edyth,Melot!
melot,Run! Find another trapdoor to hide under. Coward!
henchman,Tristan!
sammy,"Tristan! Tristan! Weve found something! Come on, this way."
melot,You will love it.
simon,I found a trapdoor!
melot,"You found a trapdoor? Alright Simon, will you tell us all how you found it?! Look at that!"
tristan,Where does this lead?
melot,"Youll see. I like that vase, I think I'll have that. I always knew the Castle was built on Roman foundations but we didnt think anything was left!"
tristan,Must be a burial crypt or something.
melot,Here we are: the bottom of the keep.
tristan,Who else knows about this?
sammy,Nobody.
tristan,Good.
bodkin,"The savages have rebuilt the castle at Cornwall, only now its made of stone."
king donnchadh,Of Cornwalls next tribute I want slaves. Young ones. Their future. If Marke resists have Morholt crush him.
morholt,My King.
king donnchadh,Morholt.
morholt,I have led your armies to victory far and near. Iv made you rich and powerful.
king donnchadh,Yes you have. You have been most loyal.
morholt,"When I return from Cornwall, I was hoping..."
king donnchadh,What would please you?
morholt,A wife.
bragnae,Its dark in an hour.
isolde,What do you think is really out there?
bragnae,Britannia. The old Roman lands. Full of evil and grief.
isolde,I want to see it. Do you know what the future looks like Bragnae?
bragnae,I see the life you were meant for. Your father will speak with you.
isolde,Am I just a chattel to be traded at your pleasure? Do I have no say in my own life?
king donnchadh,You have a duty to your King.
isolde,You are my father.
king donnchadh,"Then obey me, daughter."
morholt,Your father has given you the news?
morholt,And you welcome it?
isolde,I accept it.
morholt,"You know, we are more alike than you might guess."
isolde,How so?
morholt,I too dabble in elixirs.  Poison from the livers of a puffer fish. Just a taste paralyses all the senses. So if the blade doesnt kill...
isolde,Rendered safe by thistle and bark.
morholt,And you know the antidote for this?
isolde,Yohimbine.
morholt,"Makes a hard man even harder.  The only cure... wild abandon. Till out wedding day. Im to Cornwall, to deal with rabbles."
bodkin,Release them.  [The Irish men spread out and start collecting Cornish men and women as hostages]
cornish man,Leave her!
bodkin,Take him there. Get a rope. Any man foolish enough to interfere in any way shall suffer the same fate.
girl,No! No! Please No!
bodkin,If there are any more attacks we shall put our guests to death and raise this entire land. Take the horses.
marke,When would you strike?
tristan,At once. Throw everything we have at them.
marke,They are hoping you'll do that. On horse they outnumber us two to one. You would lead the men straight to their deaths.
tristan,So we do nothing?!
marke,"Donnchadh would like that even more. Me to lose face in front of the other tribes. No, we must act. We must be decisive but we cannot act alone."
marke,So. Have the good men of York come to fight with us? Hm? The Saxons of Wessex?
wictred,My men dont want to follow a Pict into battle. Let alone one leading a pack of Angles and Celts.
marke,Then why are you here?
wictred,I thought Tristan should let me command his men.
tristan,I make it my habit to follow no one.
wictred,Except Marke.
tristan,Marke delivered me from that place when I was a boy. You ran. So you can understand that when I think of Kings I think of him. When I think of cowards...
marke,They are one day from their boats on the old Roman road. Now who will ride out with Tristan to fight them?
lord,"What is your plan, Tristan?"
tristan,We will need our two fastest runners.
irish man,"Go around!  [They continue to pursue the runners on foot. Suddenly Tristan and his men spring up from hidden holes under the loam and shoot the Irish with their bows. The Irish are attacked from all sides and defeated. Back at the main part of the Irish convoy, Morholt cleans his blade]"
bodkin,"Morholt, theyre back!  [Cloaked figures ride in while the camp cheers. Suddenly they attack and more British spring from the ground. A battle ensues. Morholt begins to kill the hostages, but Tristan springs to stop him. Sammy is stabbed. Tristan is stabbed by Morholts poisoned blade but manages to kill Morholt. Melot and Tristan run to Sammys side]"
morholt,Kill the slaves!
tristan,Simon!
sammy,I dont want to die.
man,Tristan!
tristan,I cant feel my legs or my hands.
man,Poison.
