Speaker,Dialogue
black,"The FOX SEARCHLIGHT LOGO comes up. AN EXTREMELY BEAUTIFUL JAMES HORNER TYPE,SCORE PLAYS... i"
trailer announcer,In a time where to be different was to be condemned... and to be condemned was to die...
trailer announcer,.one man chose to question his God... Lazarus screams angrily at crucifix on the wall:
lazarus, You made me! Why can't you... UNMAKE ME!'
trailer announcer,"Winner of the Palm D'or, The Golden Bear, The Laughing Monkey and over 350 film critics' '10 BEST' picture lists, and hailed by Roger Ebert as ""A MASTERPIECE"
black,"The thumping blade gets LOUDER AND LOUDER, the BASS LINE of ""BREAK ON THROUGH TO THE OTHER SIDE"" rising with it until finally..."
motown,"That's for Brooklyn, Muthafucka! Underneath the hovering chopper, OSIRIS,a black, buffed out Rambo-looking Sergeant, is letting loose his M-16 with abandon, yelling at the pilot to get the bird lower. It does. Fats grabs. the mortally wounded Brooklyn and slings him over his shoulder, Brooklyn's shirt is blown open revealing his entrails...in shock, he clutches his liver in his right hand, and is trying futilely to put it back in his body..."
motown," SIR! Requesting permission to disobey Sergeant's orders, SIR! FOUR LEAF IS"
chopper pilot,"Sir! We gotta DIDI NOW! Air strike confirmed! This place is gonna be toast in about thirty seconds! Osiris turns on Motown, pulling his .45 in the midst of the mayhem. He pushes it up into Motown's neck."
brooklyn,"A 1, I qft  I Id Sarge... .We PUSH IN ON BROOKLYN dramatically as he raises his head. Looking off to the tree line, he points a crooked finger..."
brooklyn,"It's him. It's Four Leaf... Everyone turns to-see... FOUR LEAF, who looks a lot like CHRIS MICHAEL SPEEDMAN from the ""Scorcher"" trailer, . burst through the treeline, half limping, half crawling heroically through the massive firefight in SLOW MOTION. He is being chased.by about-FIFTY _VIET...CONG SOLDIERS... Everyone on board seems mesmerized. Osiris sees it, and can't believe his eyes... nevertheless, he screams to the pilot. I"
four leaf,"Get outta here. I'm worm food, man, you dig?"
osiris," What, and give up all that California pussy you been talking about? Shiiit. Someone's gotta show me around L.A..."
four leaf, Shit. . .the only way you're gonna get a piece of LA pussy if is you go out to the graveyard and dig some up... Osiris looks down at Four Leaf's now missing arms...
osiris,Well ...y...you better come along and bring the shovel... He starts to choke up.
four leaf,"I'm scared,. Sarge. 'Scared I ain't never gonna see another sunset.  Why does a man want to pick up sticks against another man... 'Stead of usin' them sticks. to prop a man up? Osiris nods, now crying like a baby... 4Id Iu I. Igft"
four leaf," Hold my hands... 'cause I got somethin' to say... Osiris looks down.at Four. Leaf's bloody, stringy stumps. There's nothing to hold..."
four leaf,"Are, you holding them?"
four leaf,"I ain't never been worth a. nothin' in this life, and it's kinda late to start b e i' a somethin' now. But you... you are my... b-b-brother. Four Leaf screws.up.his .face and begins to cry--except that he can't. He tries again... and can't.. Hescrews up his face grotesquely..."
four leaf,"You are my... WE NOW PULL BACK TO REVEAL we are actually on location shooting this war scene with about 50 CREW MEMBERS watching, surrounded by millions of dollars worth of film equipment. Four Leaf, actually the superstar. playing him, Speedman, is getting increasingly self-conscious, becoming more and. more aware of the-crew waiting for him to cry. The actor playing Osiris, KIRK LAZARUS, is also getting uncomfortable holding Speedman's not-crying head."
speedman," I'm sorry, can we cut, Damien? Damien grips his headphones in confusion, looking around to his cadre of assistants and ADs... The chopper continues to hover, soldiers continue to fight, except a few are starting to wonder what's going on."
speedman,"CUT! We gotta cut, Dorf!"
speedman,"No! Not still rolling! Cut! Damien runs towards Speedman. Fats, who is young fat comedy gross-out star JEFF PORTNOY, gets up from the ground, rubbing his butt."
portnoy,"OW, SHIT! I fell right on my ass bone! Other ""dead"" extras begin to hold their heads up and look around. Some are amputee stuntmen."
damien,"STILL ROLLING! Get down Kevin, you're dead! Sandusky immediately complies, he seems to be the only actor listening to the director."
speedman,"I'm sorry.. I can't do it, Dorff. Damien runs up to Speedman. They are the center of attention -- the whole crew watching them."
damien,"It's good, keep going. This is a big shot so keep going, let it come. No arms, you're hanging on, it's-al-1-coming out... It's real, death, life, brotherhood and we just... let's keep it going now... He starts to back out, turning his finger in the ""still rolling"" motion. He gives a thumbs up to the AD."
cody,Is that the signal?
speedman,(above the din of the
lazarus,"I'm sorry, so, just keep crying or are'we cutting??"
damien,"No, no, it's good. Portnoy is walking around massaging his butt."
portnoy,"Damien, I think I broke my ass. Is it possible to break your ass?"
damien,"Get back in character Portnoy! Still rolling everyone!  Great crying Kirk -- stay with that. Chris Michael, don't worry about where Kirk is at, just be Four Leaf crying right here and now and still rolling... and GO!"
cody,"Did he say ""go""? "
speedman,"Wait, hey, y'know, maybe- is it the line? ""You are my brothers""? I don't think I would.say that. Four Leaf wouldn't say that."
damien,"Yes, well-you see, Four Leaf was there and he did say that. So... Right. So let's just go..."
speedman,"Is he here, or is he-'at the.hotel? Because I would love to run it by him."
lazarus,"You know what, this is nuts. You got my take. I'm done.  Movie star. We'll be here till Chinese New Year waitin.' for my man to. cry."
damien,Kirk! Wait! Lazarus keeps walking.
damien,Kirk!
lazarus,.You got my take.
redykulous,"Hey, can we get this going? I got peeps coming to my room to rub me down at 4. Bitches, too. His phone rings again."
redykulous," Hey! What's up! Naw, nothing -- same soup, just re-heated, you know? Redykulous wanders off in another direction. The AD is now yelling into Damien's ear."
damien," EVERYONE! Please! The chopper only has so much gas! PORTNOY, trying to lighten the mood, rips a huge FART."
portnoy,"Plenty of gas right here, D-man! (then feeling the pain in his"
redykulous,"Hey, yo! I am trying to have a conversation here!"
damien,"Okay, fine! Fuck me! What the fuck do I know? I'm just the fucking...  Godfuckit! Damien throws his headphones off in frustration... and throws up his hands."
cody,"There's the signal! GO! GO! GO! Let's light this puppy up! Let's go freaking 11 TET here!! i Cody and his assistants push plungers, buttons, pull levers, and drag metal wands over long lines of wired nails, they spark and fizz..."
on cody,climaxing with joy as he barks commands and pushes ever more buttons..
the blast,"blows the helicopter backwards into a bank of lights,' causing them to tip.and-begin a GIGANTIC CHAIN REACTION that takes down most of the equipment, then finally THE"
cameraman,"Sorry, Damien.'Chris Michael was saying to cut, so we cut-- The AD comes up to the lost looking Damien."
speedman,"I think I got another in me if you want to go again, Damien. Damien looks at the scorched treeline behind them. Speedman looks too, then looks back at Damien."
speedman,"Your call. In the background, Cody is casually putting out a fire on his lap. He gives an 'I'm O.K.' gesture to no one in particular."
julie,"Well, it might look like 1969 here in the tiny Southeast Asian country of Bien Den Phu, but it is 2007, and they are making history. We are here with an E! exclusive, the first look behind the scenes at what Hollywood insiders are calling the most expensive war movie ever produced. It's called ""Tropic Thunder"", and first time Director Damien Dorfman has assembled an all-star cast to play the forgotten grunts who perished near here more than 35 years ago."
speedman, You mu-mu-muhhh make me'ha-aaaapy.
julie," But now, the question is can Speedman ""mu- mu-make"" audiences happy in the true life story of war hero Four Leaf Tayback in ""Tropic Thunder"". And,' possibly a shot  1. -4416 at that elusive gold statuette?"
speedman," All I want is to make the real Four Leaf here proud. It's his story, he lived it and wrote it in his book. That's why we're here. But really, I mean, how cah we begin to understand what he-- what you --went through? Four Leaf fixes his stoic, steely gaze on the horizon for a beat. He lifts his hands up, and we see he has only two HOOKS. Speedman studies him closely, aping his gestures, trying to ""get inside"" him as much as possible."
speedman,"That's great. He's like a... Buddha or something. Maybe I should rub his belly for luck! He laughs, but quickly realizes Four Leaf doesn't find it funny."
julie," Like for a lucky Oscar nod this time? Maybe you should rub Kirk Lazarus's belly! He already has three! Speedman laughs uncomfortably, trying to seem unperturbed. i ""I' 0, nM y"
julie,. is famous for his total immersion into whatever role he plays. To.transform into the role of the African American Sergeant who saved_Four Leaf's life...
julie,"After undergoing experimental pigmentation alteration procedures in a Singapore clinic, this was the startling result."
damien,"My goal, quite simply, is for an audience member to walk out of the cinema, feeling as if they were IN Vietnam for two hours. Quite literally."
reporter,Are you intimidated about working with actors for the first time?
damien,Intimidated?
julie,"And from the world of hip-hop, multi.-- platinum selling rapper, producer, and clothing designer Redykulous, and star of his own hi't reality show ""Utterly Redykulous""."
redykulous,"As far as Redykulous is concerned, you .know, I 'always believed you've got to exploit every opportunity. He holds up a can of ""PYMP SWEAT""."
redykulous,"That's why my new sports drink Pymp Sweat is the official beverage on the set of Tropic Thunder, as well as my new energy bar, the ""Bust-A-Nut"", with all proceeds going to clean up land mines in this previously war ravaged area."
julie,"At a reported budget north of $200 million, Tropic Thunder could end up costing almost as much as the real war! But the good news for Damien Dorfman and his troops -- the Oscar buzz is already starting! So for El News I'm Julie-- All of a sudden Portnoy, wearing a Tropic Thunder cap all askew and surfer shorts with no shirt, bursts out of the bushes. He screams wildly and GRABS Julie, who cracks up laughing at his ""stunt"". '"
portnoy, Me so horny!! Me so horny!! He jumps into the pool with her! What a crack up!
damien,You can't do that Todd.
damien,"Dailies are always bad! Bad dailies, good movie! Isn't that what they say?"
damien,"Well, yes, that's exactly-it,.Walter if- you actually came out here you would see that .these actors are--"
in,"VOICE OF TODD  I will not be called an eco-terrorist, do you understand that? Damien looks a bit bewildered by that. His hot young assistant comes in with a cell phone."
damien," Yes, Chris!?"
speedman,"Hey, Dorf. Just wanted to call and throw a little pep talk your way. I know today was rough, and you're probably mad at yourself for not getting the shots, but that's the way these movies go. We all boot it from time to time, and today was just one of those days. Happens."
damien," Yes it does. It does. Though I do think you have to realize Chris, that you are somewhat responsi--"
speedman,"Oh, also needed to let you know, and I. .know you're like wrapped up with the movie, but I really need that new chef like we talked about, you know to really 4 get that super-ripped thing happening. This guy is great but all he makes are dumplings. And they stiill haven't worked out the TiVo thing. III I. I I 4I"
speedman,"Yeah, of course, I just know we talked about getting super-super-ripped for that starvation sequence Speedman's other line goes. He sees the caller I.D."
speedman,"Oh,, shit-- can you hang on a sec, D? He switches over,, but it takes a few seconds with the hooks."
speedman,Rick?.
speedman,What?
peck,I'm looking at your ugly mug on the back of Vanity Fair magazine in beautiful living color with the two cute cuddly pandas from cuteville. It's insane.
peck,"The credibility factor that the pandas give you is priceless, and strangely, if' you see this picture, what really strikes me is the credibility that you give them. I've been getting psychotic feedback all day. Hey did you get the basket I sent? WE SEE: A survival-themed gift basket in a camouflage backpack, There's a satellite phone, camouflage sunblock, etc."
speedman,Yeah. Thanks.
peck,You sad? What's wrong?
speedman,No I'm fine. I've just been having a tough time over here. They still havn't got the TiVo hooked up and... I don't know... Lazarus is getting all this Oscar buzz already --
peck,"Is that what this is about? Crazy Kirk Lazarus goes and places his entire body in some experimental Malaysian dipping sauce so he can actually be black, of course he's gonna get buzz. Listen to what I am telling you. He is clinically mentally not right."
speedman,"Yeah but the way they talk about him. I mean, he played a retarded guy and won an Oscar, I play a retarded guy and don't even get a nomination. I don't know, I mean you said ""Simple Jack"" would be my ""Elf"" but with Oscars. Those were your exact words."
peck,"I don't believe those were my exact words but let's get beyond that to the root of this. Remember the moment you chose to do, this', and I wanted you to do the ESP robot thing with Wolfgang Petersen? And I said stay home be happy and you said ""no, Rick I need to play a real human being"" and I said ""okay"" and then I said ""are you sure?"" and you said that you needed this-for your soul?"
speedman,Yes but --
peck,"Which I totally respected and now you're doing the crazy surfer three..sixty move on me,..which I love by the-way-- but-you said fuck it, I gotta do it for my soul And-that's why I hate you.. Because you were RIGHT. And you're in. the Phuc Long fucking Delta,. in the real mud, with- leeches in your hair, 20,000 mil es from Fatburger.being an actor-And, I would wager, forcing everyone around you to rise to your level. Am I right? I mean you are over there forcing a bunch of PUSSY actors to gel, straighten up and. become a platoon. And it hurts. Am I right? Speedman actually seems tohave bought-this"
speedman,Yeah. You are right.
peck,"Alright, that's what.I thought. Now get to work genius soldier. I'll handle the .TiVo. Peck hangs up abruptly."
on speedman,"Speedman punches the button on his cordless and puts. it down. He ponders Rick's words as he gets caught up watching the end scene of ""SIMPLE JACK"" on his TV. He has forgotten Damien is on the other line."
damien,"Chris? You there? Hello? Finally, after a few moments of listening to this, Damien explodes. He throws the phone on the ground and jumps up and down on it. He notices the crew staring at him. He tries to look as if that just didn't happen. He opens the sliding glass, and heads straight to the door. He continues walking through his office, out into the main offices. He motions for his assistant to join him."
