Speaker,Dialogue
harry,"Honey, I'm home."
gib,"Roger that.  Hey, Fize!  Get your butt in here.  Harry's inside."
harry,"Switching to sub-vocal.  Gib, you copy?"
harry, This needs more garlic.
harry,There's Daddy Petrobucks.
harry,Modem in place.  Transmitting... now.
faisil,Affirmatory.  We are in.                               *
faisil,"These are encrypted files, guys. This is going to take me a few minutes."
harry, Where's the john around here?  I have to take a major leak.
harry," Magnificent, isn't it?"
woman,"Yes.  Hi, I'm Juno Skinner.  I thought I knew most of Khaled's friends but I don't believe I know you."
harry,Renquist.  Harry Renquist.
gib,Skinner.  Skinner.  Come on...
gib,"Juno Skinner.  Art and antiquities dealer, specializing in ancient Persia."
harry,"This is Persian, if I'm not mistaken."
juno,Very good.  It's sixth century B.C.  Do you like the period?
harry, I adore it.
harry,"Do you dance, Ms. Skinner?"
faisil,"Okay, files are unlocked.  I'm in. I'm down, baby.  I got my hand up her dress and I'm going for the gold.  I'm--"
gib,"Just copy the goddamn files!  Harry, don't be stopping to smell the roses, now.  You hear me, Harry?"
juno,Well.  And I thought this was going to be just another bunch of boring bankers and oil billionaires.
harry,"Unfortunately, Juno, I have a plane to catch."
juno,"Call me, if you'd like to see some of my other pieces."
harry,I'd like that.
gib, What's your exit strategy Twinkle Toes?
guard,"May I see your invitation, sir?"
gib,"Aw, shit.  Here we go--"
gib,"Harry, what's your twenty?  I need a position, buddy--"
gib,Uh... right!  I'll catch you on the next bend.
harry,In the helicopter.
gib, He's in the helicopter.
gib,Harry?  HARRY?!
harry,What?
harry,Let's go.  We can still make our flight.
faisil,This is GREAT!!  I never get to shoot!
harry,Empty.  Go.
gib,"Harry Tasker wallet.  Harry Tasker passport.  Plane ticket stub, hotel receipt, Tasker.  Two postcards of Lake Geneva.  House keys.  Souvenir snowing Swiss village."
harry,What's this for?
gib,"For Dana, schmuck.  Bring your kid something.  You know.  The dad thing."
harry,"Got it.  Nice touch.  Okay, pick me up at eight.  The de-brief is at ten hundred."
gib,"Hey, hey, hey... what are we forgetting?"
harry,What a team.  See you at eight.
gib,Yep.  Sleep fast.
helen," Hi, honey.  How was the flight?"
harry,"Fine, honey.  Stay asleep."
helen,Okay.
dana,"Hey, thanks dad.  I never had one of these."
harry,You better hurry.  You're going to be late for school.
dana,Really lame.
harry,"Dana, don't forget to feed Gizmo!                      *"
harry,I'm late.
helen,Me too.
helen,How'd it go at the trade show? You make all the other salesmen jealous?
harry,"Yeah.  You should have seen it. We were the hit of the show with the new model ordering system, the one for the 680... how you can write up an order and the second the customer's name goes into the computer, it starts checking their credit, and if they've ordered anything in the past, and if they get a discount..."
helen, That's fabulous Harry.
harry,"Yeah, it was wild."
gib,Come any closer I'll kill you.
helen,The plumber came yesterday.  He said they have to dig under the slab or something and it's going to be six hundred dollars to fix.
harry,Uh huh.  Okay.
helen,It's not okay.  It's extortion.
harry,What did you tell him?
helen,I slept with him and he knocked off a hundred bucks.
harry,"Good thinking, honey."
gib,"Hi, kid."
dana,"Hey, Gib.  What up?"
harry,Thanks dear.
gib,"Here, check these out."
gib,"The CCD camera and transmitter and inside a pack of smokes. Slick little unit, huh?"
harry,Son of a bitch!
gib,What?
harry,Dana!!
dana," Can't stop, I'm late.  Bye, Dad!"
gib,Kids.  Ten seconds of joy. Thirty years of misery.
harry,She knows not to steal.  I've taught her better than that.
gib,"Yeah, but you're not her parents, anymore, you and Helen.  Her parents are Axl Rose and Madonna. The five minutes you spend a day with her can't compete with that kind of constant bombardment. You're outgunned, amigo."
gib,"See, kids now are ten years ahead                      * of where we were at the same age. You probably think she's still a virgin--"
harry,Don't be ridiculous.  She's only -- how old is she?
gib,"Fourteen, Harry."
harry,Right.  She's only fourteen.
gib,Uh huh.  And her little hormones are going like a fire alarm.  I                        * say even money that physicist on                       * the bike is boinkin' her.                              *
harry,No way.  Not Dana.
gib,Okay.  Okay.  De-nail ain't just a river in Egypt.  She's probably stealing the money to pay for an abortion.
harry,Will you just open the door!                           *
gib,Or drugs.
gib,"Twenty here, fifty there... I figured my wife's boyfriend was taking it."
harry,I thought you moved out.
gib,Well .  .  .  I moved back in. My lawyer said it would give me a better claim on the house in the property settlement.  Don't change the subject... you owe me two hundred bucks.
janice,"Gentlemen, please idenitify yourselves to the scanner."
harry,Harry Tasker.  One zero zero two four.
gib,Albert Gibson.  Three four nine nine one.
janice,Thank you.  You are cleared.
gib,"Janice, how many years have you been buzzing us in?"
janice,"Ten, Mr. Gibson."
gib,And you still reach for your piece every time.
janice,Yes sir.
gib,"God!  You have no idea how much that turns me on.  I've never had the courage to say this before but... I love you, Janice."
janice,"Yes, sir."
harry,You better watch it.  She might file on you for sexual harassment.
gib,In her dreams.
harry,"Come on, Fize.  We're late for our butt-grinding."
trilby,"Jesus, Harry!  You guys really screwed the pooch last night. Please tell me how I can look at this, that it's not a total pooch- screw."
harry,Total is a strong word--
gib,There are degrees of totality.
faisil,"It's a scale really, with ""perfect mission"" on one end and ""total pooch-screw"" on the other and we're more about here--"
trilby,"Faisil.  You're new on Harry's team, aren't you?"
faisil,Yes.
trilby,So what makes you think that the slack I cut him in any way translates to you?!
faisil,"Sorry, sir.  Uh... here's what we got."
faisil,Jamal Khaled.  We think he's dirty so we raid his financial files...  Check it out...
faisil,One hundred million in wire transfers from the COMMERCE BANK                       * INTERNATIONAL--                                        *
gib,Which we all know is a front for certain nations to fund terrorist                      * activities.  Something big is                          * going down --
helen,"I mean, it's not like he's saving the world or anything.  He's a sales rep for Chrissakes. Whenever I can't get to sleep I ask him to tell me about his day. Six seconds and I'm out.  But he acts like he's curing cancer or something."
allison,So I guess you didn't get away                         * for the weekend after all?                             *
helen,Are you kidding?  Harry had to go out of town.
allison,I'm shocked.
helen,Yeah.  You know Harry.
brad,"Helen, have you pulled those files yet?  I need them by lunch."
helen,"I won't let you down, Brad."
helen,You bitch.
allison,"Girlfriend, you got a man.  You                        * just have to take control .  . .  set up the right mood.                              *"
helen,Harry only has two moods: busy...                      * and asleep.
allison,Then you better do something to                        * jumpstart that man's motor.  You know... wake up the sleeping giant of his passion.
harry,What'ya got?
faisil," Here, check this out--"
gib,It's a two million dollar disbursement from Khaled to... Juno Skinner.  Uh huh.  The babe at the party.                        *
harry,It doesn't mean anything.  She buys antiquities for Khaled.
gib,Nope.  The art buys are in a separate ledger.
faisil,"And this is a little above market-                     * rate for the horizontal bop, even                      * for a total biscuit like her."
harry,"Alright, I want a complete workup on her.  Do we know where she is?"
faisil,Uh huh.  Right here in river city.
harry,You're kidding.
faisil,"She lives in Rome, but she does stuff here the Smithsonian and has a lot of diplomatic connections, so she has offices                        * here.                                                  *"
gib,Sounds like a job for a specialist.
helen,I need you to talk to Dana.  The vice principle called and she cut class again this afternoon.
harry,I'll handle it.
harry,"Dana, Mr. Hardy called.  Why weren't you in class today?"
dana,"He lies!  I was there!  I was in the nurse's office, cause I had a headache."
harry,You seem fine now.
