Speaker,Dialogue
bella,Edward!
bella,Edward!
bella,... Gran?
bella,Stop - she'll see!
bella,Oh my God.
edward,Happy birthday.
charlie,"Happy birthday, Bells."
bella,"Dad, we agreed, no gifts."
charlie,At least mine's not wrapped.
bella,"Okay, this is actually kind of great. Thanks, Dad."
charlie," Goes with this one from your mom. We coordinated - well, she coordinated me."
charlie,"To put your pictures in, record your senior year -- man, senior year. How'd you get so old so fast?"
bella,Not that old.
charlie,I don't know. Is that a wrinkle?
charlie,I was kidding.
bella,"So not funny, Dad."
mike,You finish the Shakespeare assignment?
jessica,"He means will you finish his assignment? MIKE No, I don't -- okay I do."
bella,I can help you with it -- but first --  I need a picture. My mom's expecting a scrapbook full of memories.
angela," I take `em, I don't pose for `em."
bella,You do today.
jessica,"You'll photoshop my nose if it looks big, right?"
eric,"Don't worry, I'm in the picture; no one will be looking at you guys."
bella,Don't remind me.
bella,It's one year older than you.
edward,"Bella, I'm ninety."
bella,True. Maybe I should be creeped out that I'm dating such an old guy.
bella,"God, Jacob, what are they feeding you on that rez, steroids? You're huge."
jacob,Wouldn't seem so drastic if you came around more.
bella,"I will, soon. But isn't your school, like, ten miles that way?"
jacob," Oh, and hey, happy birthday. Your dad told my dad. So..."
bella,"This, I need. It's great."
edward,The bell's about to ring.
bella,"Bye, Jake, and thank you."
edward,How come Jacob Black gets to give you a gift and I don't?
bella,He's just a friend.
edward,"""Friends"" don't spend two weeks looking for the perfect dreamcatcher."
bella,Stop reading his mind if he bothers you so much.
edward,Little hard to tune out.
alice,Happy --
bella,Shh!
alice,-- birthday.
bella,"Alice, didn't I say no gifts?"
alice,You did. I didn't. I've already seen you open it and guess what? You love it.
bella,You had a vision about my birthday.
alice,And about the green dress you'll be wearing to your party tonight. Great color on you.
romeo,"Arms, take your last embrace, and lips, O you, the doors of breath, seal with a righteous kiss..."
romeo,Here's to my love!  O true apothecary!    Thy drugs are quick.
bella, Juliet's alright... if you like that obviously beautiful sort of thing.
edward,"Not the girl - the suicide.  Nearly impossible for my kind. But humans, a little poison, dagger to the heart. There are so many options."
bella, Why would you even think about that?
edward, I considered it. Once.      When James had you trapped.
edward,I didn't know if I'd find you in time. If I'd gotten you killed --
bella,It wouldn't have been your fault --
edward,"Either way, I had a plan.  BELLA What plan?  EDWARD There are... ways for us. At least one way. I would have gone to Italy, provoked the Volturi...  BELLA The who?  MR. BERTY Is there something you'd like to share with the class, Edward?  EDWARD  The closest thing my world has to royalty... "
edward,Francesco Solimena painted this; he often depicted the Volturi as Gods.
bella,Is that... Carlisle?
edward,Yes. He lived with them for a few decades. He describes them as very refined - for killers.
bella,Don't even -- talk about that. You can't let anyone hurt you. The Volturi or anyone else.
edward,"Victoria? Yes, some day. But Alice will see her coming. And she won't win."
bella,I hate that I can't protect you.
bella,That was me being serious.
edward, You give me a reason to stay... un- dead. But it's... my job; to protect you...
alice,It's time it's time it's time!
esme,"Like that's even possible.   Happy birthday, Bella."
alice, Found it in your bag.   Mind?
emmett,Dating an older woman.    Hot.
emmett,What?
rosalie,It's a necklace. Alice picked it out.
alice,For your scrapbook.    Now open your presents!
bella,"Alice, I'm the only one who even eats cake. That thing could feed fifty."
alice,"Hope you're hungry.    Here, this one's from Emmett. The others crowd around... Jasper somewhat away. Bella, no fan of being the center of attention, opens the gift to find an empty car-radio box."
bella,Um... thanks?
emmett,Already installed it in your truck.
edward,"Finally, a decent sound system in that piece of --"
bella,"No hating on the truck.     Thank you, Emmett."
