Speaker,Dialogue
revisions by, Timothy Harris & Hershel Weingrod  and William Goldman
twins,FADE IN:
werner, He was sent to an orphanage in Los Angeles. At the same time I brought you here to the island. Julius isn't listening.    His eyes shine.
julius, I have to find him!
julius," It was an honor to study under you, Master. Without warning, the Oriental tries to strike Julius in the face with the side of his hand, but Julius blocks the blow."
oriental," Ahhh, always on guard. You have learned well, Julius-san. Julius gives a last hug to Werner."
julius," I was just thinking, maybe my brother Vincent is married."
julius,"Well, if a woman loved my brother enough to marry him, she might have a sister who'd feel the same way about me. That often  happens with twins, you know. WERNER Julius -- please -- don't get your hopes up. Your brother doesn't even know you exist."
vince,"Me, too. I love this new mattress. It's soft but it's hard at the same time. And I love this new clock."
vince,"The curtains are the key to the whole thing. They're colorful... they're brilliant... they're... great curtains. CARLA  I think we're going to be very happy here. Suddenly we hear a DOOR downstairs as it OPENS, and a man's voice drifts up the stairs:"
vince, What's he doing back so early?
carla,"Be right down, sweetheart! Vince checks his appearance in a dresser mirror, straightens his Armani suit, brushes his hair, pulls it into a fashionable ponytail. He cuts a stylish figure. Noticing an expensive gold lighter on the dresser top, he covertly pockets it."
vince,"You're wonderful, Carla. Your husband doesn't deserve to kiss your feet."
vince, ... 'everything's going my way'... CUT TO:
al,"Carla and I figured, since you were always admiring mine, what the hell..."
vince,"A lighter, just like yours.   I don't know what to say, Al.   I'm all choked up."
vince,A very special stock -- and it was such a sure thing -- I borrowed another 20 grand from the Klane                      * Brothers. CARLA  You borrowed from a loan shark to invest in the stock market? VINCE On margin -- And as of last night I was ten thousand ahead. I'm                        * going to make a fortune -- turn on the T.V. CUT TO:
al,"You are having one shitty birthday, Vince."
carla,Don't you think you're doing this too often?
vince,I'm a desperate man.                                    *
al,Level three.   Stall 25. CUT TO:
owner,"We're in a recession -- Everything's tough -- you want to try someone else -- no hard feelings. VINCE  Forget it. OWNER You okay, Vince? You seem a little worried."
vince,"Me? I laugh myself to sleep every night, and I never sleep alone. I'm doing great! The Owner smiles and turns. Vince continues counting the money, nervous as hell. Now -- CUT TO:"
julius,"seated in the rear, still in his peasant garb, the bamboo suitcase resting on his lap. He has his headphones on and is singing along to the music, his eyes closed and his head bobbing. JULIUS  'I better wear some boxing gloves, In case some fool might want to fight.'"
julius," Sorry -- I've never heard this music before -- I love it.                             * She sighs, leans over him, fastens his seat belt, while Julius gazes down at her ample cleavage."
stewardess,The captain wants us to buckle our seat belts because we're expecting a little turbulence.
julius,"Actually, I'm a horticultural botanist, a mathematician, and a philosopher."
stewardess,Right.    And I'm a brain surgeon.
julius,"turns to the terrified elderly woman beside him who's clutching a hardcover Bible in her lap. JULIUS  Excuse me, ma'am."
hand,retrieving the hardcover Bible from the floor and --
bartender,It's him.    He's back.
linda,Like what? MARNIE Linda!
vince,I got involved in the stock market. LINDA  I promised Marnie I wouldn't give you money. Vince takes Linda's hand between his and stares into her eyes. LINDA Don't look at me like that... Don't do that with your eyes... I shouldn't even be here with you.
vince, That is so beautiful. How do you make up that stuff? You're such a poet.
linda," You gotta be more specific, considering our clientele."
burt klane,Benedict.
linda," He wouldn't show his face around here. Right, Marnie? * She looks down at -- * VINCE"
burt klane, Okay -- enough. CUT TO:
vince,The rest is invested.     We're gonna make a fortune.
linda,I hope this helps -- Please don't hurt him.
burt klane,There you go --  -- Another thousand -- Okay -- This nice lady just bought you a day Vince -- I want it all -- Twenty- thousand -- this time tomorrow.                        *
vince,"Twenty -- ?   But I just paid -- Just as he opens his mouth, Vince is elbowed again. BURT KLANE That's just the interest.    The                       * twenty's the principal.                                *"
julius, ... How wonderful...
julius,I... don't have a girl friend. Do women really wear these things? BIKER #1 If you're lucky. 
case handle,Julius's hand holds fast to it.    Then -- CUT TO:
julius,"just sort of standing there, no big deal, not much effort showing on his face as Biker #2 begins to slowly rise into the air as he and his cycle are about to be parted and then --"
riderless cycle,"ending its trip as it collides with a storefront and collapses on its side, MOTOR still ROARING but no movement anymore and -- CUT TO:"
julius,"I did nothing, the pavement was his enemy. CUT TO:"
julius,"I would say -- a concussion -- a mild shoulder separation, and ribs four to seven are cracked."
cop,Your vehicle's in a handicapped zone. Vince immediately hunches his shoulder and affects a limp. VINCE So?    Do I look normal to you?
cop,"You don't have a 'handicapped' sticker on your windshield.  Driver's license, please. CUT TO:"
cop,"You've got over 200 outstanding parking tickets, Mr. Benedict. And you just had your birthday? Well, your driver's license just expired -- Happy birthday.                               * "
mother superior,How did you know?
julius,"It's the one I would have chosen. It's next to the fire extinguisher. In case of a fire, I could have given the alarm, and saved the other orphans. MOTHER SUPERIOR We've only had one fire at St. Charlotte's. Vince Benedict started it, we like to think by accident."
julius,Tell me about him. Was he a good athlete? Did he like chess and poetry?
julius,"This is him?   He looks happy --                        * MOTHER SUPERIOR  He should -- that's Sister Maria,                       * his biology teacher."
julius,"I always liked biology. MOTHER SUPERIOR So did Vincent. He disgraced Sister Maria, who had to leave the order. Then he stole all the money from our library fund and ran away."
julius,But I have to find him.   Where do you think he might be?
mother superior,"Jail. A man of his character could only be in jail. You're full of goodness, Julius -- I pray that you never find him."
vince, World International Athletics                           * Representation. Vincent Benedict -- President. I coulda got you a no-cut contract so you wouldn't have to heist T.V. sets for a living --
guard,"leading an attractive, powerful inmate into the room. The guy is Julius's age. CUT TO:"
julius,"trying to fight his excitement, watching as the prisoner moves toward him -- -- then past him."
julius, Vincent... CUT TO:
vince,"listening, somewhat amazed.    Who is this loony?"
vince, Huh?    Again? JULIUS I don't know any Klane Brothers.
vince, Yeah.   Go on -- I got that part.
julius,My name is Julius -- I'm your twin brother.
vince, Obviously -- the minute I sat down I felt like I was looking in a mirror. JULIUS We're not identical twins.
vince,I wouldn't be too sure. 
vince," Listen, you get me outta here, I'll be whatever you want, best friend, brother, nephew, niece, grandma..."
julius,I have some more money -- VINCE You do?
julius,"I am happy to help you, Vincent. You're my brother. I love you."
vince,"Julius -- look -- ease up on the love talk or I'm gonna be tossing my cookies, all right? JULIUS Tossing cookies, that is more slang? VINCE Just gimme your wallet, okay? As Julius sweetly hands it over --"
vince,"No, you don't."
julius,You're thinking that this whole twin business is what you call 'bullshit.'
vince,"Actually, I was thinking I'm going to need some more money -- to put gas in my car --"
julius,You can take some more money -- VINCE I can? JULIUS Sure...
vince,We're brothers -- right? Julius tries to drape an arm around Vince's shoulder. Vince gives him a look. Julius drops his arm. TIME CUT TO:
vince,"They arrest you, they put you                             * behind bars, they fine you and                            * then they hide your car.                                  *"
julius,"That's --  -- your car, isn't it? CUT TO:"
vince's mustang,Which is what Julius is pointing at.
vince,Yeah --   How'd you know that was my car.
julius,We're twins! 
julius," I'm so excited -- we'll go to museums together, discuss philosophy together, read books together -- play chess together -- VINCE -- Get lost together -- And on that, he GUNS his CAR the hell away, leaving Julius standing there."
julius,"Deserted, alone in the sea of cars."
al,"You guys must be going to Hawaii, huh? Catch that good surf."
garfield,"Something like that. The two men just stare straight ahead, uninterested in conversation. Al hands the driver a ticket."
al,There's plenty of space on level four. The Cadillac accelerates up the ramp.
outside cadillac,"as the men get out, lock the car, wipe off the door handles, and then head for the elevator."
cut to:,A60   EXT. HOLLYWOOD OFFICE BUILDING - ESTABLISHING - DAY             A60
mover,Taking back the furniture -- you're six months behind.
