Speaker,Dialogue
october.eighth.ninety-nine,written by m.night.shyamalan
saleswoman,This is Mr. Mathison. He's a doctor.
saleswoman,An ambulance is on the way.
woman,Elijah.
woman,Is he supposed to be crying like that?
woman,Can I have him back?
older saleswoman,Nothing. It was very quick. The baby just wanted to come right out. There was no problems.
older saleswoman,"Jesus Christ, no."
david,Someone left these. You want one?
david,You like sports?
woman,It's my field. I represent athletes. I'm an agent.
david,What a coincidence? I'm a male synchronized swimmer and I'm looking for representation.
david,"But I'm afraid of water, so that's been holding my career back a little bit."
david,You represent someone in Philadelphia?
woman,I'm meeting a player from Temple University. He's a cornerback. You like football?
david,Not really.
woman,"This kid is six foot two, two hundred and forty pounds. He runs the fifty in under six seconds. He's going to be a God."
david,I'm David Dunne.
woman,Kelly.
david,How long are you staying in Philly?
kelly,Sorry.
david,I think you got the wrong idea.
kelly,I'm going to find another seat.
megan,"You okay, Virginia?"
megan,I'll put something on the t.v. Maybe we'll find some almost naked guys to inspire you.
david,Okay.
david,Fine.
david,Against a window.
david,Yes. Where are the rest of the passengers?
david,No.
david,No.
david,Yes... Why are you looking at me like that?
jeremy,I told you!
jeremy,They thought everybody on the train died.
jeremy,I told them they were wrong.
jeremy,Mom even cried.
jeremy,A lot.
megan,Not a lot.
jeremy,Let's go home.
david,I don't think I got the job in New York.
megan,What does that mean?
david,I'm still going to New York. Just not this second.
megan,I don't want to drag this out too long for Jeremy.
david,I know.
david,"How about in the meantime, you don't sleep in the guestroom anymore?  You sleep in our room. I'll sleep down here."
megan,It stopped being our room a long time ago.  You should go up and get some rest.
david,"Jeremy, why don't you go sleep with your mom?"
david,I think it's be better if I was alone.
david,"How about your room then? If you get scared like before, you can come back in here?"
mother,We'll play the water pistol game next.
mother,Elijah...
elijah,I won't get hurt momma! I'm safe!
priest,"Sarah Elaston, social worker at Broad and Locust Community Center. We pray for your soul.  Glen Stevens, researcher in the area of Leukemia at Drexel University. We pray for your soul."
priest,"...Jennifer Pennyman, third grade teacher at Jefferson Elementary.  We pray for your soul."
david,"I used to play football in college. In my first year as quarterback, we went on this winning streak. It just went on and on. It didn't matter who we played... I'd always win.  I was the only person to survive that accident. The only one... It feels like it means something."
priest,"Are you a religious man, David?"
priest,Good. Because I'm going to talk to you as a man. Not as a man of the cloth.
david,Okay.
priest,It was luck.
david,What do you mean?
priest,Luck... Random... Without meaning.
priest,"Three years ago, my cousin died on a plane that crashed on take off at Philadelphia International airport. Do you remember that crash?"
priest,"I prayed and prayed and finally found some meaning in the event. It gave me peace... And then not quite a year later, an entire family from my parish burned to death in a hotel fire downtown...  Just two days ago, my nephew rode with you on that train back from New York. He was traveling alone for the first time."
priest,I'm sorry if I can't react to your survival with the appropriate 'It was the hand of God. It was a miracle.' kind of answer... I'm fresh out of those right now.
priest,My twelve year old nephew's neck was broken in four places... What's your point? You were chosen?  I don't think so.
ancient secretary,Yes?
david,Is Noel in?
ancient secretary,No sir he is not.  I read about you in the paper.
david,Oh.
ancient secretary,I was in an accident once too. A horse almost trampled me to death.
david,Wow.
ancient secretary,I had to put him down.
david,That's a sad story.  Do you think you could ask Noel something for me?
ancient secretary,Proceed.
david,Ask if he can check how many sick days I've taken since I've worked here?
ancient secretary,Is that the entire message?
david,Yes.
david,"You know what I think about to calm down? I think about those big fat, hundred and twenty pound turtles that live in the islands. Those suckers never get angry, never get in fights and live longer than all of us and all they do all is sit on the beach and hump other turtles.  Why don't we take a second and think about the turtles?"
father,Yeah Jerry why don't you think about the fat ass turtles... Like your fat ass son on the field jeopardizing the rest of our chances at a fucking championship.
david,Hey Noel.
noel,Forty dollars.
david,What?
noel,You're getting a forty dollar raise per week... that's it.
noel,"I checked. You were right. You've never taken a sick day.  Five years, no sick days. I get it. You want a raise. You made your point."
noel,All right fifty dollars and that's the god damn limit.  Are we done here?
elijah's mother,No more sitting in this room. I've let it go on long enough.
elijah,I'm not going out anymore. I'm not getting hurt again. This was the last time. I told you.
elijah's mother,"You can't do anything about that. You might fall between that chair and this television. If that's what God has planned for you, that's what's going to happen. You can't hide from it in your room."
elijah,They call me Mr. Glass at school. Cause I break like glass.
elijah's mother,...You make this decision now to be afraid...  And you'll never turn back your whole life. You'll always be afraid.
elijah's mother,...I got a present for you.
elijah,Why?
elijah's mother,Forget why. Do you want it or not?
elijah's mother,"Well, go get it then."
elijah,Where is it?
elijah's mother,"On a bench, across the street."
elijah's mother,You calling me a liar?
elijah,Someone's gonna take it.
elijah's mother,Then you better get out there soon.
elijah's mother,"I bought a whole bunch. They'll be one of these waiting for you, every time you want to come out here."
elijah's mother,They said this one has a surprise ending.
man,This is from Fritz Champion's own library. This is before the first issue of the comic book hit the
elijah,"It's a classic depiction of good versus evil. Notice the square jaw of Slayer - common in most comic book heroes. And the slightly disproportionate size of Jaguaro's body to his head. This again is common, but only in villains... The thing to notice about this piece... The thing that makes it very, very special... is its realistic depiction of its figures. When the characters eventually made it into the magazine they were exaggerated... as always happens.  This is vintage."
business man,Wrap it up.
elijah,You've made a considerably wise decision.
business man,My kid's gonna go berserk.
elijah,Once again please?
business man,My son Jeb. It's a gift for him.
elijah,How old is Jeb?
business man,Four.
elijah,No.
elijah,"No, no, no, no no... You need to go now."
business man,What did I say?
elijah,"Do you see any Telletubbies around here?... Do you see a slender plastic tag clipped to my shirt with my name printed on it?... Do you see a little Asian child with a blank expression sitting outside in a mechanical helicopter that shakes when you put a quarter in it?... No?... Well that's what you see at a toy store? Any you must think this is a toy store, cause you're in here shopping for an infant named Jeb. One of us has made a gross error and wasted the other person's valuable time..."
elijah,This is an art gallery my friend. This is piece of art...
elijah,This is one of seventeen original drawings by Fritz Champion remaining in the world. It's value will triple every year... This piece is to be treasured. To be cherished... To be coveted by every single one of your banker friends that think they're better than you.
business man,What if I kept it?
elijah,I'm listening.
business man,I'll keep it in my office room.
elijah,What about Jeb?
business man,I have a lock on the door.
elijah,Will it be near a window?
businessman,No direct sunlight will fall on it.
elijah,Come back in three days. I'll think about it.
elijah,We're by appointment only.
man,I received a card from your store.
elijah,"Congratulations, you have a mailbox... The sale isn't for two weeks."
man,This one was under the windshield of my car.
elijah,You've never been sick?
david,I don't know for sure.  ...I don't think so.
elijah,Well if this ain't a riddle worthy of the Riddler?
elijah,So let's get some of the usual questions out of the way. Why am I using a cane? Raise your hand if you were thinking that.
elijah,I fractured my leg. It's the fifth time I've done that particular bone. It didn't really heal well this time.
elijah,Raise your hand is you're wondering who the hell breaks the same bone five times?
elijah,"I have something called Osteogenesis Imperfecta. It's a genetic disorder. I don't make this particular type of protein very well and it makes my bones very low in density, very easy to break. I've had fifty-four breaks in my life. I have the tamest version of the disorder... Type one.  That ends our lecture on the medical anomaly known as Elijah Price."
elijah,How certain are you that you haven't been sick in your life?
david,Seventy-five percent.
