Speaker,Dialogue
price,"'Morning, Jimmy, think you could squeeze me in?"
jimmy,"Where is you would care to go at once, Mr. Price?"
price,Bang-bang.
jimmy,Twenty dollar.
price,"You're a thief, Jimmy."
jimmy,"Booteeful picture, huh, snap-snap?"
price,I don't do skies.
price," Hi, guys."
oates,"G'damn, Price, you tuna sucking piece of raw meat -- whatchyou goin' to Zambeze for?"
price,Thought I'd get some great shots of your head gettin' blown to smithereens.
oates,"Smithereens?! Be a great fuckin' picture, eh?"
price,Be a prize winner.
oates, I gotta have a joint.
price,"I'm on the wagon, man, sorry."
oates," Lotta fuckin' coons around here, eh?"
price,I thought you were fighting for the Government?
oates,I am. This is the Government.
price,These are the Rebels.
oates,Fuck they are. This is a Government convoy to Calunda.
price,This is the Abou-Deian Revolutionary Front.
oates,You're shitting me.
oates,"These guys be pissed if they knew, eh?  Nicaragua. That's the spot. Cheap shrimp, lotta rays -- real thin in the spook department too, dig?"
oates,Well hell... I wonder where the fuckin' Guvmint is?
price,Hold it! Hold it!
oates,"Well, I guess we know where the Guvmint is."
price, You can walk to work from here.
oates,"Convenient, ain't it?"
oates,My brother just got married.
price,I don't know your brother.
price,What's this?
oates,"Great shit, eh?"
oates,"U.S. Gummint offers this house to any Cuban pilot flying Migs for the Rebels who chooses to defect to America with a Russian jet. We know they ain't gonna run off with no planes -- but the Rebs don't -- They're scared. They start thinking about that swimming pool. Damn near smell that chlorine. Starts workin' on 'em, and pretty soon they don't let the Cubies near a Mig. Use their own spook pilots and destroy their own air force in a week. Guaran-fuckin- teed."
price,C.I.A.?
oates," Hey, you gotta scoop here, eh? You'll be famous."
price, Maybe.
oates, I gotta run... have a good one.
price,I love Africa.
claire," ""...and so this strange war that features two provincial governments, three rival liberation fronts, and at least twenty-five tribal associations, grinds into its seventh year..."""
claire,"""...The Battle for the Airfield at Abou Deia is just another chapter in this endless story. From Ndjamena, Chad, this is Claire Stryder.""  No -- you didn't hear any music -- must be the connection. Okay? So long."
claire,"Alex, don't play that God damn thing when I'm filing.  We're late."
alex,"It's my party -- we'll be late. You called it a ""strange war"" and an ""endless story."" If you filed that story for me, I'd say you were editorialishing."
claire,I like to editorialize. You drunk?
alex,Drunk? Only with the memories of making love with you on the plains of Fianga as the first Army of Liberation marched in and opened fire.
claire,And freed the Proletariat.
alex,Right.
claire,I'm going to the party without you.
alex,"Christ, I don't want to go to this stupid party. I'm bad at false modesty."
claire,You're great at it.
