Speaker,Dialogue
liz,Hey... You're gonna do great. You always do.
martin,"I'll do this. You check in. Liz pecks his cheek, gets out. Martin leans forward."
liz,The Eisenhower suite. Dr. and Mrs. Harris.
bellhop,Welcome to the Hotel Imperial. Have you stayed with us before?
martin,"No, this is our first visit to Berlin. We're -- -- he stops short, staring at their bags, stacked on the luggage cart. He turns, tracks the their taxi, already pulling out of the drive..."
liz,What do you mean the suite may not be available?
receptionist,I have to check with the manager. Security inspections of the rooms are still being completed.
liz,"But we confirmed two months ago. Receptionist raises an apologetic hand as she attends to a ringing phone. Liz sighs, glances back toward the entrance. Suddenly curious as she sees..."
martin,"Tegel airport. Arrivals. Quick. The driver pulls out into traffic. The rain still heavy. Martin stares out at the wet city. Eyes track as the shadowy columns of the Brandenburg Gate pass by. He lets himself relax a little, enjoying this moment of forced calm. He catches sight of the driver in the rear-view. Young, female, shortish hair. Tomboy cute. Smart eyes, older than her years. Layers of clothing. GINA. She glances into the mirror, catches Martin watching her."
gina,"Everyone says how much it's changed. Berlin. Eyes connect, brief. Wipers flip-flap."
martin,.I wouldn't know. First time.
gina,"Yes, me too. I mean, I wouldn't know either. You're American? He looks back at her, inquisitive..."
martin,"I think you missed... He stops, smiles as he realizes she's navigated around a large construction back-up, saving them time."
gina,"You do what you do, I do what I do, right?"
martin,"What do you do, when you're not...? She laughs. He smiles, nods. Okay, dumb thing to say."
gina,"It's okay. I know what you meant. Her eyes meet his in the mirror. She swings the taxi onto Wilhelmstrasse. Stops at a red light. Ahead, the Marshall Bridge over the River Spree."
martin's face,Strangely serene. Intense vivid IMAGES... the playing card 'ACE TAXIS' logo on the dash... GINA'S EYES in the MIRROR... Silent free-fall dive. Timeless. Dreamlike.
paramedic,Achtung! WHOMPF! The charge surges into Martin's body.
black,".A man's voice... distant. German words. Small, faded image of a German DOCTOR, speaking with the nurse..."
black,".again, a pin-hole of consciousness. The Nurse, taking a private moment, speaking in German on her cell-phone. The Nurse looks over, straight at us, realization in her face, she hurries from the room. We REVOLVE... finding... MARTIN HARRIS. Arms by his sides. A few days beard. A sutured cut on his temple. His eyes fluttering, barely open... then closing. Clipboard beside the bed. An admission form. In German. Where Martin's name should be: ""unbekannte maennliche Person"", and the SUBTITLE becomes our MAIN TITLE..."
