Speaker,Dialogue
muntz,"""Adventure is out there!"""
muntz,"Gentlemen, I give you: the Monster of Paradise Falls!"
crowd,"Ooh! Young Carl leans forward, eyes bulging."
young carl,No!
muntz,I promise to capture the beast... alive!
muntz,And I will not come back until I do! The crowd CHEERS.
young ellie,"It's a beautiful day, winds out of the east at ten knots. Visibility... unlimited.  skitters in its cage."
young ellie,"Oh! There's something down there! I will bring it back for science. Awwww, it's a puppy!"
young ellie,What are you doing!?!
young ellie,"Don't you know this is an exclusive club? Only explorers get in here. Not just any kid off the street with a helmet and a pair of goggles. Do you think you got what it takes? Well, do you?!?"
young ellie,"Alright, you're in. Welcome aboard. She offers her hand.   Carl looks down, embarrassed."
young ellie,What's wrong? Can't you talk? Carl is frozen.   Ellie softens.
young ellie,"Hey, I don't bite. She takes off her helmet.   Her hair frizzes out in all directions. She removes a homemade GRAPE SODA CAP pin from her shirt and pins it on Carl."
young ellie,"You and me, we're in a club now."
young ellie,"I saw where your balloon went. Come on, let's go get it!"
young ellie,My name's Ellie.
young ellie,There it is.
young ellie,"Well, go ahead. She pushes him out onto the beam."
young ellie,Go on.
young carl, Ow!
young ellie,Hey kid!!
young carl,Ow!!
young ellie,Thought you might need a little cheerin' up. I got somethin' to show ya!
young ellie,I am about to let you see something I have never shown to another human being. Ever. In my life. Carl's eyes widen in alarm.
young ellie,You'll have to swear you will not tell anyone. Carl nods.
young ellie,Cross your heart. Do it! Carl crosses.    Ellie unveils...
young ellie,"My Adventure Book! It's a reused photo album with the words ""My Adventure Book"" written across it. She opens it to a photo of Charles Muntz."
young ellie,You know him. Carl smiles excitedly.
young ellie,"Charles Muntz, explorer. When I get big, I'm going where he's going: South America. She turns the page to a map."
young ellie,It's like America... but south. Wanna know where I'm gonna live?
young ellie," ""Paradise Falls, a land lost in time."" I ripped this right out of a library book."
young ellie,"I'm gonna move my clubhouse there, and park it right next to the falls. Who knows what lives up there? And once I get there..."
young ellie,"Well, I'm saving these pages for all the adventures I'm gonna have. Only... I just don't know how I'm gonna get to Paradise Falls. Ellie closes the book, disappointed."
young ellie,That's it! You can take us there in a blimp! Swear you'll take us. Cross your heart! Cross it! Cross your heart.
