Speaker,Dialogue
keaton,"I'd have to say my spine was broken, Keyser."
keaton,What time is it?
3.," MOVE OUT ACROSS THE DECK. Below is the stream of gasoline still flowing freely.  The sound of the gasoline igniting. The flame runs in front of us towards the barrels, finally leaping up in a circle around the drums, burning the wood of the pallet and licking the spouting stream as it pours from the hole.  MOVE OUT ACROSS THE DOCK, away from the boat.  The pier to which the boat is moored is littered with DEAD BODIES. Twenty or more men have been shot to pieces and lie scattered everywhere in what can only be the aftermath of a fierce fire-fight.  A BARGE COMES INTO VIEW.  On the deck of the barge is a tangle of cables and girders. The mesh of steel and rubber leaves a dark and open cocoon beneath its base.  MOVE INTO THE DARKNESS.  Sirens are close now. Almost here. The sound of fire raging out of control.  SIRENS BLARING. TIRES SQUEALING. CAR DOORS OPENING. FEET POUNDING THE PAVEMENT.  MOVE FURTHER, SLOWER, INTO THE DARKNESS  Voices yelling. New light flickering in the surrounding darkness.  SUDDENLY, AN EXPLOSION.  Then silence. TOTAL BLACKNESS.  We hear the voice of ROGER ""VERBAL"" KINT, whom we will soon meet.  VERBAL  New York. - six weeks ago. A truck loaded with stripped gun parts got jacked outside of Queens. The driver didn't see anybody, but somebody fucked up. He heard a voice. Sometimes, that's all you need."
yellow 06/11/94,4. BOOM 3     INT. DARK APARTMENT - DAY - NEW YORK - SIX WEEKS PRIOR TO PRESENT DAY
voices,POLICE. SEARCH WARRANT. DON'T MOVE.
hockney,Can I help you?
man,Todd Hockney'
hockney,Who are you?
hockney,We don't do gun repair.
5a.," The man is DEAN KEATON, a well dressed, sturdy looking man in his forties with slightly graying hair. He looks much better than he did in the opening scene. The woman with him is EDIE FINNERAN, age thirty-three, poised and attractive - Easily the calmer of the two.  BLUE 06/01/94"
edie,Let me look at you.
keaton,I'm having a stroke.
edie,You've come far. You're a good man. I love you.
fortier,"Edie, nice to see you."
edie,Sorry we're late.
fortier,"Nonsense. Sit, please."
renault, You must be Mr. Keaton.
edie,I'm sorry. Dean Keaton
renault,Monsieur Renault. A pleasure.
keaton,How do you do?
fortier,Monsieur Fortier. So nice to finally meet you.
yellow 06/11/94,"7A. PAN UP TO REVEAL: SPECIAL AGENT DAVID KUJAN , U.S. CUSTOMS. Thirtyish, dark-haired and determined."
keaton,"Skeptical. RENAULT We find the concept brilliant, but New York is difficult for new restaurants. How can we be certain that our money will be returned in the long run? Keaton looks at Edie and smiles confidently. KEATON It's simple gentlemen, design"
fortier,"This was the part of the proposal that intrigued us, but I'm not sure I follow."
keaton,Let's say for example -
keaton,Dave. I'm in a meeting.
kujan,Time for another one.
keaton,"This is my attorney, Edie Finneran. "
9.,"KEATON  This is Mr. Renault and Mr. Fortier. Everyone, this is David Kujan."
kujan,"Special Agent Kujan. U.S. Customs.  These gentlemen are with the New York police department. You look great, Keaton. Better than I would have thought."
renault,"Is there a problem, Mr. Keaton?"
kujan,The small matter of a stolen truck-load of guns that wound up on a boat to Ireland last night.
fortier,Mr. Keaton?
keaton,"If you will excuse us for a moment, gentlemen."
kujan,We need to ask you some questions downtown. You'll be quite awhile.
renault,We should leave you to discuss whatever this is.
keaton,Please. Sit.
keaton,Enjoy the meal.  I'LL call you.
hockney,"Hand-me-the-keys, you-fucking-cock- sucker."
12., VERBAL  It was bullshit. The whole rap was a setup. Everything is the cops' fault. You don't put guys like that in a room together. Who knows what can happen?  13 INT. INTERROGATION ROOM - NIGHT 13  McManus sits in a chair in front of a white wall. He smiles at someone off-screen.  OVERLAPPED:
12a., VERBAL  You want to know what your buddy Fenster told us?  BLUE 06/01/94 
fenster,"Hey, are we talking about the same thing?"
