Speaker,Dialogue
on black,"We hear a whooshing sound, getting louder.  A BLINK OF AN IMAGE New York City from a perspective of flight, not an airplane, a swooping diving shot. Back to black.  A WOMAN'S VOICE Abre los ojos... open your eyes... open your eyes...  INT. DAVID'S BEDROOM - EARLY MORNING  DAVID AAMES, JR., 32, swings out of bed and sits on the corner of his mattress. it's a chilly New York City morning. Early sunlight glows around the corner's of his curtains.  A WOMAN'S VOICE open your eyes... He reaches behind him to shut off a slim voice-activated clock-radio. He rises, a comforter draped around his shoulders, and heads to the bathroom.  INT. DAVID'S BATHROOM - MORNING  David regards himself in the mirror of a beautifully-tiled and well-appointed bathroom. in his thirties now, his looks have only deepened and improved. He brushes his teeth. He spots a gray hair, and holding tweezers, seizes and plucks it.  INT. DAVID'S BEDROOM - MORNING  David puts on a shirt. Checks his wallet for money. His bedroom is elegant and spare.  INT. DAVID'S NEW YORK CITY APARTMENT - MORNING  He slips down the stairs into the expansive living area of this deeply-textured apartment. A stunning, inherited book collection lines the walls.  INT./EXT. NEW YORK CITY GARAGE BELOW APARTMENT/STREETS -"
morning,"David starts up his dark green sports car, and roars onto the New York City streets."
david's voice,You're a shrink. You've got to do better than that.
david's voice,"What do you want to know? I was about to turn 33. I ran three magazines, and a world-wide publishing house. On most days I actually fooled myself into believing it would last forever."
david's voice,"Isn't that what being young is about? Believing secretly that you would be the one person, in the history of man, who would live forever?"
julianna,Where you going so early?
david," Hey, don't record any more messages on my alarm--clock, okay?"
julianna,Why not?
david,I'll think we're married or something.
julianna,Don't you ever say that word. Or I'll never come over here and bring you chicken soup and fuck your brains out again.
julianna,Still there. How's yours?
julianna,"Reyna, it's Julianna. I missed my audition.  I'm with David."
david,"Help yourself to whatever you want. Set the alarm, Maria will clean up. Lock up when you go. And... you are the greatest."
julianna,"Bye ""honey!"""
david,"Bye ""honey!"" I'll call you later."
julianna,When? When?
david,"Soon! They have a comfortable, healthy, mutually satisfying, gloriously superficial relationship."
david,Did you reserve the court?
brian,Easy. I can't handle heavy conversation at this ungodly hour.
david,I'm sorry to do this early. I gotta be done by 10. Car phone rings. David checks Caller ID - it's his office. He clicks on.
david,How did you find me?
rachel's voice,"David Aames, you have to check the colors of the letters for the new issue of Rise."
david,What are the colors?
rachel's voice,Yellow-and-red... or the traditional white.
david,"Let, me think about it."
rachel's voice,"David, please. Don't be late for the ten o'clock with the board."
david,"Okay, but. don't tell anybody where I am I don't care if God calls. I'm very busy."
brian,Can't you just get rid of that board?
david,The Seven Dwarves? No.
brian,Those people drive you nuts.
david,"And that was the desire of my father, who hired them."
brian," You fucked Julie Gianni again, didn't you? David takes off driving."
brian,"I know someone was there when I called. You had that tone.  Oh, no man, I've got a cold. I'm hanging in tonight."
david, I had a cold. I was alone.
brian,Fine. You can do whatever you want with your life -
david,Thanks.
brian,-- but one day you'll know what love truly is. It's the sour and the sweet. And I know sour which allows me to appreciate the sweet.
david,"Julie Gi.anni is a friend. Sometimes we sleep together. Brian howls in pain, like a hurt dog."
david,What --
brian,My dream girl... Julie Gianni... is your... fuck buddy. Brian emits another pained howl. David reaches over to change the music.
david,What do you want to listen to?
brian,"Slow down, man."
david,"What have we got here - Barcelona, Looper... Radiohead? Brian freezes at what he sees."
brian,"Look out! Look out! David turns and sees he's hurtling into the back of a car stopped just in front of him. Clenching he hits the brakes, narrowly avoiding a high-speech collision. And then... to his right... another car comes hurtling toward him... and stops within an inch of deadly impact.           There is an awful moment, as the second car blares on the horn. Traffic continues, but the lingering feeling of dread and confusion is still in the air."
brian,Fuck!
david, We almost died.
brian,"I know. My own death was right there in front of me, and you know what happened? Your life flashed before my eyes."
david,How was it?
brian,Almost worth dying for. Pedestrians continue walking around the honking tangled mass of the near-.accident.
rachel,"The art department needs a decision on the colors. Yellow- and- red, or white? And the board is pissed you're late."
david,"You changed your hair. David taps on the window of the art department, in panic over several cover mock-ups. He gives a presidential thumbs-up, moves on. They look at each other, trying to decipher if the thumbs-up was a decision."
art editor,"Did he mean the yellow-and-red or the white? David passes a holdover from the old days, older Receptionist        who speaks uncomfortably and gruffly into a headset. She gives David a knowing look - late again."
rachel,They're all waiting for you. And David - opinions are expected.
grumpy, How was Aspen?
david," How's it going? He gestures charmingly, easily, and bows with apology over his lateness. All are happy to see him. Sort of."
david's voice,They still look at me like I was still eleven years old.
flashback,"David at          11, blithely skateboarding the hallways. He passes Beatrice, who turns to an editor."
beatrice,He's going to inherit everything. He gets it all. if
mccabe,"You're scared of your dreams, aren't you?"
david,It's a nightmare either way.
mccabe,Is that how do you explain what's happened to you?
david,What --
mccabe,What happened to your face?
david,I'm not talking to you anymore.
mccabe,And you don't want to show me your face.
david,No.
mccabe,Do you know why you're here?
david," The conversation, the coffee --"
mccabe,"David - the part where we parry and joust, and get to know each other bit-by-bit... we're going to have to skip it. You've been charged with murder. In four weeks, a judge will determine your fate based on what I write. You will talk to me --"
david,There is no murder! It didn't happen! I don't have to talk to anybody! A Contentious Prison Guard  swings his feet down and gets up from watching a 17-inch television on a stool. He exits into the bigger room to quiet down David Aames.
aaron,You want me to help -
david,Get the fuck away from me.
aaron,"Take it easy, sunshine."
david,Get the fuck away from me.
aaron,"Take it easy, Face. Your whole story is full of holes! With great power, McCabe advances on the guard. His presence, when he turns on the switches, is considerable."
aaron," I'm gonna get you, Daddy's boy little freak."
david,"My parents are dead, you fuck!"
mccabe,Enough! The Contentious Guard leaves.
mccabe,Is it true?
david, Good cop... bad cop.
mccabe,That you're a Daddy's boy?
david," Primer on David Aames, Senior. My father was not built for the 21st Century. He never ate at"
mccabe,"I've read it. Page  127.           ""David Junior was a delight as a child."" Did I miss something here? Is that all he wrote about you?"
david,"I don't think he ever got over the fact that I was terrified of heights. And when he and my mother were run over by a drunken teenager on New Year's Eve, ten years ago... David Aames moves closer to the light. We see a strange bland expression of his mask, at first other--worldly... and then more clearly."
david,"he left the keys to the Kingdom to me...    51% control,   49% going to a group of seven board members who all thought they were first in line."
mccabe,"And you believe the Board, the Seven Dwarves, put you here to take control of your company."
david,What do you care?
mccabe,"We're just talking. And tonight's Wednesday night, and I go to Black Angus for dinner with my daughters on Wednesday nights, so I'll have to leave soon. You understand that our time is limited, don't you?"
david,"If I talk, you'll just think I'm crazy. McCabe gathers his things."
mccabe,"With all the respect I can offer a man wearing a latex mask and spouting conspiracy theories, David, trust me - you've crossed that bridge."
david,Fine. Enjoy your dinner. Somehow the lilt in McCabe's voice draws him closer.
