Speaker,Dialogue
walking tall, Written by  Mort Briskin & David Klass
intro," Inspired by a true story.  We home in on a boat coming in to shore. Off walks a man, he is carrying a backpack and wearing shades."
sheriff watkins,How ya doin'?
chris,Ok. When'd the mill close?
sheriff watkins,"Ahh 3 years this August. If ya lookin for work you might wanna try Aberdeen, that's the closest mill work you're gonna find around here."
chris,That's too bad.
sheriff watkins,"Nah just simple economics. Y'know we have a really nice casino here, the wild cherry. You wanna make some money maybe you wanna go on down there and try your luck at the blackjack tables."
chris,Nah I don't think so. Thanks.  Chris turns around and the sheriff notices his name on a bag.
sheriff watkins,You're Chris Vaughn?
sheriff watkins,"Well hell, I know all about you Chris. I know your folks, I'm sheriff Stan Watkins."
chris,How ya doin.
sheriff watkins,"Ralston get outta the car, you're lookin at a real soldier here pay some respect."
ralston,Welcome home soldier.
chris,Thanks.
sheriff watkins,"Here Chris,  We'll give ya a ride up to your folks."
chris,Nah I'm fine thank you.
sheriff watkins,I insist.
chris,I'll walk.
sheriff watkins,Hey it's my pleasure.
chris,It's ok.
sheriff watkins,I won't take no for an answer . HEY! Get in the car.
sheriff watkins,Did I scare ya with that one?
chris,Lil bit.
sheriff watkins,Ya. Let's go.
sheriff watkins,You were gone a while huh?
chris,8 years. Harstad was sheriff back then.
sheriff watkins,"Harstad, yeah. Sad story. About 5 months back he fell asleep at the wheel and uhhh... hit a tree. Good man, good man and a good sheriff."
chris,Thanks for the ride.
sheriff watkins,"No problem, and uh Chris . It's election month... I'm your man."
michelle,Can I help you?
michelle,Lil' brother.. You come over here and gimme a hug.
michelle,You look great.
chris,What is this?
michelle,"Hey, I couldn't let you be the only one looking good in uniform. Hey ma! Chris is here!"
chris,What's with the tent? .
michelle,"Oh, that's for Pete."
connie,Look at you!
chris,How ya doin!
connie,How long do we have ya for?
chris,For good. I'm home.
connie,Really? You're not kiddin.
chris,No.
chris,Hey dad.
dad,Welcome back.
connie,I wish you would have told me you were coming I would've cooked.
chris,This is great.
michelle,So what are you gonna do now that you're home?
chris,"Well I was planning on working at the mill, your letters never mentioned that it was closed."
connie,We didn't wanna bother you with our problems when your father got laid off.
dad,"I got my business, you saw the furniture outside."
connie,"I substitute at the elementary school, Michelle pitches in. We try to keep things simple."
michelle,Pete! This is your Uncle Chris.
chris,Hey Pete.
michelle,"Sit down, say hello. Last time he saw you you were barely walking."
pete,And now I'm camping.
michelle,I said you could sleep on the couch. It was Chris' room first.
chris,Your tent's gonna take on water. I could show ya how to rig it.
pete,Doesn't look like it's gonna rain to me Colonel.
michelle,"Pete, cmon sit down, have somethin to eat."
chris,First of all I was a sergeant. I worked for a living.
pete,Did you ever smoke anybody?
connie,Pete!
michelle,Pete!
pete,"Y'know, Papa's still got your gun locked up in the garage. Think you could teach me how to shoot?"
chris,I figured that'd be scrap metal by now dad.
dad,"No, I'm still hoping that you'll melt that thing down on your own."
chris,Sorry Pete.
pete,Whatever. I'm outta here Mom.
michelle,"Okay, be back by ten."
pete,Ten thirty 
michelle,Ten!
dad,Remind you of anyone?
pete,Ok it rained. Happy?
chris,No. Why dontcha crash on the floor?
chris,"Ok, I'll crash on the floor, you crash on the bed."
pete,uh uh. 
chris,Pete. . Keep ya dry.
pete,Did you really kill people?  Chris looks at him.
chris,Ray Ray! Ahaaa.
ray,Hello puddin'.
chris,How ya doin?
ray,I'm alright.
chris,What is that? 
ray,That's the lovemachine.
chris,Girls actually get in there?
chris,How ya been?
ray,Good. Clean livin.
chris,Wanna beer?
ray,No. Believe it or not I quit drinkin. I'll take a soda though.
chris,Here.
ray,Thanks man.
chris,Whoah. .
ray,"Ya like that? When you left town it gave me the idea that I should do something with my life too so uhh I went down to Seattle, got a guitar and became all about music. And then pretty soon I was about music and drugs, n pretty soon I was basically just about drugs. Ended up doin 2 years for B+E."
chris,I'm sorry.
ray,"Nahh, look at me now though right? I been clean and sober for 14 months, doing construction and renewing those supportive and healthy friendships from my past. Matter of fact I talked to the bastards, told em you were back and they asked me to politely remind you that kick off's in twenty minutes."
chris,Playin ball?
all,Let's play ball!
jimmy,Ray go deep go deep! .
chris, When did that happen?
jimmy,His parents hadn't left him the mill more than 2 minutes before he shut it down.
chris,Why?  a voice shouts 'HEADS UP' Chris catches a fast ball thrown from behind. Jay steps out of his vehicle.
jay,Cause I opened my Casino.
chris,Still got a gut huh Jay?
jay,"Still got your reflexes. What, you get tired of being all that you can be?"
chris,I'm still all I can be.
jay,Really? I'll just have to see about that. What brings you home?
chris,"I just wanna relax, catch my breath."
jay,You? Relax?
jay,Not today.
ray,If we score here we win right?
chris,"Alright boys, last play. We need to put this to rest."
ray,Just give me the ball.
chris,You got it. On the first hut!
jay,"Ok Vaughn, last chance."
jay,That's game!
opponent, Sorry about that.
chris,That's cool man.
jay,Welcome home.
chris,Good to be back.
jay,"See ya round. Hey, if you're not doing anythin later on you could come by the casino. I'll introduce ya to some nice girls, drinks are on me. Whaddya say?"
chris,See ya tonight.
jay,Cool.
pete,"Hey Sarge, good game. Maybe next time."
chris,Hold up. Maybe next time I won't see you with the bleachers smoking weed.
ray,Welcome home buddy.
chris,Don't you have to be native american to own a casino?
jimmy,Oh Hamilton's one sixteenth black man now.
friend 2,"Just so you guys know, I'm gonna triple my money tonight."
friend 3,"Yea, like last time. Wound up selling your body for bus fare."
friend 4,He had to walk!
chris,Nobody's gonna have any problems finding this place.
ray,"It's the subtle attention to aesthetics that I find most impressive, blends in with the mountains SO nicely."
friend,Not bad huh?
chris,Not bad.
ray,"Isn't it wonderful? All your gambling needs under one great big roof. You got your ATM machine, tellers to cash your paycheck, and when you're here you don't gotta worry about those lil things like child support, rent, the laws of mathematical probability."
worker,"Gentlemen, Mr Hamilton would like to invite you to the VIP lounge."
ray,"Oh, 'Mister' Hamilton."
jay,"Heyyy, the dream team!"
chris,Nice place.
jay,"Yeah well. Welcome to my world. Look tonight, all the drinks are on the house. If you need a line of credit, say how much. And if you need a lil female companionship... done. Alright? Have a good time."
chris,Where you goin?
jay,"Don't you worry about me, I've got a few things to do. Enjoy."
ray,"Just remember, nothin in here's free. C'mon, this place is nothin but fake boobs and real assholes if ya ask me. Just water for me."
friends,Here's to you Chris.  They all down some drinks. They lead Chris down a corridor.
friend,Don't say we never did nothin' for ya!
friend 2,"Don't worry, everybody's a lil scared the first time. Get in there, sit back and enjoy."
friend 2,If you're not back by morning we'll send a search party for you.
chris,"Bye! No drinking.  His friends leave, closing the door behind them.  A screen goes up and a striptease begins. The lady is dressed in the style of a firewoman and has a pole in the center of the stage. She dances around the pole and removes clothes."
stripper,So you from here or just visiting.
chris,"Lil of both, I grew up here."
stripper,So you've seen all the old faces.
chris,Could say that.
stripper,Your voice sounds very familiar.
stripper,Chris...
chris,Deni..
friend 1,Look who's back.
friend 2,"So, good surprise?"
friend 1,Told you it was better than gambling. You met Candy? 
chris,Hey Candy.  Let's go.
croupier,6! Easy 6 for a win!
jimmy, We're gettin killed out here. I need you to put 200 down for the bet.
chris,"No, hell no."
friend 3,Look at them .
chris,Ok.
croupier,Five hundred on 6?
jimmy,"Yes, I'm in. Boom! Gimme some dice."
chris,Jimmy. Don't roll. Gimme the dice.
chris," You're good, but I saw it."
croupier,Saw what?
chris,I saw the switch.
croupier,Hey this is a clean game asshole.
chris,Yea?
croupier,Yea.
chris,Let's see about that.
chris,Bet you I'll roll a seven.
croupier,It's not your roll sir. SIR! It's not your roll. Call security.
