Speaker,Dialogue
bud,Why Fox? Why didn't you buy... schmuck?
carolyn,How you doing Buddy?
bud,"Great Carolyn, doing any better would be a sin..."
bud,"Morning, Dan. What's looking good today?"
steeples,"If I know I wouldn't be in this business. Get out while you're young, kid. I came here one day, I sat down, and look at me now."
bud,"...hey Chuckie, how's the woman- slayer?"
charlie,"...still looking for the right 18 year old wife, how you doing, pal?"
bud,"...if I had your looks, better."
charlie," ...takes years of genetics, pal, and a Yale education... and the right tailor."
bud,"...not that you learned anything, Chunk."
bud,"I gotta feeling we're going to make a killing today, Marv."
bud,Joke about it. I was up all night charting these stocks. You want to see this or what?
marv," Okay, I'm giving this to you and you alone, 'cause I feel sorry for you. Take the Knicks against the Bullets, and my pick of the day -- Duke to beat the spread against Wake Forest."
bud,"Thanks, Marv, with that I might be able to qualify for welfare."
bud," You got a look in your eye, Mr. Mannheim... You got something for the small fry..."
mannheim,"Jesus, can't make a buck in this market, country's going to hell faster than when that sonofabitch Roosevelt was around... too much cheap money sloshing around the world. The biggest mistake we ever made was letting Nixon get off the gold standard. Putney Drug--you boys might want to have a look at it."
marv,Take 5 years for that company to turn around.
mannheim,"...but they got a good new drug. Stick to the fundamentals, that's how IBM and Hilton were built...good things sometimes take time."
lynch,"Attention. Please. Office Production is down ten percent this week. I recommend that you all go through your clients' investments for any portfolio adjustments. And don't forget -- double commissions today on our 'A' or better bond funds.  Especially you rookies. Also, remember, the sales contest ends tomorrow."
bud,And they're off and running!
brokers,"Here's a hot lead... Have I got one for you.... sell ... dump it all!! ... 500 at an eighth, an eighth!... July fifties. April thirties...how bout those Decembers? You see where they're going? ... Morgan is selling a billion one at the close. Yeah. That's right, they're selling all over the place... we're still long on the treasuries -- $110 million. What about the Japs? ...Where am I?  We gotta lot of lights here! Let's pick 'em up."
bud," Jack, take 50 Gulf, with a 3/8 top, forget the hundred. What about Delroy? I can go long at 23, let's go long...Conwest Air -- let me check it..."
marv,Dr. Beltzer has to have his information this minute! It concerns his future!
bud,"Hey Howard, I thought you were a gentleman. Sure it's gone down a little bit, but you got the tip from your printer, I didn't... Yeah you did. That's what you said.  No, he's out right now."
bud, ... That's what you told us to say.
lynch,"Give me that phone.  Yes, sir, this is the manager. What seems to be the problem?"
marv," What?... Well, how was I to know you were in surgery? What am I Marvin the mind reader here?"
bud,He's lying.
lynch,"Okay, sir. I'll discuss this with the broker and I'll get back to you. You're welcome."
lynch,"If I'm closing out this account. If he doesn't pay for it tomorrow, you pay for it."
bud,"Mr. Lynch, I swear to you, he's lying!"
lynch,"Fox, you're making more problems than you are sales."
bud,"I don't think you're being fair, sir. You assigned me this guy, and you know he's got a history..."
lynch,Somebody has to pay for that error. And it's not me.
marv," Buddy, buddy, buddy; little trouble, huh, today."
bud," Howard the Jerk reneged on me. I've got to cover his loss to the tune of about seven grand! I'm tapped out man, American Express got a hit man looking for me."
marv,"Hey, things could be worse. It could've been my money. Let me help you out, rookie."
bud,"Thanks Marv, I'll make it good to you.  You know what my dream is? One day to be on the other end of that phone..."
marv,Just put me on the institutional side of the room where the real cheesecake is. You forgetting something?
bud,"Hello, Natalie -- guess who? That's right, and you know everyday I say to myself, today could be the day... So what do you say... will you marry me? Then please can you get me through to Mr. Gekko?"
marv, It concerns his future!
bud,"Of course he's busy, and so am I. Five minutes. That's all I'm asking. I know that if he could only hear what I have to say... it would change his life."
