Speaker,Dialogue
wesley,".so by the time I got back to my cubicle, my eyelids were so damn heavy, I had to put my head down, even if it was just for a wink."
puja,"I didn't expect for you yourself to come. One of the heads, in the flesh."
puja,I'm flattered. She reaches over to an attach case and removes a file.
puja,"There.have been five attempts on his life, but he has been well protected... and well hidden. Turns out his wife's family has a lot of money. He's in town to accept an award."
puja,"And for that, my clients will pay handsomely. Mr. X is looking at Puja when a curious thing happens... .he notices that the red bindi on he r forehead tarts to move a little, like a second dot is trying to emerge from it, like an amoeba splitting. It's a sh hooter's laser! His eyes go wide as saucers. MR. x"
fox,"It was a set-up all the way? Sloan just nods. He then stoops down, shoos some of the flies away with the back of his hand and picks up the file that Puja gave Mr. X. The CAMERA PUSHES IN on the back of Sloan's hand as he reads the file. It, too, has the tattoo pf the three- headed do q, in the same spot as Mr. X."
sloan,He wants out.
fox,And killing all three heads gets him that? Sloan nods again.
sloan,There's one person who can.
fox,"Yeah? Who? And with that, we..."
boss janice,"Oh my fucking god I hope that's not my billing report sitting on your fucking desk. Holy shit on an altar, it isl A couple of the other OFFICE WORKERS look up at the fireworks and smile... like they're actually enjoying Janice's histrionics."
wesley,I meant to...
boss janice, I meant to... I meant to... Well I meant to be a size four but meaning to doesn't pick no cotton.
wesley,I'll do it.
boss janice,Minimum for the maximum. That's all you ever do. The minimum you can do to suck the maximum from this company.
wesley,I said I'll get it done. I'm sorry.
boss janice,"No, you're worthless. I'm the one who's sorry I hired you. She storms away, fuming. Wesley looks over and sees some of the other workers still staring at him, amused. He sits back down to the semi-privacy of his little cubicle."
consultant,I asked you about the effects of net investment income with regards to underwriting cycles.
wesley,"Well, that's the thing.-"
consultant,What's the thing?
wesley," Cycles. Hard market, industry-wide cycles differ from our firm's cycles so I think it's amistake to apply..."
janice,Good God a'mighty.
consultant,"Son... everyone knows that net investment income is inversely related to both premium and loss reserves, making firm cycles inherently dependent on industry cycles! Everyone snickers."
janice,Get it to me by five.
wesley,"Sure. Wesley jots down on his pad: ""ACTION ITEMS,"" and underneath it: ""Differential responses... then you die."" He underlines it three times."
wesley,"C'mon, c'mon. After an eternity, the doors open."
cathy,Where's the spaghetti?
wesley,What?
cathy,"I specifically told you to get noodles on your way home. God, Wesley, I already put the sauce on."
wesley,Sorry. Ididn't...
cathy,You didn't listen is what you didn't.- I might as well talk to the wall.
wesley,I'll be right back. He turns around.
wesley,I got it.
fox,There is a remedy for all things but death. She said it so fast he's not sure he heard it right. He turns and sees the-hottest zQZM ever to ace Kroger's aisles: ox. She's wearing barely enough clothing to cover her tight body.
wesley, I'm sorry?
fox,You apologize too much.
wesley, Sorry? She looks him in the eye.
fox,"Spina bifida babies have more backbone than you. With that, she walks toward the end of the aisle, eyes scanning the whole time. Stunned, all Wesley can do is watch her walk. on the sMll f her back is a tatt It' tattoo we saw in the be i n n : a thKee-head2d dog. She gets to the end and catches him looking at her. Then she makes a very subtle gesture with her head... as if to say ""come here."" Wesley still isn't sure what the hell is going on. Sheepishly, he makes his way to where she stands. She leans in close, her lips just inches from his ear."
wesley,I think you got the wrong guy.
fox,"Can't say that I agree with you, Wesley."
wesley, What is this? How d'you know my name?
fox,Your father...
wesley,My father died in a car wreck the week I was born...
fox,",Your father died two days ago on the rooftop. of the Metropolitan Building. For a moment, just a moment, Wesley is stunned, but Fox just keeps sizing him up."
wesley,Lady...
fox,"I've been called a lot of things, but ""lady"" ain't one of 'em. Wesley starts to talk but Fox interrupts him..."
wesley,The Fraternity?
fox," Your father, Wesley, was set up and gunned down by a man he used to consider a friend. And your father, Wesley... Suddenly, s raises her hands and-LS fist' two blgck"
fox,"This is what you've dreamt about all your life. Just then, Cross o s the corner to t e' e also fisting a Da'r of alms. Wesley's eyes go wide as Fox suddenly starts firing, BAM! BAMI BAMZ BAMI BAM: forcing Cross to take cover on the far side of the aisle."
fox,Drive!
wesley,"What?!! But Fox just leaps into the passenger seat, guns up and ready, as Wesley's legs. somehow take over and he hops behind the wheel. Just then, Cross's ev ll Mound the corner, practically going up on two tires. Wham! Wesley turns the ignition, pope the clutch, and smashes the gas pedal as the car nearly snaps his neck when it launches forward. He races through the gears and rips around a corner and out into traffic."
fox,"Just drive! The Chevelle stays on his tail behind them; Cross drives and fires his Glock at the same time. Bam! Bam! Sam! Fox does her best to send bullets back his way, while Wesley mans the wheel, breathing hard, still stunned at what is happening. He spots a side-street..."
wesley,Hold on! ...whips the car into a rubber-squealing turn...
wesley,Truck!
fox,Go around it!
