Speaker,Dialogue
farmer,"Come on, easy, girl. Easy, girl. Easy."
farmer 2,"This is a stubborn one, huh?"
farmer 3,There we go. Who's a clever girl?
farmer 2,"Easy does it. Easy does it. Come on, steady does it."
si easton,"Forget it, Ted. He's half thoroughbred and not got a day's work in him.  Now, there... There's your ticket."
dad,"But look at him, Si. Look at that creature."
si easton,Don't be daft. You need something solid to plow a field.
dad," Yeah, but he's something else, that one."
auctioneer,Alright gentlemen - settle down - settle down - horses on my right - men with money in their pockets on my left - it's the perfect combination. Is Fred Goddard here? FRED shouts his reply from the crowd.
fred,YES! I's here.
auctioneer,Good - more money than sense. Dave Hill?
dave,I'm here. Yes!
auctioneer,"Bugger off, you tight bastard - you've been coming here for 20 years - never bought so much as a pork scratching."
dad,One guinea.
auctioneer,"One guinea, one guinea, one guinea..."
auctioneer,Any advance on one guinea? Any advance on one guinea?
lyons,Two guineas. DAD Three!
si easton,Ted Narracott - it's completely the wrong animal.
dad,Si Easton - I'm not gonna let that bastard see me off.
lyons,Five guineas.
dad,Six! SI EASTON Oh for the love of...!
lyons,Seven.
dad,Greedy sod thinks he can just buy anybody.  Eight.
si easton,Stop it - he's your landlord - you can't be picking fights with him.
lyons,Ten guineas.
si easton,You haven't got the money. Let's go home - let's have a pint.
dad,"Eleven guineas, sir, from as good a man as any in this town."
auctioneer,Do I hear twelve guineas? Twelve guineas?
si easton,That's top price for a workin' animal. Ted! Save it for the shire!
dad,There are big days and there are small days. Which will it be?
auctioneer,Do I hear any advance on eleven guineas?
david lyons,"Just let him go, dad, I don't care for him, he's too... jumpy."
lyons,Shall we say - twenty five?
si easton,"Well, he's got you there. Nice try, Ted."
andrew,"You were great, Mr N. Gave him a run for his money."
auctioneer,"Going, going..."
dad,Thirty. Thirty guineas!
auctioneer,Thirty guineas. Thirty guineas. Going going gone - to Mister Ted Narracott.
si easton,"What have you done, Ted? What have you done?"
lyons,"Quite a beast, there. But what you gonna do with him - on a working farm? I hope you got the rent, Ted. I'll be around for it when it comes due."
si easton,"You're a fool, Ted. And our Rosie'll never forgive you."
albert,That's Mooney's colt!
albert,You bought him? MRS. NARRACOTT What'd you pay for him?
dad,I won't tell you a lie - though I would love to. Thirty guineas.
dad,"He's a strong one, Rosie. Look at the way he holds his head!"
albert,No.
albert,"No. No, please don't take him back."
dad,We can't take him back till he's broken in.
albert,"Please, Mum. Please let me. I can do it."
dad,We have to keep him. We've no choice.
dad,It was Lyons.
albie,"Don't worry, Mum - I'll raise him - and I'll raise him good."
