Speaker,Dialogue
final shooting script,"NOVEMBER 30, 2015"
soldier,Captain...!
captain,"Echo two-six to command. Colonel, we have eyes on three Kong in the north woods. A couple of our donkeys think there are others here too... Maybe this is it, maybe the base is near.  Yes sir... Yes sir, copy. Over."
preacher,Reload!
agonized voice,RETREAT!!!
preacher,"Colonel - Colonel, do you copy?!"
preacher,"Preacher -- it's Preacher, sir -- !"
preacher,I don't know -- !
preacher,"I can't see anything! We lost a lot of men, sir -- the captain is dead!"
preacher,"Command, sir? I think it's just me by myself now!"
preacher,"Sir, I don't think I'm gonna make it...! I'm sorry -- I'm so sorry!"
preacher, ...it's... Alpha Omega.
lang,Means we're the beginning and end. Humanity's survival depends on us.
maurice, [Twenty-two dead. Many more injured.]
preacher,You're him... You're Caesar.
travis,Just kill us already...
lang,"Shut up, man --"
travis,"What? They're animals, he's gonna slaughter us --"
caesar,I... did not start this war.
travis, And we got ten more just like him.
caesar,I know these apes. They followed Koba...  They tried to kill me. They fear what I will do to them. They believe I cannot forgive. So now they serve you... just to survive.
red,"I no fear you! You must fear! How long you think woods can protect you? Humans destroy you. Their Kerna has all power. Humans follow all he say. To them, he more than just human. He everything."
caesar,[Get him out of here.]
luca,[What should we do with them?]
preacher,You're letting us live...?
caesar,Tell your Colonel... you have seen me now. And I have a message for him: this fighting can stop. Leave us the woods. And no more humans will die.
maurice,[Do you really think they'll give him the message?]
caesar,They are the message. I showed them mercy. He will see we are not savages.  Let's hope this works. They are getting closer...
winter,[Red attacked me!   He got away!]
caesar,"Why didn't I see, Maurice?"
maurice,[See what?]
caesar,That Koba could not forgive what humans did to him when he was their prisoner. That he would seek revenge. I should have known.
maurice,[No one could have known how much darkness was living inside of him.]
blue eyes,"[Hello, Father...]"
caesar,"Welcome home, Rocket.  You look tired."
rocket,[It was a long journey --]
blue eyes," [Father, we found something!]"
caesar,Come inside!
blue eyes,[Mother...!]
cornelia,"[Cornelius, don't you recognize your brother?]"
blue eyes," [This is it, Father. We can start over. A new home.]"
cornelia,"[What is beyond those mountains, son?]"
blue eyes,"[A desert, Rocket and I had to cross it too. The journey is long, but that is why humans will not find us.]"
winter,[We must leave tonight!]
lake,[Tonight?    That's impossible!]
winter,[How much longer can we wait?      Soldiers are getting closer!]
blue eyes, [Winter...]
winter,"[Your son's been gone, he doesn't know how hard it's been!]"
blue eyes,"[I know you are scared, we all are, but we are still planning...]"
caesar,Yes... We must still find a way to get out of the woods safely.
maurice, [The woods are filled with soldiers.]
blue eyes,Father... We must try.
caesar,"I know, son.  More apes die everyday. And we cannot hide here much longer."
blue eyes,[Can't sleep?]
caesar,"[I am so proud of you.]  [I love you, son.]"
luca,"[Sorry, Caesar.]"
caesar,[How many others on patrol?]
luca,[Five?   Six--?]
caesar,[Get them!     Rocket too!]
female soldier,"Lima-two to command. Colonel, intel's good. I'm in the target area. Are you close?"
soldier,"Lima-four to command.   Colonel, did you get him--?"
caesar,Rocket!   What happened?!
rocket,[I heard him talking!   The Colonel is here!]
the colonel,Get me out! Now!!
spear,[Luca! We can't find Winter.   He wasn't at his post.]
maurice,[He was scared. Could he have turned against us?]
luca,[Caesar... I think Winter betrayed us. I'm sorry. He was in my command.]
caesar,My youngest son...   Have you found him yet?
luca,[We're still looking.]
maurice,[Let's help them search.]
caesar,"Cornelius... you're safe now, son."
caesar,You loved my son.    Look after his brother until I return.
lake, [You're not coming with us?]
caesar,No.
maurice,[Caesar!    You're not going after them?!]
caesar,Not them... Him.
maurice,"[Caesar, you are our leader!   We can't leave without you!]"
caesar,You must.    The soldiers will be back soon.
cornelius,[Father!]
