Speaker,Dialogue
claire,"Morning, beauty."
claire,Let's go.  Or we'll never leave on time.
caitlin, I'm totally ready.
claire,"Come on, I'll make you some waffles, maybe we'll squeeze in a trip to the mall.  Caitlin..."
caitlin,Mother...
caitlin,You're such a morning person.
claire,It is unwise to heckle the keeper of the plastic.
norman,They at it again?
norman,"Christ, that's twice in...When did they move in?"
claire,I think three...
norman,Three weeks.
claire,What's their name?
norman,"Feur, I think.  Psych department.  Figures. They're all psychotic."
claire,She's awake.
norman,We'll be quiet.  Quick and quiet.
claire,I don't want to be either.
norman,When's she out of here?
claire,Norman Spencer.
norman, Alright.  I can't take the rejection.  I'm going to class.
claire,Don't.
norman,"Claire, I have to show up for the--"
claire,It's Saturday.
norman,I knew that.  You think I didn't know that?
norman,It's today?
claire, Yep.
norman, We're going to have to leave by three if we want to beat the traffic.
claire, Three o'clock.
claire,...and I still think we should get you some mittens.
claire,Do you have a scarf?
caitlin,Hey.
claire,Yes?
caitlin,It's only two hours away.
claire,I know that.
caitlin,I'll come back all the time.
claire,Of course you will.
caitlin,"I'm just saying, you're going to be fine."
claire,"Sweetheart, I've known this day was coming for a long time.  I've got your father and the garden and the new house. You really don't have to worry."
claire,Really.
caitlin, Mom.
caitlin,I have'ta go.
caitlin,I'll call you.
claire,Come home anytime.
norman,"Really gonna leave me, huh?"
norman,Be good.
caitlin,Bye.
claire, I almost made it.
norman,Whatcha reading?
claire, Genetic repair mechanisms in eukaryotic organisms.
norman, How is it?
claire,Excellent.  Couple of Swedish sailor cells just gang divided a virginal cheerleader cell.
norman, Almost done.
claire,If you have to work...
norman,"No, no.  I'm just about...  There."
norman,How are you?
claire,Fine.
norman,It's okay if you're not.
claire,"I am, really."
norman,It's just she's been the focus for a while.
claire,Not the focus.
norman,You know what I mean.
claire,To tell you the truth...I'm excited.
norman,You are...
claire,To get my life back.  To have some time for myself.  Some time for us.
norman,You did a great job.  She's a good kid.
claire,We did.
norman,It's just us now.
claire,I know.
norman,Tired?
claire,Nope.
norman,Wanna fool around?
claire,Yup.
norman,Did you...
claire,Shhh.
norman,Jesus.
norman,I guess they're making up.
claire,What is he doing to her?
norman,And we moved out here for the quiet.
claire,Mmm.
norman,Maybe we should just...
claire,Tomorrow.
norman,I'm finished at three.  No.  Squash with Stan.
claire,After that.
norman,I'll be there.
norman,Love you.
