Speaker,Dialogue
white christmas," ""WHITE CHRISTMAS""  by  Melvin Frank, Norman Krasna and Norman Panama"
general carlton," What's this all about, Colonel?"
adjutant," A little entertainment for the men, sir.  Tonight's Christmas Eve."
general carlton,These men are moving up tonight. They should be lined up for full inspection!
general waverly," There's no Christmas in the Army, Colonel."
adjutant,"Yes, sir."
general waverly, There's always a slip-up or two during a change in command.  The men get a little loose.  But I know I'm leaving them in good hands.
general carlton," Sergeant, take me to headquarters immediately!  We'll have those men turned out on the double!"
general waverly,"Goodbye, Sergeant.  Take the short cut."
sergeant,"Yes, sir!"
adjutant,That's not the way to headquarters!
general waverly,"Joe, you know that, and I know that, but the new General doesn't know it. Or he won't for about an hour and a half."
adjutant,That Sergeant'll be a private tomorrow!
general waverly,Yes... isn't he lucky?
bob,"Thanks, fellows.  I guess by now you know the Old Man's being replaced by a new Commanding General fresh out of the Pentagon... this divisions's been awfully lucky so far, but tonight they're running a special on St. Christophers at the PX... The Old Man's heading back to the rear - he's never moved in that direction in his life.  All I can say is, we owe so much to General Waverly and the way --"
waverly's voice, ATTENTION!
general waverly,"Captain Wallace, button your shirt. You're out of uniform!  This division is now under the command of General Harold G. Carlton, and I don't want anyone to forget it -- not that he'll let you.  He's tough -- just what this sloppy outfit needs. You'll be standing inspection night and day -- you may even learn how to march.  And if you don't give him everything you got, I may come back and fight for the enemy.  Merry Christmas!"
general waverly, Well -- I guess that's about it - uh - uh --
bob,"Perhaps I can help you out, sir."
cooke, New York's on the telephone.
phil, Oscar.
oscar,"Listen, I just heard what you're doing -- giving the cast a week off with pay for Christmas.  You don't know how touched I am.  I'm all choked up.  Between sobs, I managed to book you on the Ed Harrison show this week to take up the slack.  It'll be stealing money."
phil, We'll have to go to New York -- four days and four nights of rehearsals -- that's stealing money?
oscar,"It is for me  -- I get ten percent.  Next time you guys make a charitable gesture, find out if you got with what to make it.  See you Wednesday."
bob,Well... while the cast takes it easy we'll be slaving over a hot kinnie.
cooke,What train do you want?  There's a one-thirty this morning but you have to sit up all night.
phil,Let's get out tonight.
bob,Okay.
phil,What are we going to do until one- thirty?
bob,We'll eat dinner.
phil," Eat, eat  All you think of is your stomach!"
rita, You said you had something to rehearse with me after the show.  What is it?
phil,It's a kind of new dance number.
rita, I'm ready.
bob," Lamb chops, lamb chops!"
phil, I'm looking at them!  We're going in the wrong direction.
betty, We'll have to rush to get the 1:30 train.
bob,Have you ever considered laying off the female sex for awhile?
phil,What other kind is there? 
