Speaker,Dialogue
christy,"""Health Teacher Flunks Her Own Lesson!""  No WAY!  It's Miss Pratt, smoking a doobie!"
christy,Just the guy I've been looking for.
ted,"I've been looking for you, too."
christy,Wouldn't it be awesome if we were about to say the exact same thing?
ted," From your lips, to God's ears."
christy,You go first.
christy,Well. The prom's coming up.
ted,Yeah?
christy,And I was wondering.
ted,Yeah?
christy,If you don't have...I mean...
ted,SHUT UP!  Are you serious? Of course I will...of course.
christy,"You are the most wonderful guy in the whole wide world, and I love you madly, Teddy Nelson!"
charlie,"Come on, bro. Spare yourself the humiliation, the degradation..."
ted,You and your pep talks.
charlie,"Don't get me wrong. We can salivate over all the Christy Malones of our lives. Wishing we could devour them like melt-in-your-mouth filet mignon. But we're strictly hamburger guys. Ground chuck, sixty eight percent lean, is about the best we can hope for."
ted,I genuinely think she wants me. I feel a vibe.
charlie,"That vibe is from your wrist, pal. You've been over-tenderizing your meat, again."
ted,See? Did you see that?
charlie,"She smiles at everyone, Ted.  She's like a newborn with gas."
ted,Were you always this sick?
charlie,"One thing for sure, Christy Malone ain't lookin THAT good naked."
ted,"Someday, I'll find out."
charlie,You have a better chance of being hit by a Mack truck with a refrigerated cargo bed full of sirloin tip.
ted,"I defy your hamburger theory of life, and all of the unfulfilled hopes and dreams it represents."
charlie,That's crazy talk.
ted,I defy any and all limits.
charlie,"Don't do it, Ted. Don't do it."
ted," Any time, any day, a man can completely reinvent himself."
charlie,"I'm warning you. This is an official warning. Danger, Will Robinson, danger."
principal merkin,"Oh, Miss Pratt, Miss Pratt! What were you thinking?  How could you be so careless?  ""Exposing Hypocrisy in the Morons who Teach Us."" That's the little bastard's motto!"
miss pratt," Principal Merkin, I realize we have to teach the children that recreational drugs are the devil's work, but that doesn't mean we don't dance with the Prince of Darkness ourselves, every now and again."
principal merkin,"Ah, well, bravo!  That's just what we'll tell the school board."
julie,"So, William Randolph. Your last big scoop contrasted the popularity of Rice Crispie Treats and chocolate Snickerdoodles at the annual bake sale."
ted,That's just one example. My reporting has made a difference.
julie,Let me guess: retail sales of little chocolate sprinkles have gone through the roof!
ted,The school dumpsters used to overflow to the point where the stench was unbearable. My award winning expos changed all that. The city added an extra weekday trash pick-up.
julie,Is it true? Is ignorance bliss?
ted,"Look, I loved ""Exposed!"" and I hate it that you got busted. I know the school paper sucks in comparison, but it's really not THAT BAD."
julie,Don't even tell me you're hot for Miss Titty Pom Poms over there.
ted,Christy's a very talented journalist. I see a Pulitzer in her future.
julie,I didn't know they gave them for Best Lip Gloss Retention During a Blow Job.
ted,Me-ow.
julie,Go ahead. Ask her to the prom. Get it over with.
ted,I have absolutely no intention--
julie,--Do it. I triple-dog-dare you.
all students,WOULD YOU GO TO THE PROM WITH ME?!!!
christy," Ted, have you lost your mind?"
ted,You like me. I like you. I guess it's pretty obvious to everyone.
christy,I don't LIKE you. We're JUST FRIENDS.
ted,But that smile.
christy,"Oh, Ted, DUH.  I smile at everyone since I got my braces off."
ted,So you'll think about it?
christy,"You really don't get it, do you? I am genetically programmed to desire a big, buff, manly man who can defend and provide for me and my yet to be conceived offspring! It's, like, a caveman thing!"
ted,So that's a maybe?
christy,"The answer is NEVER, Ted, NEVER. Except maybe in your dreams."
ted,In my dreams.  Of course.  This is a dream.  This is only a dream.
julie,"No, Ted.  This is an actual emergency."
julie,"I tried to warn you, William Randolph. She's got stiletto heels hidden in those Keds."
ted,But you triple-dog-dared me.
julie,"It was for your own good, in a twisted sort of publicly humiliating way."
charlie,"One word, my friend. One word. MEATLOAF."
ted,There's gotta be more to life than meatloaf.
ted,"If I never eat another bite of meat loaf again, it'll be too soon."
jimmy,"Mom, Dad. Meatloaf has come to represent all that Ted hates about his mediocre life and the world we live in. He's what you'd call clinically bummed."
ted,"Why can't we have pot roast or stroganoff or even a little London broil? I mean, for god's sake, we own a grocery store!"
dad,"We heard about Christy, son."
ted,What is this? Does everybody know everything I'm about to say or do every freakin' minute of the day?
mom,"No cursing in this house, young man. Use the strong vocabulary God gave you."
ted,I don't have a shred of privacy in this whole stupid town!
dad,"We understand your disappointment, Teddy. Christy is a pretty, sexy, provocative, voluptuous...  We...uh...we understand your disappointment."
ted,It's my private business! Mine!
mom,"Can the tantrum, sweet pea. We're the good guys, remember?"
jimmy,"Mom, Dad. Don't allow this disturbing behavior to furrow your collective brow. Ted's just experiencing some post-adolescent turmoil, coming to terms with the whole ""small town dynamic."""
ted,I hate Xenia! I hate my life!
ted,"Whoa! Sorry, mister."
zukerman,"In a hurry, are we?"
ted,I was in the middle of a melodramatic exit. It wouldn't really make a statement if I tiptoed out the door...What are you selling?
zukerman,Bad news.
ted,People pay good money for that?
zukerman,I'm just a messenger.
ted,Oh no. No way. I've had all the bad news I can take for one day.
zukerman,It's about your parents.
ted,My parents? What do you mean?
zukerman,I'm terrible at this. I blurt. I'm a blurter. Your parents...They ...well...they exist no further.  Skinny-dipping. The Amazon. Piranhas. It wasn't pretty.
ted,You've got the wrong guy. The closest my parents have been to the Amazon is the Brazilian pavilion at Epcot.
zukerman,"Well kid, I'm speaking of...your biological parents."
zukerman,The will reading is next Tuesday. Naturally all of Ted's expenses will be taken care of.
mom,We have a truckload of strawberries arriving on Tuesday morning.
dad, We own a small family grocery store.
zukerman,How quaint.
ted, It's spring break. I don't want to go to a will reading.
mom,"That's part of growing up, honey."
ted,What? Having spring break ruined by will readings?
dad,You know what your mother means.
zukerman,"All right, I can give you two tickets, prepaid, but you must be there. There's no other way."
jimmy,"Mom, Dad. Allow me to accompany Ted. I can assure you, I'll be the level-headed sidekick to your angst ridden teen."
dad,"I think Ted should take someone older, more responsible."
mom,What about Charlie?  You boys could make it a little adventure.
ted,"Charlie, at a will reading? What did I do to deserve this?"
dad,I remember spring break of my senior year.  Seems like a lifetime ago.
ted,"Dad, please."
dad,Grandpa was so strong back then. Working from the crack of dawn. So proud of his peaches.
ted,Remember how you struggled through that whole facts of life talk and then found out I knew more than you?
dad,You're way ahead of me again?
ted, It was the year of the rhizopus rot. Grandpa almost lost the farm. You sacrificed your dream to go to the prize hog festival. And in the end you saved the peaches and you didn't have to slaughter your sow.
dad,The lesson being?
ted,Sometimes you have to do stuff you don't want to do. It's all part of growing up. And it usually works out peachy in the end.
dad,I'm getting so good at this.
ted,You guys are my parents.
dad,Of course we are.
ted,They didn't want me when I was born. Why should I care...
dad,Son.
ted,"Well, why should I?"
dad,"They had a rough life. Your father was a bouncer. Your mother was, well, a two-bit stripper. There was no place for a baby."
ted,I guess.
dad,They did do one great thing. They gave us our boy.
ted,Yeah.
dad,Be a sport. How bad could spring break in Los Angeles be?
ted,I guess we could go to Disneyland or something.
dad,Think of it as a rite of passage to manhood.
ted,"Like one of those ""National Geographic"" specials with the topless chicks?"
dad,Whatever helps you cope.
ted,I guess it's better than having tribal patterns carved in my face.
dad,"There ya go. Always remember, focus on the peach..."
ted,...not the pit.
dad,Always one step ahead of your dear old dad.
charlie,I wonder if this is what it feels like to be born?
