Speaker,Dialogue
willow," ""WILLOW"""
druid,Is it a girl?
ethna,It is a girl.
druid,Show me its arm.
druid,It's true then.  I must tell Queen Bavmorda.
mother,"Ethna, please.  Help me.  They're going to kill my baby."
ethna,They'll kill you.
mother,Please save my baby.
ethna,Pretend this is the child.
mother,"Thank you, Ethna.  Thank you."
bavmorda,We will start the ritual at dusk. You're certain this is the one?
druid,It bears the markings.
bavmorda,I must see for myself!  Just as the omen foretold!
bavmorda,So.  You *were* the one.
mother,Yes.  But nothing you can do will stop the prophecy.
bavmorda,This child will have no power over me....
bavmorda, Where's the baby!
guard,The midwife!
bavmorda,Find that baby!  Use the dogs! Sorsha!
bavmorda,Kill her.
death dog,Bordak!
midwife,I don't have her!  No!  No!
ranon,Dada!  We found something in the river!
willow,I can't run off and play with you now.  I've got work to do.
willow,Back!  Don't go near it.  We don't know where it's been.  It could be diseased.
mims,It's a baby!
ranon,It's not a Nelwyn baby.
willow,"No, it's too big to be a Nelwyn baby.  It looks like a daikini..."
mims,"Ooh, it's so cute..."
willow,Mims!  Get back here!  It might bite you.
ranon,"Can't we keep it, Dada?"
willow,Absolutely not.
burglekutt,Ufgood!  Willow Ufgood!
willow,"Shhh, shhh!  It's the Prefect -- that's all I need.  Mims, Ranon, keep this thing hidden..."
kiaya,Mr. Burglekutt!  He hasn't done anything wrong!
burglekutt,Ufgood!  What do you think you're doing!  I tell the planting seeds in this village.
kiaya,"I told him we didn't steal it, Wil- low."
burglekutt,You haven't paid your debts.  Where did you get these seeds?
willow,"In the forest.  My family's been gathering them since last fall. There's no law against that, Bur- glekutt."
kiaya,Willow!  You left the children alone by the river??
burglekutt,"Too late, Ufgood.  You'll never get your planting done before the rains start.  You're gonna lose this land."
willow,"Absolutely, under no condition, is anyone in this family going to fall in love with that baby."
willow,"Kiaya!  We can't keep that baby. Mims, Ranon.  Hey!  I will not be ignored!"
willow,"This is bad.  If we're caught with that little daikini it'll be the end of us.  Careful, Ranon, I need that for the festival.  Kiaya, what are we going to do?"
kiaya,We're gonna give this baby a bath.
willow,Burglekutt's right.  There's not enough time to finish plowing. We'll lose everything and I'll end up working in the mines.
kiaya,"Willow, do you think we should take her to the Village Council?"
willow,"No, no!  They'll think it's a bad omen.  There'll be a flood or a drought or a plague and everybody'll blame me for it!"
ranon,Look.  What's that?
willow,I don't know.  This is trouble. I'll talk to the High Aldwin about it tomorrow at the Festival.
willow,"And now!  For our final amazing bit of magic, I will make an entire pig completely disappear!"
crowd,Aaww!  Booo!  Sssss!
willow,"Meegosh, I'm in trouble."
meegosh,"Hey, it wasn't that bad.  You need a better pig, that's all."
meegosh,Now Burglekutt's got you in the squeeze.  Soon you'll be down in the mines like me.
willow,Mining.  I hate closed-in spaces. That's the last thing I'd ever do.  I gotta get my crop planted.
meegosh,"You know I'll help you as much as I can, Willow."
mims,"Dada, can we get treacle candy? Can we, can we?  Please?"
willow," Meegosh, can you watch the chil- dren?  I gotta talk to the High Aldwin."
meegosh, The High Aldwin??  Why?
willow,Sir!  I have to talk to you.
