Speaker,Dialogue
girl,Hey!
girl,Do you think you could have parked any further from the entrance?
guy, There were still cars when I got here. I thought we were going to get an early start to stay ahead of the snow?
girl,What time is it?
guy,Quarter past three.
girl,I'm two hours late?! Shit. Sorry. You should've just left without me. That's what I would've done. Hurry up and pop the trunk so I can stow my shit.
guy,I'm kinda getting kicked out of my apartment. I didn't have time to find someplace new before exams.
girl,Why don't you just get the engine started and put the heat on? I can handle this.
guy,Sorry... it sticks.
guy,That's as far as it goes.   Sorry.
girl," ... Believe me, I tried, but I couldn't get a flight. It's my own fault for waiting `til the last minute..."
girl," What, are you kidding? I'm bored to tears... No, we're still on the highway... how should I know, all highways look exactly alike."
guy,You going to be on that thing the whole-
girl," Who do you think? Ride Board Guy. Okay, `bye."
guy," This isn't cool. If I have to drive, you have to talk to me."
girl,"What, I'm the in-flight entertainment?"
guy,That's how this ride-sharing thing works. Division of labor. We split everything fifty-fifty... Get it?
girl,"I've got news for you, I don't get much more entertaining than when I'm on the phone."
guy, This is turning out great.
girl,What's that mean?
guy,Forget it.
girl,"So you're from Wilmington, huh?"
guy,Yeah.
girl,Where'd you go to school?
guy, Um... Saint Vitus Academy.
girl,St. Vitus? You're making that up.
guy,You're acquainted with every school in the area?
girl,"Pretty much, yeah."
guy,Including all the Catholic ones? Because that's where I went. Saint Vitus Academy for Catholic Boys.
girl,"Okay, fine..."
guy,"We had a class together, you know."
girl,Huh?
guy,Intro to Modern Philosophy.
girl,"What? There were about a million people in that class. It was like Woodstock. Did you ever see so many Eastern religion types?  So, what's your major?"
guy,Eastern religions.
girl,No. Why?
guy,I don't know. I just assumed...
girl,Why would you assume anything about me? We just met.
guy, I don't know... I guess you just... look like a philosophy major.
girl,Try engineering.
guy,Nietzsche's theory of eternal recurrence.
girl,"Which is basically reincarnation, right?"
guy,"No, they're not really the same thing. Reincarnation is when you come back as something different and eternal recurrence is when you "
girl,"He died of syphilis, you know."
girl," Next gas station you see, do me a favor and pull over. I gotta pee."
guy,"Okay, I'll keep my eyes peeled."
girl," That phrase. `Keeping your eyes peeled.' It's kind of creepy, if you think about it."
guy,"Huh. Actually, yeah, it is sorta."
girl,They use a laser.
guy,"Well, yeah, they do... But there's definitely peeling involved too. I saw it on Discovery Health. If more people knew about the peeling part they might think twice before going under the knife."
girl,Laser.
guy,"Right, laser."
girl,I'm having corrective eye surgery over the break.
guy,Oh.
girl,It's okay. I'm not really worried.
guy,Why?
girl,I'm not worried?
guy,You're getting it done...
girl,Because I hate wearing glasses.
guy,But they look good on you.
girl,How do you know? I don't wear them outside my dorm.
guy,You sure? You never... to class or anything? Because I could swear I-
girl,Never.
guy,Huh. Weird. I wonder why I thought-
guy,I thought you had to pee?
girl,I didn't expect us to find a bathroom so soon. My nails aren't dry.
guy,Oh.
girl,"That's okay, they'll be dry in just a second."
guy,"Come on, I'm good at this..."
girl,You are not carrying me inside.
guy,Hold on.
girl,What are you doing?! Wait -
girl,Thanks.
guy,Sure.
girl,You can let me down now.
