Speaker,Dialogue
walter,I'm adjusting okay.
walter,Apartment's okay.
walter,It gives me headaches.
walter,Yeah.
rosen,Good. I'll talk to your physician about the headaches. Maybe he can change the prescription.
walter,The job's okay.
6.,CONTINUED:
rosen,"Do I take ""okay"" to mean you feel good about working there?"
walter,I said the job is okay.
rosen, Have you made any friends there?
walter,I'm not running for Mr. Popularity.
rosen, You seem a little hostile today.
walter,That was a joke.
rosen,"No need to call me doctor. I'm a therapist, not a psychiatrist."
walter,It's all the same.
rosen,"Walter, I'd like you to try something for me."
walter,What?
7.,CONTINUED: 
rosen,I'd like you to keep a journal.
walter,A diary?
rosen,That's right.
walter,No way.
rosen,Why not?
walter,Diaries have sent too many guys to prison.
rosen,I don't understand.
walter,Ev-i-dence.
rosen,Oh. It never crossed my mind.
walter,Of course.
rosen,It was just an idea.
walter,Bad idea.
rosen,I thought a journal would encourage you to reflect.
walter,Reflect.
rosen,That's right.
8.,CONTINUED: 
walter,You think reflection is good.
rosen,"It's very good, indeed."
walter,How's that?
rosen,"By reflection we can derive a deeper meaning from our experience in life. We gain greater understanding about ourselves that can lead to making better choices in our relationships, our careers, and our goals."
walter,You read that in a book.
rosen,Try it.
walter,No fucking way.
rosen,Then think about it.
walter,There a problem?
male pharmacist,problem?
walter,Can you read the prescription?
male pharmacist,Yes.
walter,Can you fill the prescription?
female pharmacist,Yes.
walter,"Then I suggest one of you move your ass, because if I don't get my medication I get extremely violent."
walter,Don't need to think fast to handle beer.
carlos,ook some talking to convince your super I was a relative.
walter,I told her all my relatives are good-looking.
carlos,"Jesus Christ, man, it's good to see you!"
walter,Seems like the whole world's gotten younger.
11.,CONTINUED:
carlos,You doing okay?
walter,Got a job at old Frank's place. His son runs it now.
carlos,"Oh man, that kid takes himself real serious."
walter,"Yeah, you still with Northland?"
carlos, Foreman now.
walter,No shit.
carlos,Five years.
walter,Beautiful. How's business?
carlos,"Booming. Lots of building going on. We can't keep up with all the work. In fact, I just hired a few new guys..."
12.,CONTINUED: 
walter,I just recommended you. You still had to prove yourself.
carlos,"Hey, is that a school?"
walter,K through sixth.
carlos,Living across the street from a grade school. Jesus.
walter,Something wrong with that?
carlos,I was just thinking of... the noise.
walter,I like the noise.
carlos,What?
walter,Law says I can't come within one hundred feet of where children congregate. I figure the distance from my window to the school is one hundred and twenty. Make a bet?
carlos,"No way, man, you'd rob me blind!"
13.,CONTINUED: 
walter," You find me a decent place for under three hundred a month in this town, and I'll happily move out of this crap neighborhood."
carlos,"I should go. Your sister worries, and when she worries she yells."
walter,How is she?
carlos,Annette? She's good... tense.
walter,When can I see her?
carlos,I'm working on it.
walter,Is it because of Anna?
carlos,I don't know. She won't talk about it.
walter, You're the only one in the family who still talks to me.
14.,CONTINUED: 
carlos,"I remember when they all referred to me as ""the little spic poor Annette married."" Except her brother. You treated me with respect. pause) Look, you paid your dues. Your slate is clean now."
walter,How old is Anna?
carlos,She'll be twelve next week. We're throwing a big party on Saturday. Wish I could ask you to come...
walter,Only if it's no closer than a hundred feet.
walter,"One hundred and ten, one hundred and eleven, one hundred and twelve..."
15.,CONTINUED:
16.,CONTINUED:
vicki,"GOD DAMN IT! PEDRO! WHAT THE FUCK DO YOU THINK YOU ARE DOING! HOW WOULD YOU FEEL IF SOME FUCKER DID THAT TO YOUR SISTER?! YOU WOULDN'T THINK IT SO FUNNY THEN, WOULD YOU?!"
walter,You okay?
vicki,What?
walter,Are you okay?
vicki," Yeah, I'm fucking fantastic."
17.,CONTINUED: Bob sits down across from Mary-Kay with a tray of food and a newspaper. He opens the paper and starts to read. M
bob,What did who do?
bob,"Mind your own business, Mary-Kay."
18.,CONTINUED:
vicki,Want a ride?
walter,I'm all right.
19.,CONTINUED:
vicki,It's fucking freezing out here.
vicki,There's something wrong with this picture.
walter,What picture?
vicki,I'm talking about you.
walter,Me?
vicki,"Yeah, you."
20.,CONTINUED:
walter,People without cars.
vicki,Very weird.
walter,"No weirder than a sharp, young, good-looking woman working in a lumberyard."
vicki,What's weird about that?
walter,Most women wouldn't choose it.
vicki,Guess I'm not like most women.
walter,I'm just quiet.
vicki,You don't hang out with the other guys.
walter,Neither do you.
vicki,They're all assholes.
21.,CONTINUED: 
walter,I thought you were a dyke.
vicki,What do you think?
vicki,Southern light.
walter,What?
vicki,Your windows face south. Northern light is the purest. But southern light is very good.
walter,I'll buy a plant.
vicki,"Y ou should buy several. I've got shitty light in my place, but my plants don't seem to mind. Light's important, but it's not everything."
22.,CONTINUED:
walter,Sorry.
vicki,Thanks.
walter,K through sixth.
vicki,Doesn't it get noisy?
walter,I like the noise.
vicki,My place faces a truck street. I've got cracks in every window from the shaking.
walter,You must hate it.
vicki,I go backpacking a lot. Lose myself in the wilderness for a week or two.
walter,What about bears?
vicki,What about them?
23.,CONTINUED: 
walter,They could eat you.
vicki," Yeah, they could."
walter,What?
vicki,You're damaged.
walter,Yeah?
vicki,I'm not easily shocked.
walter,I get that Vimpression.
vicki,So... what's your dark secret?
walter,Why do you want to know?
vicki,Don't you think I should know before we have sex?
24.,CONTINUED: 
walter,What?
vicki,Are you going to tell me your deep dark secret before we have sex?
walter,No.
vicki,Okay.
25.,CONTINUED:
walter,"So, you're not a dyke."
vicki,Not tonight.
walter,You're still here.
vicki,I didn't say I didn't enjoy it.
walter,Of course. Sorry. I'm such a fucking asshole.
vicki,No you're not.
26.,CONTINUED:
walter,Don't tell me I'm not a fucking asshole when I know I'm a fucking asshole!
vicki,What's the Wproblem?
walter,You think I have a problem?
vicki,Do you?
walter, It's been a while since...
vicki,Since you've had sex?
walter,Maybe later.
vicki,How about in the morning.
walter,The morning?
vicki,I thought I'd stay the night.
walter,What for?
27.,CONTINUED: 
vicki,"Well, Walter, this is going to sound off-the-wall, but I like to sleep with a man after we fuck."
walter,I suffer from insomnia.
vicki,Is that all?
walter,"When I do sleep, I sweat a lot. Usually I get nightmares and wake up screaming."
vicki, I sleep like a dead horse. Anything else?
osen,ow's the journal?
walter,I'm still thinking about it.
rosen,I wish you'd give it a try.
walter,It's okay.
rosen,"But you don't like coming here. Be honest, Walter."
29.,CONTINUED:
walter,Honest? No.
rosen,Good. That's an honest answer. And why don't you like coming here?
walter,Honest? Your cheery personality makes my skin itch.
rosen, Is it just my cheery personality that makes your skin itch?
walter,Forget it.
rosen,Maybe it's the way I look. Or the sound of my name.
walter,Rosen? I don't have a problem with that.
rosen,"Because if you did, I know a therapist named Ryan. I also know a therapist named Chung."
walter,I don't need someone else.
rosen,Fine.
walter,But for the last few weeks I've noticed someone else watching them.
irl,Sorry!
vicki,What?
vicki,Why's that?
32.,CONTINUED:
vicki," Yeah, Mary-Kay, I think I do. Thanks a bunch for the advice."
vicki,"Well, Mary, you're about as helpful as a broken sewer pipe. You do know what runs out of a sewer pipe, don't you?"
vicki,Hey.
vicki,"Hey, there."
walter, Hi.
vicki,What happened to you?
34.,CONTINUED:
walter,Why do you want to know?
vicki,Because I like you.
walter,What's the worst thing you ever did?
vicki,The worst?
walter,Yeah.
vicki,Fucked my best friend's husband.
35.,CONTINUED: 
walter,I molested little girls.
vicki,Molested little girls?
walter,Yeah.
vicki,You're not joking.
walter,Twelve years in prison is no joke.
36.,CONTINUED: 
vicki,How many girls did you molest?
walter,Obviously one too many. 
vicki,What did you do to them?
walter, It's not what you think.
vicki,How young?
walter,Between ten and twelve. Once a nine- year-old told me she was eleven. Once a fourteen-year-old told me she was twelve. I always asked how old they were. V
vicki,So it was mostly fondling? Shit like that?
walter,I never hurt them. Never.
vicki,Twelve years in prison?
37.,CONTINUED: 
walter,"The judge had a thing about sex offenders. Later I heard his daughter had been raped. If I hadn't had a good lawyer, it would have been twenty-five to thirty."
vicki,I told you I'm not easily shocked.
walter,You should be shocked. Or do you get off on this shit?
vicki,What?
walter,Get your kicks somewhere else.
vicki,"Hey, I'm not --"
walter,Depraved? My mistake.
vicki,Walter.
walter,Get the fuck out of here!
vicki,"You don't molest little girls anymore, do you?"
38.,CONTINUED: 
walter,No. Never again. V
walter,What are you doing?
carlos,his little table is one heavy bitch.
walter,herry.
carlos,Huh?
walter,It's made from cherry. That's a hard wood.
carlos,It's a nice table.
walter,Notice the grain. See how deep and rich the red runs?
carlos,Yeah. It's really nice.
walter,It's my own design. You won't find another table like it in the world.
carlos,It was a beautiful present. W
walter,Then why the fuck are you giving it back to me?!
carlos, You need a table.
40.,CONTINUED:
walter,"he was going to throw it out, wasn't she? Just toss it like a scrap of wood."
carlos,It wasn't like that.
walter,Then what? What?!
carlos,"he's got all this new furniture now. She said it didn't fit anymore, so I kept it in the attic. I thought you might like it."
walter,"I made that table for you and Annette, for your wedding. I put a lot of love into it."
carlos,"I know, man. I love this table too.  But I also love my wife."
walter,Mariners are pounding the shit out of the Tigers.
carlos,Fucking Mariners.
41.,CONTINUED: 
walter,Fucking Tigers. They got no pitching except for a bunch of green kids straight out of Double A or Southern Cal.  How was the party?
carlos,What party?
walter,The birthday party.
carlos,"Oh,   Anna's. It was great, man. Anna was   so pretty. getting excited) She   looked like a princess, like one   of those girls in a fairy tale, you   know, like Snow White."
walter,No thanks.
carlos,"Ah, come on."
walter, I don't want to see any goddamn pictures.
carlos,They're just photos I took of the party.
42.,CONTINUED: 
walter,Carlos.  I want to see my sister and Anna in person. Okay?
carlos,"Yeah, man, I understand."
rosen,How do you feel about that?
walter,I don't feel anything. R
osen,You have no feelings for your niece?
walter,She was born after they put me away. How can I have feelings?
rosen,Then why are you talking about this?
walter,Have to talk about something.
rosen,What are you afraid will happen?
43.,CONTINUED:
walter,"I'm not afraid. I'm just saying that Carlos has a thing for his daughter, and if he isn't careful he's going to suffer."
rosen,Have you talked to Carlos about your concerns?
walter,I'm not that crazy.
rosen,Do you think you're crazy?
walter,"If I'm not, then what the hell am I doing here?"
rosen,Why do you think you're here?
walter,You know why. It's part of the parole deal.
rosen,Is that what you are angry about?
walter,Talking to you is like riding on a merry-go-round.
rosen,"That is a marvelous image, Walter. Because by going in circles we find the things we missed the first time around."
walter,How long is this going to take?
44.,CONTINUED: 
rosen, We have a few more minutes.
walter,"I mean, when will I be normal."
rosen, We have a lot of work to do.
walter, Will I ever be normal?
rosen,I couldn't say.
walter,You couldn't say.
rosen,I'm afraid not.
walter,"Do you know what ""normal"" is? R"
osen,I suppose it's however society defines it.
walter,How do you define it?
rosen,I don't.
walter,Then how do you know if your patients are getting better?
rosen,They usually tell me.
walter,How do they know?
45.,CONTINUED: 
rosen,What is your idea of being normal?
walter, What is your idea of being a Jew?
rosen, Why don't we continue this on Thursday.
walter, I want to be normal!
rosen,Then go see a therapist who will tell you you're normal!
walter,"Fuck you, Rosen!"
rosen,I know --
walter,You don't know!
rosen,"I know you're frustrated, Walter, but --"
46.,CONTINUED:
47.,CONTINUED:
walter,Fine thanks.
walter,Excuse me. Got another load coming in.
48.,"CONTINUED: She prunes dead leaves from one of them, then pauses looking at the leaves in her hands."
vicki,"Don't die on me, you little shit."
vicki,You want to go for a ride?
vicki,What was prison like?
49.,CONTINUED:
walter, Y ou don't really --
vicki,Yes! I want to know.
walter,Prison is... time.
vicki,You mean the time you're locked away?
walter,"No. Prison is time. That's it. You think time, you feel time, you hear time. Your heart doesn't beat to live, it just beats... time."
vicki,"I'm sorry, Walter."
walter, Don't be sorry for me. I did those things. No one else did. I'm dealing with that.
vicki,"My father took me fishing here when I was a kid. He could name every fish in the lake. And for every fish he named, he had a fishing story. I hated fishing, but I loved his stories."
walter,Sounds like a special guy.
50.,CONTINUED: 
vicki,My father was an alcoholic who drank himself right into the grave.
walter,I've changed.
vicki,"Why young girls, Walter?"
walter, Their power. They seduce me.
vicki,They seduce you?
walter,I was always the one seduced.
vicki,You really believe that?
walter, No. That's what I used to tell myself.   V
vicki,And what do you tell yourself now?
51.,CONTINUED: 
walter,Nothing. It's over.
vicki,Bullshit.
walter,Okay. Then take me home.
vicki,I want you to change my mind!
walter,I had this plan once... or maybe it was a dream. I was going to quit the building business... open my own shop. Make and design fine country furniture. I had saved enough money. I found the perfect place. Cheap five-year-lease. The loan was in the bag. My wife was a hundred percent behind it. Everything was set... Then I got in trouble.  Do you know what the worst kind of trouble is?
52.,CONTINUED: 
walter,"gently) You know, this is crazy."
vicki,What?
walter,"Being here, with me."
53.,CONTINUED:
vicki,I know.
walter, Most people say the odds are against me.
vicki,What odds?
walter,The percentages --
vicki,"Well, most people are stupid. pause) You want to talk about odds? One day I'll tell you how I survived as the youngest in a family of three sons. You wanna talk about odds?"
walter,Why not tell me now?
vicki,I got poked around... here and there.
walter,Which brother did this?
vicki,All three -- in chronological order.
54.,CONTINUED: 
walter,You must hate your brothers.
vicki,I love my brothers.
walter,No you don't.
vicki,"I love all of them. They're strong, gentle men with families of their own. And if you asked them about what they did to me, they'd call you a fucking liar and then beat the shit out of you."
walter,You never asked them about it?
vicki, Are you serious?
walter,Not ever?
vicki,Not ever. V
55.,CONTINUED:
lucas,"Hiya, Walter."
walter,Cop.
man,Sergeant Lucas.  May I come in?
walter,You are in.
lucas,So I am. But I always like to ask.
walter,What's up?
lucas,Have a seat.
walter,I have no idea.
lucas,I think you do.
walter,Why don't you just tell me?
56.,CONTINUED: 
lucas,Then you won't mind if I look around.
walter,I would.
lucas,Got something to hide?
walter,Doesn't everybody?
lucas,I could get a search warrant.
walter,"If you could, you would have brought one today."
lucas,Cherry?
walter,Yeah.
lucas,Unusual design for a contemporary piece.
walter,It's not for sale.
lucas,Who said I wanted to buy it?
57.,"LUCAS Seems there's been a number of attacks on young girls in the vicinity. Kind of a coincidence, wouldn't you say? W"
walter,If you tell me when this happened --
lucas,Move your fucking hands away from your pockets!
walter,You can't talk to me like --
58.,"LUCAS I could say you jumped when I came in. Who are they going to believe? Not you, because you'd be a dead piece of shit."
walter, Okay.
59.,CONTINUED:
60.,CONTINUED:
walter,"No, I'm --"
walter,I don't know.
rosen,What did you think would happen?
walter,I don't know.
rosen,What did you want to happen? W
walter,I don't know!
61.,CONTINUED:
rosen,Is this the first one?
walter,Of course it is! That's why I'm telling you!
rosen,I want you to calm down.
walter,I want to talk about it now.
62.,CONTINUED: 
rosen,We'll talk about it more on Thursday.
walter,"Remember when you asked me what my idea of ""normal"" was? R"
osen," Go home, Walter."
walter,"Now I know. It's when I can see a girl, be near a girl, even talk to a girl... and walk away.  That's my idea of being normal."
walter,Maybe this isn't a good idea.
vicki,What?
walter, Us seeing each other.
63.,CONTINUED:
vicki,You're scared.
walter,I'm not scared. V
vicki,Neither am I.
walter,Maybe you should be.
vicki,"Well, Walter, I got an idea of my own."
walter, Live together.
vicki,Move in with me.
walter,It's a bad idea.
vicki,I think it's a fucking good idea.
64.,CONTINUED: 
walter,I don't even know how to live with myself.
vicki,Just think about it.
walter,I've got problems.
vicki,Who doesn't?
walter,Most people don't have my kind of problems.
vicki,Guess that makes you pretty special.
walter,That's not what I meant.
vicki,Fine. V
walter,hat's this?
vicki,What's it look like?
walter,I don't need a plant.
vicki,Everyone needs a plant. This ivy is one tough baby. It's a cutting from one of mine.
walter,Thank you.
vicki,You're such an asshole.
66.,CONTINUED:
walter, I'm not scared.
vicki,Prove it.
walter,Hey.
walter,"Fine thanks. How are you, Mary-Kay?"
walter, I got plans.
68.,CONTINUED:
osen,You're very late.
walter,Sorry.
rosen,Please don't do it again.
walter,I said I was sorry.
rosen,I can't move my patients around to accommodate one person.
69.,CONTINUED:
walter,You mean my problem?
rosen,"If by ""problem"" you mean your desire for prepubescent girls, yes."
walter,I don't know.
rosen,That's not a helpful answer.
walter,That's my answer.
rosen,lose your eyes.
walter,What?
rosen,I'd like you to close your eyes.
walter,Why?
rosen,To relax.
walter, I'm relaxed.
rosen,Close your eyes and let your mind be blank.
walter,"Hey, Rosen, you going to hypnotize me?"
70.,CONTINUED: 
rosen,"No, I am not going to --"
walter," Okay. Eyes closed, mind a blank. I'm all yours. Do it, Rosen."
rosen,"When I say the word ""girl"" what is the earliest image that you can remember?"
walter,Nothing. Can I open my eyes?
rosen,"No. When I say the word ""pretty,"" when I say the word ""pleasure,"" what is the earliest memory you see?"
walter,I don't see --
rosen,"In your mind, Walter. Take your time."
walter, I see my sister.
rosen,Where is she? What is she doing? ow old --
71.,CONTINUED: 
walter, Not so fast.
rosen,Sorry.  Where is she?
walter,"In my bedroom, sleeping."
rosen,Where?
walter,"In my bed, Rosen. Where do you think?"
rosen,Where are you?
walter,In my bed too.
rosen,How old are you and your sister?
walter,We're little kids.
rosen,"But roughly, how old?"
walter,I'm maybe about six... which would make her four.
rosen,And what are you doing?
72.,CONTINUED: 
walter,Just lying there.  We're taking a nap.
rosen,A nap?
walter,"Yes, a nap. Kids do that. You ever take a nap, Rosen?"
rosen,Did you and your sister often take naps together?
walter, I want you back in your chair! Right now!
rosen,All right.
walter,I don't like nobody behind my back!
rosen,I'm sorry. I shouldn't have been there.
