Speaker,Dialogue
the woman, I'm so hungry.
the man," Yeah. Me, too. The DRUMS get hotter as he closes his eyes and leans in to kiss her, but she turns and walks away."
woman,What should we eat?
the man,"Oh, you actually meant you were hungry. I thought-- forget it."
the woman,"Mmmm, these are so good."
the man,"Mmrrunm, they really are . When she turns away he spits them out in disgust. Maya smiles and puts her face very close to his, their lips almost touching."
maya, You know what I'd really like?
maya,Some fruit.
zed,"(frustrated, but hanging"
zed,"Orange? Tangerine?  Umm, mango? Kiwi? Peach? She shakes her head coyly. He starts darting from tree to tree, hopefully pointing out various options. She follows him."
zed," Okay, don't tell me-- papaya? Pomegranate? Lemon? Lime? Kumquat? Uh, cock? Cockfruit?"
zed,Watermelon? Honeydew? Grapes?
zed," Starfruit, casaba-- tangelo?"
maya,Nope.
zed,(he doesn't even like her
maya,Why not?
zed,Because that's the fruit we don't eat! It's forbidden.
maya,Why not?
zed,Because we don't! It's a rule! That's the Tree of the Knowledge of Good and Evil. You don't eat from that one. Nobody ever has.
maya,Why not?
zed,Stop saying why not! I told you-- it's a rule.
maya,So do you always follow the rules?
zed,"No-- yeah-- I don't know. We don't have that many rules. In fact, we only have one rule-- DON'T EAT THAT"
maya,"Okay, fine. We won't. Forget I mentioned it. I understand if you're afraid--"
zed,"I'm not ""afraid""--"
maya,"No, really, it's all right. I just thought you might be curious why we can eat everything else that walks, crawls, swims, flies, or grows in the ground, but not that particular fruit. And I thought you might be the kind of man who's willing to take a chance and start thinking for himself, but I guess I was wrong. She glares defiantly at Zed, then starts to walk away. It's not Paradise anymore. Then like every man that ever lived and will ever live, he caves."
zed,"Okay! Fine! You want to try the Good and Evil fruit, you got it. He rips two ripe fruits from a low-hanging bough and hands her one. They both stare at the fruit."
maya,You first.
zed,No way! It was your idea. You go first.
maya,We both bite at the same time. Zed considers for a long moment then decides.
zed,"Okay. Ready? One-- two-- three! Zed chomps down hard and takes a big bite, but Maya fakes him out and stops before her teeth break the skin. ZED                                                              Yuchh! That's horrible. Yecch, ptui! Ughh. He frantically wipes the inside of his mouth with his fingers, trying to get the terrible taste out."
maya,So you're saying it's not good?
zed,"Yes! I'm saying it's not good! He grabs his belly as his stomach starts to cramp. Then a loud bowel sound and his eyebrows shoot up. ZED                                                              Oh, no--"
6.,Official White He runs for the bushes. Maya's attention gets diverted.
maya," Ooh, banana!"
marlak, For you.
maya," Thank you, Marlak."
zed, Do me a favor. Just kill me.
oh,Why did you eat that fruit? It's forbidden. Everybody knows that.
zed,"I couldn't help myself! Maya was just staring at me with those pouty eyes-- and those perky breasts-- opposable thumbs. And how about the name? ""The Tree of the Knowledge of Good and Evil""? You don't think that sounds tempting? They should've just called it ""The Tree with the Fruit that Tastes Like Shit."" Then for sure nobody would eat it. Zed notices a VILLAGER squatting in the bushes right behind his dwelling. ZED                                                              Why does everyone have to crap right behind my hut?"
oh,"I think, and I could be wrong, that all the poop makes the ground more fertile, which in turn, gives the leaves in the area a softer feel. It's a vicious circle. Oh notices a very pretty young woman, EEMA, standing near the communal fire with TWO HUNTERS. His heart leaps. OH                                                               Hi, Eema! Eema turns, sees it's him and gives him a perfunctory wave, then turns back to the hunters and says something about Oh that makes them laugh."
zed,"I don't see it. I mean she's cute, but I don't think I'd lay with her."
oh,Of course not! She's your sister! It'd be like sleeping with your mother.
zed,"which was a big mistake. I see that now. You think it won't be awkward the next morning but-- trust me, you just want to rip your eyeballs out.  Listen, if you want to impress Eema, tonight at the feast, do the fertility dance with her, then drag her back to your hut."
oh,My hut's a mess. And what if she struggles?
zed,So you give her a little tap on the head. Women respond to that--
zed,"I wouldn't read too much into that. She kisses, then tongues the spear tip. ZED                                                             Okay, that might mean something. The hunter Marlak walks by and stops. He's clearly half a rung lower on the human evolutionary scale."
marlak,You didn't hunt today.
zed,"Yes, Marlak. Very observant. I was indisposed. Got that intestinal thing that's been going around. Marlak grunts and examines the primitive line drawings on the walls of Zed's hut."
marlak, What's that supposed to be?
zed,It's a bear.
marlak,That's not a bear. That's just some lines on a skin.
marlak,That's stupid.
zed,Yeah. Like you'd know.
marlak,"And what's that? He picks up a skin with another of Zed's drawings on it, this one of a big-breasted naked girl. Zed quickly grabs it and holds it upside down."
zed,That-- would be an antelope-- or a deer-- a deerpalope.
marlak, It looks like Maya.
zed, How could it be Maya? It's just some lines on a skin.
marlak,Stay away from my woman.
zed,"Your woman? I'm not sure dragging her into the bushes kicking and screaming means you have an actual ""thing"" going. Marlak cuffs him hard on the side of the head."
marlak, Stay away.
zed," Hey! Nice supra-orbital ridge, fartface!"
zed,"Hey, Oh? Did it ever occur to you that there may be more to life than this?"
oh," Okay, I think somebody's had enough."
zed,"No,                                                            I'm serious.We're born into thisworld, we hunt, we gather, we eat,we sleep, we make babies--"
oh,You make babies--
zed,--but why? What's the point?
oh,"You always get like this when you smoke. Oh takes a big toke on the pipe, chokes, and starts coughing uncontrollably."
zed,"No. Last night I couldn't sleep, so I just laid there looking up at the sky, counting the stars. There were over seventy. Kinda makes you think, doesn't it?"
oh, No.
zed,Really? I've been thinking about it ever since I ate that fruit. Don't you ever wonder what's on the other side of the mountains?
oh,There's nothing on the other side of the mountains. Everybody knows that. The world just ends. You'd fall right off the edge. 
zed,But what if it doesn't? What if it just goes on and on forever? Or what if it's round? (he picks up a round
zed, Sorry!
oh,"(tries to cheer him up Will you stop with that crazy talk? We're at a feast. You love feasts. There's women, there's boar meat, there's an assortment of berries-- there's women-- Oh looks over at Eema. Zed picks up on it."
zed,"Do it, man! Go dance for her."
oh,You think? They're playing the Jackal Dance. I don't do that one so well.
zed,"Are you kidding? Go! Jackal Dance! Oh summons his courage, gets up and crosses to where the girls are sitting. Zed makes subtle eye contact with Maya, waggles his eyebrows and licks his lips. She laughs and looks away. Oh starts dancing timidly right in front of Eema, subtly jerking his pelvis, trying to be cool. Eema just stares at him for a moment, then goes back to talking to her friends. Oh looks over at Zed for help. Zed mimes clonking her on the head. Oh picks up a wooden club and hits Eema right on the noggin. However, instead of submitting, she gets really pissed, stands up and decks him with one punch."
zed,"Excuse me, hunter coming through."
villagers,"Hey! Wait your turn! There's a line here, buddy!"
zed,"For your information I was in line and I just stepped out to chew some food for an elderly lady. Suddenly a SPEAR is thrust inches from his face, stopping him. It's Marlak, who towers over Zed. His cohort, ENMEBARAGESI, short and stout, stands beside him."
marlak,Enmebaragesi said he saw you in the garden with Maya.
zed,"Oh, really? And what if I called Enmebaragesi a liar?"
enmebaragesi,I'd kill you.
zed,"Calm down. I said ""what                                     if""-- it was a hypothetical. Marlak gets right in Zed's face."
marlak,"Enmebaragesi doesn't lie. Villagers gather around them, Maya and Eema among them. Marlak puts his spear point to Zed's throat. MARLAK  The truth!"
maya,"Zed, just admit it. You're just making it harder on yourself."
zed," Okay, fine, you got me. (gingerly moves the spear"
zed,Isn't that what we're talking about? Maya rolls her eyes.
enmebaragesi,"No, I saw you eat the Forbidden Fruit."
zed,"Oh, that! Yeah! I did eat the fruit. I was just kidding about humping Maya. Marlak knocks Zed to the ground. The DRUMMING stops. Oh comes running over and gets between Marlak and Zed."
zed,"Look, Marlak, this is crazy. You're two of me. I'm not gonna fight you over a girl, okay? Zed starts to walk away but quickly pivots and throws a WILD HAYMAKER at Marlak who easily ducks it, and it hits an unsuspecting Enmebaragesi squarely in the nose. Zed                                                             And let that be a lesson to your big friend- Marlak grabs Zed, lands two solid punches to Zed's mid- section, and then clocks him with a vicious right that sends him sprawling to the ground."
marlak," Your father was a great hunter, but you're like-- a girl. The hunters laugh."
enmebaragesi,"Good one, Marlak."
another hunter,Zing.
marlak,Now I kill you. He's about to spear Zed when suddenly the Shaman screams and jumps between them. The villagers step back as the Shaman howls an incantation and shakes his magic rattle at Zed.
shaman, We need to talk.
shaman,You really ate the fruit?
zed,One bite! What's the big deal?
shaman,(halfheartedly shakes a chicken-foot rattle at
zed,I've always had trouble with the Great Turtle Theory-- too many unexplained gaps.
shaman,Whatever. You're screwed now.
zed,Really? How screwed? Like I knew it was a rule but I'm a little fuzzy on the exact details.
shaman,"You're cursed, man, and if you stay here then we'll all be cursed. You have to leave."
zed,Where am I supposed to go?
shaman,Up to you. From now on you're completely on your own.
official white              17.,"ZED                                                              Okay, is that supposed to be funny? He stands up and we see that the whole tribe is standing around them in a wide circle. Marlak bangs his spear on the edge of his animal-hide shield, starting a rhythmical beat. The other hunters join in, keeping the beat, staring at Zed with lethal intent"
shaman, And some of the guys got together and they want you to have this bow. He hands him a strong hunter's bow.
zed,"I don't want to seem ungrateful or anything, but you wouldn't happen to have any arrows, would you? An arrow zips in and sticks in the post next to his head."
shaman," You'd better get moving. Zed looks around at his fellow villagers, trying to summon what dignity he has left."
zed,"Yes, or gatherer-- but there's got to be more to life than this-- "
marlak, Now you die. Marlak throws his spear and misses as Zed takes off running into the forest with the hunters right behind him and the whole village ablaze.
marlak,I see you.
zed," No, you don't."
marlak,"Yes, I do."
zed,How can you see me if I'm not here?
marlak,You're trying to trick me.
zed,"Okay, then tell me this-- who's standing right behind you?"
marlak," I'm going to gut you like a pig. He is about to plunge his knife into Zed when suddenly he is struck from behind by a heavy tree branch. He falls heavily, knocked senseless by Oh who is standing over him with the makeshift club. Zed sits up and smiles gratefully at Oh."
oh,I guess I'm with you.
