Speaker,Dialogue
cut to:,He pulls open the drawer again - the pornography collection.
nick's pov,"of the room shaking, accompanied by his heavy breathing. His eyes float from the Hustler to the pink walls of his room."
estelle,Jerry? Where did that car come from? Jerry looks over his shoulder and they all take a moment to appreciate the slab-sided Lincoln in the drive.
jerry,It's a '62 Lincoln convertible. Like the one Kennedy was shot in.
nick,Except his was black and yours is white. And dirty.
jerry,See that. I was going to take you and your mom for a spin after breakfast. But now I guess it'll just be her and me. You have your smart mouth to thank for that.
nick,Damn it. I guess I'll just have to hang out all alone at the book depository.
jerry,The what?
estelle,"Jerry, I don't understand. What happened to the Chevy-Nova?"
jerry,"Sold it to a sailor on the Alameda Naval Air Base. A man should never own a car for more than three months, Estelle. That way he always gets the thrill of owning a new automobile! Jerry smiles with cretin pride. Nick looks to his mother and disturbingly enough, she seems turned on by his car-owner savvy."
nick,He just left. What's up?
nick,"Well, I think he used that nine hundred dollars to buy his Lincoln. He's giving my mom a joyride in it now. But he'll be back this afternoon, so I would come back then. He's pretty stubborn. You might have to beat it out of him."
nick,"I like it. Very to the point. Well... See you guys this afternoon! The sailors nod, somewhat perplexed by this kid's demeanor. As they turn to go and Nick closes the door..."
lefty,My sister said she saw Millie Filbert holding hands with some college guy.
nick,"I dunno, Lefty. I think your sister is just waging psychological warfare."
lefty,"Well it's working. What am I gonna do, Nick? I'm obsessed. I think about Millie so much my balls ache."
nick,"Maybe your just not wacking off enough. As if in response, Lefty passes the binoculars off to Nick and then turns over onto his back and unzips his pants. As Lefty jerks it, Nick looks with nonchalance..."
nick,Why don't you just have your parents take you to the dick doctor?
nick,"Still, you might want to get it fixed before asking Millie out."
jerry,"Nick, you little shit, get down here! Jerry hollers from the kitchen where Estelle gapes out the window. Nick calmly joins them from upstairs."
estelle,"Nick, do you know anything about this? She points out the window and they all take in the Chevy and the sailors' oh-so-subtle note on the hood."
nick,"Oh, yeah. Those sailors came by. They want their money back. I guess there was a banana in the transmission."
jerry,You tell them when I was coming back?
nick,Now why would I do that? Jerry seeths inwardly at Nick's mock innocence.
estelle,"What are you going to do, Jerry?"
jerry,I think I'll go get the Lincoln washed.
estelle,You're leaving? What happens when the sailor comes back for his nine- hundred dollars?
jerry,Just tell him he bought the car with my standard guarantee. Thirty days or thirty feet. Whichever comes first. I'm in the right. And on cue comes the ring of the doorbell and the simultaneous pounding of angry Navy fists on the back door. They peer out the window and find the fleet on the front steps.
nick,"Oh, look. The sailors are here. Jerry first starts to dart one way and then another, searching for a hiding space as he hisses."
jerry,Get rid of them! And then the front door gets kicked open and a mob of sailors pour in. Jerry flees. A HANDHELD CAM chase as he heads for the back and is cut off by the sailors coming in. Jerry bolts up the stairs.
nick,"Jerry, where are you going? Just tell them you are in the right."
jerry,That's my life savings! One of the sailors pokes Jerry in the gut hard and he whimpers.
estelle,"Don't hurt him! Nick, call 911!"
jerry,"Please. Please don't hurt me. It's all I got, guys. I swear. Take the Lincoln!"
nick,"Eight hundred and thirty seven, actually."
jerry,"Wow, those guys are even dumber than I thought. They actually think I'm stupid enough to let them muscle me into paying."
estelle,"Jerry, what are you talking about? We need to call the police!"
jerry,I'm not some tattle-tale like your son. Nick rolls his eyes.
estelle,"Then for God's sake, Jerry, just sell the Lincoln and pay them!"
jerry,Can't. It's in The Code.
estelle,What code? The vehicular code?
jerry,"Code of the streets, Babe. Code of the streets."
estelle,Then what are you planning to do? Jerry takes a seat at the kitchen table and adopts The Thinker pose. He strokes his chin as Nick and Estelle await his brilliant solution with breathless anticipation.
estelle,"Goodbye, everyone! We're going on vacation!"
jerry,Let's blow!
estelle,"Jerry...? You said it was a cabin. In the back, Nick removes his sunglasses to regard the long, green, turd of a trailer. Some concrete dwarves in the grass. A dusty canvas awning over a small cement patio. A decrepit picket fence with a sign that reads: MY GREEN HAVEN. Estelle looks as if she's about to cry. Jerry puts his arm around her."
jerry,C'mon Estelle. It's real cute on the inside.
jerry,I say the kid does the dishes and we retire to the master bedroom. Jerry pushes out and disappears into the back. Nick watches him with loathing. Estelle smiles apologetically.
nick,Mom? Do you really like Jerry? Her smile fades.
estelle,"Nick, how   many men do you think there are   who'd be interested in a forty-one   year old woman with two brats, no   money, and stretch marks? And with that she excuses herself, leaving Nick to ponder.  NICK  It's your neighbor, Mrs. Saunders. Church services begin at seven fifteen prompt. Donuts will be served. Nick glances down at the morning wood elevating his boxers. Mrs. Saunders narrows her eyes at Nick through the screen door and takes off.  EXT. MY GREEN HAVEN - DAY  Nick steps out of the trailer in a bathrobe, toiletries in one hand, towel in the other. He heads off down the wooded path.  EXT. WOODS - DAY  The serene melodies of rousing HYMNS float from the well- attended congregation in the meeting hall. WE TRACK across the trees as Nick makes his way down the path. He slows to observe the sun coming through the canopy overhead. He glances off the path and comes to a sudden stop. A grape arbor flanked by Corinthian columns set against the blue of Clear Lake. A chestnut haired SHEENI SAUNDERS stands facing the water, her head tilted down to read the book in her hands. The wind coming off the lake blows her dress just enough to give a hint of the shapely thighs underneath."
sheeni,"Your robe is open. Nick looks down. He pulls the robe closed, scowls, and goes into a flustered march down the path."
sheeni,"Hel-lo, Excitable Boy."
estelle,"Nick, honey, meet Sheeni Saunders."
nick,Hello.
estelle,Sheeni needs to go to the grocery store. I've offered her your help in carrying her bags. Nick regards Sheeni and her mischievous smirk.
nick,Thanks a pantsful.
nick,You don't have to go to services?
sheeni,"No. Much to the consternation of my fanatical parents I have converted to atheism. Fortunately my brother, Paul, paved the way for such transgressions."
nick,Paul is an atheist too?
sheeni,"Buddhist, I believe, though we have not seen him in some time. I myself am looking forward to being free of parental bondage."
nick,Likewise.
sheeni,"Well, your mother seems very nice, though your father I think might be rather dim."
nick,Jerry and I share no blood links of any kind. As they pass the meeting hall there comes a surge of HYMNS in chorus.
nick,Sounds rather zealous.
sheeni,"Yes, even though I am no longer a believer I always found the services wonderfully aerobic."
nick,You could say the same thing about sex. Sheeni stops. She looks at Nick intently.
sheeni,"Nick, are you going to turn out like all the other young men and have nothing on your mind except carnal pleasures?"
nick,I hardly ever think about sex.
sheeni,"Really? I think about it all the time. It's the hormones at work, you know. She resumes walking. Nick follows her with confusion."
nick,Wow. A second floor.
sheeni,"Yes. Father bought it so that he could look down upon the world. For him, Christian humility has always been a struggle. Sheeni relieves him of the watermelon."
sheeni,"Well, it was nice to meet you, Nick. She trudges down the slate path to the home."
nick,Sheeni? Do you want to come to the beach with me? She turns around. Gives a little smirk.
sheeni,"What a thoughtful invitation. I'd love to, Nick. Wait for me in the living room."
sheeni,Back in a moment.
nick,"Er, yes, Mr. Saunders."
sheeni,"Let's go, Nick. Bye, Father."
sheeni,Would you mind applying this to my exposed areas?
nick,Not at all.
sheeni,"My, you get turned on easily. Nick's hands freeze."
sheeni,"Oh, don't stop, Nick. We all have our hormones to deal with. Girls are fortunate in that it doesn't show. For all the world knows, my vagina could be moist with desire as we speak."
nick,Is it?
sheeni,"That's none of your business, I'm sure. Shall you do my front too?"
nick,"I'm up for it. She rolls over onto her back, her young breasts straining up against the yellow spandex."
sheeni,"I hope you don't find it too stimulating, Nick."
nick,"I'm coping. He starts in on her flawless legs, gliding on the oil all the way within a finger's reach of her sweet apex. With each daring pass, he comes closer to that final split. Finally the hand swerves too late, and lightly grazes the softly yielding vee."
sheeni,"Uh, Nick. Maybe you better do the top now. Nick moves up, lubricating her arms, shoulders and neck. He smooths the oil on the soft undulating foothills."
sheeni,"Thanks, Nick."
sheeni,"Breathless is one of my favorite films, though it might be eclipsed by Rebel Without a Cause. I often wonder what American cinema would be like today had Dean done more than three. Nick nods, and for a beat they trek on in silence. He glances down at her hand and fumbles for it with his own."
sheeni,"Oh, Nick. You seem very nice. But in fairness, I should tell you that I have a boyfriend. Nick becomes sickeningly pale."
nick,What's his name?
sheeni,Trent Preston.
nick,What's he like?
sheeni,"Seventeen years of age, six-two, fluent in French, plays the piano, a champion swimmer, and writes Futurist Percussive poetry. They stop at the gate to the Saunders' home."
nick,I'm not familiar with Futurist Percussive poems.
sheeni,I could recite one of Trent's if you'd like.
nick,Please do. She takes a dramatic pause.
sheeni,"RamDam 12/ Sizzle mop/ Crunch down/ Safety net/ Hot! Hot! Hot!/ Void. She gives a slightly amused smile at Nick's blank expression.  NICK  3 AM. I decide I am too chicken for any of the manly, violent means of suicide. I shall swallow sleeping pills. Where to get them, though?"
nick,Good morning!
sheeni,Nick? God what time is it?
nick,Seven o'clock. How about breakfast?
sheeni, Come back in two hours. I'm going on a hike. You can join me if you'd like. She closes the door.
