Speaker,Dialogue
luke,Are you all right?
alexa,I'm sorry.     I'm from Utah.
luke,It's okay.
alexa,Are you alone out here?
luke,"Oh, wow.    I'm really sorry."
luke,"Uh, what is it?"
alexa,Pastry.
alexa,"So, this ""Survival Quest"" is your vacation?"
luke,"Yeah. It's my third try.     Kind a' lame, huh?"
alexa,No. Seven days alone in the wilderness?   I'd be afraid.
luke,It's just something I really wanted to do.
alexa,His shoes. Fishing lures.        The electric drill.
luke,Good.
alexa,You're all wet and muddy. Why don't I hang those up to dry?
luke,Thanks.    I'm okay.
alexa,I'm propositioning you.
luke,"Oh... Oh, wow. You are?"
janine,It's remarkable. Sort of retro. I thought you were gettin' a pickup?
luke,I changed my mind.
keenan,It's awesome. It's pleather.
luke,Fuck you.    You think it's stupid.
janine,Oh my God. You got laid. Finally! Who is she?
keenan,I didn't say a word! I swear!     You know Janine. She's got X-ray vision.  Camping! A total stranger.
janine,"I knew that whole ""waitin' to meet the right girl"" thing was crap. Congratulations! I have to get to Physics. The truck's great."
keenan,"See ya', hottie."
janine,"Could find something to call me, other than what every guy in the world would say?"
keenan,"""Sweetheart?"" ""Babe?"" ""Aphrodite?"""
luke,"Look, I know it's dopey. But don't you recognize it? It's painted and the muffler's switched out, -but this was my dad's."
keenan,Ten years.     A little dried out.
luke,"First off, that woman. We didn't go all the way, you know?"
keenan,"Yeah?   Okay, so?"
luke,You think technically I'm still a virgin?
keenan,Were you inside her?
luke,Yeah.
keenan,It counts.     Next.   ...What?
luke,"I been havin' this weird dream. The thing is, I think maybe the dream's real. Forget it. No way I'm tellin' you."
keenan,You know enough of my secrets to get me shot. Sharon's mom on Thanksgiving? What the fuck dream is there you can't tell me?
luke,It's about part of me gettin' smaller. An important part.
keenan,You have gotta' be fuckin' kiddin' me. You're not thirteen!
luke,Screw you.     Maybe I caught something.
keenan,I think it's good you bought this truck.
max,"I can do the gasket for twenty bucks. But new T-sprocks, for this thing? Two, three hundred, maybe?"
luke,Shit.    Can I hold off on that?
max,"No skin off my ass. But a few days, weeks, your whole transmission could blow."
luke,"Ah, Jeez.     I shouldn't got this."
max,Four hundred seventy-five horsepower. Twenty-eight inch wheels. It's a classic. Let me dig around out back. Maybe we got a used set.
luke,That'd be great.   Thanks.
michelle,What's wrong with it?
luke,"Oh, just needs a new gasket and a couple T-sprocks. The flanges are sheared off.   No big deal."
