Speaker,Dialogue
story by,"Byron Howard, Rich Moore, Jared Bush, Jim Reardon, Josie Trinidad, Phil Johnston and Jennifer Lee"
young judy,"Blood, blood, blood!"
astronaut sheep,"Yeah, I don't have to cower in a herd anymore."
actuary jaguar,I don't have to be a lonely hunter any more.
actuary,Today I can hunt for tax exemptions. I'm gonna be an actuary!
young judy,And I can make the world a better place! I am going to be...
gideon grey,Bunny cop. That is the most stupidest thing I ever heard.
young judy,It may seem impossible to small minds--  I'm looking at you Gideon Grey.
stu hopps,"Judy, you ever wonder how your mom and me got to be so darn happy?"
young judy,Nope.
stu hopps,"Well, we gave up on our dreams and we settled, right Bon?"
bonnie hopps,"Oh yes, that's right, Stu. We settled hard."
stu hopps,"See, that's the beauty of complacency, Jude. If you don't try anything new, you'll never fail."
young judy,"I like trying, actually."
bonnie hopps,"What your father means, hon, is it's gonna be difficult-- impossible even-- for you to become a police officer."
stu hopps,Right. There's never been a bunny cop.
bonnie hopps,No.
stu hopps,Bunnies don't do that.
bonnie hopps,Never.
stu hopps,Never.
young judy,Oh. Then I guess I'll have to be the first one. Because I am gonna make the world...  A better place!
stu hopps,"OR... um, heck, you wanna talk about making the world a better place--"
bonnie hopps,"Yes! Your dad, me, your 275 brothers and sisters-- we're changing the world."
stu hopps,Yep.
bonnie hopps,One carrot at a time...
stu hopps,Amen to that. Carrot farming is a noble profession.
bonnie hopps,"You get it. I mean, it's great to have dreams."
stu hopps,"Yeah, just as long as you don't believe in em too much.  Where in the heck'd she go?"
gideon grey,"Gimme your tickets right now, or I'm gonna kick your meek little sheep butt."
sharla,"Ow! Cut it out, Gideon!"
gideon grey,"Baa-baa. What're ya gonna do, cry?"
gideon grey,"Nice costume, loser. What crazy world are you living in where you think a bunny could be a cop?"
young judy,Kindly return my friends' tickets.
gideon grey,"Come and get `em.... But watch out, `cause I'm a fox-- and like you said in your dumb little stage play, us predators used to eat prey. And that killer instinct's still in our Dunnahh."
gideon grey,"Don't tell me what I know, Travis."
young judy,"You don't scare me, Gideon."
gideon grey,You scared now?
gideon grey,"Cry little baby bunny. Cry, cry --"
sharla,"Are you okay, Judy?"
young judy,"Yeah... Yeah, I'm okay."
sharla,Wow! You got our tickets!
sharla,Yeah! That Gideon Grey doesn't know what he's talkin' `bout.
young judy,"Well, he was right about one thing..."
major friedkin,"Listen up Cadets! Zootopia has 12 unique ecosystems within its city limits-- Tundra Town, Sahara Square, Rainforest District, to name a few. You're gonna have to master all of them before you hit the streets-- or guess what?  You'll be dead!"
lionheart,"As Mayor of Zootopia, I am proud to announce that my Mammal Inclusion Initiative has produced its first police academy graduate."
bellwether,Oh! Yes right.
lionheart,Thank you.
bellwether,"Congratulations, Officer Hopps."
judy,I won't let you down. This has been my dream since I was a kid.
bellwether,"Ya know, it's a... It's a real proud day for us little guys."
lionheart,"Bellwether, make room will ya? Come on."
bonnie hopps,"We're real proud of you, Judy."
stu hopps,"Yeah. Scared, too."
bonnie hopps,Yes.
stu hopps,"Really, it's kind of a proud-scared combo. I mean, Zootopia. It's so far a away... It's such a big city."
judy,Guys-- I've been working for this my whole life.
bonnie hopps,"We know. And we're just a little excited for you, but terrified."
judy,The only thing we have to fear is fear itself.
stu hopps,"And also bears. We have bears to fear, too. To say nothing of lions, and wolves..."
bonnie hopps,Wolves?
stu hopps,...weasels...
bonnie hopps,You play cribbage with a weasel.
stu hopps,"And he cheats like there's no tomorrow. You know what, pretty much all predators-- and Zootopia's full of `em."
bonnie hopps," Oh, Stu."
stu hopps,And foxes are the worst.
bonnie hopps," Actually, your father does have a point there. It's in their biology. Remember what happened with Gideon Grey."
judy,"When I was 9. Gideon Grey was a jerk, who happened to be a fox. I know plenty of bunnies who are jerks."
stu hopps,"Sure. Yeah, we all do. Absolutely. But just in case, we made you a little care package to take with you."
bonnie hopps,And I put some snacks in there.
stu hopps,This is fox deterrent.
bonnie hopps,Yeah that's safe to have there.
stu hopps,This is fox repellent...
bonnie hopps,"Okay, the deterrent and the repellent. That's all she needs."
stu hopps,Check this out!
bonnie hopps,"Oh for goodness sake. She has no need for a fox taser, Stu."
stu hopps,Oh c'mon. When is there not a need for a fox taser?
judy,"Okay, look-- I will take this to make you stop talking."
stu hopps,Terrific! Everyone wins!
train conductor,Arriving-- Zootopia Express!
judy,OK. Gotta go. Bye!
bonnie hopps,"Love you, too!"
stu hopps,"Oh cripes, here come the waterworks."
bonnie hopps,"Oh Stu, pull it together."
judy,Bye everybody!
cotton,"Bye, Judy! I love you!"
judy,Bye!
gazelle,I am Gazelle. Welcome to Zootopia!
dharma armadillo,"And welcome to the Grand Pangolin Arms. ""Luxury Apartments with Charm."""
hopps,Thank you!
kudu pootosser,Yeah? Well we're loud.
oryx pootosser,Don't expect us to apologize for it.
hopps,Greasy walls... rickety bed...
hopps,Crazy neighbors...  I love it!
leopard,C'mon! He bared his teeth first.
clawhauser,O-M goodness! They really did hire a bunny. What?! 
hopps," Ooo, uh, you probably didn't know, but a bunny can call another bunny ""cute,"" but when other animals do it, it's a little..."
clawhauser," I am so sorry. Me, Benjamin Clawhauser, the guy everyone thinks is just a flabby, donut-loving cop, stereotyping you...?"
hopps,"It's okay-- oh, you've actually you've actually got a-- there's a-- in your neck-- the fold-- the-- there's--"
clawhauser,"Oh, there you went, you little dickens!"
hopps," I should get to roll call, so... which way do I?"
clawhauser,Oh! Bullpen's over there to the left.
hopps,"Great, thank you!"
clawhauser, Aw... That poor little bunny's gonna get eaten alive.
hopps,Hey. Officer Hopps. You ready to make the world a better place?
bogo,"All right, all right. Everybody sit."
