8 Mile,
A.I.,
Angels & Demons,
Back to the Future,
Back to the Future II & III,
Batman and Robin,
Batman Begins,
Batman Forever,
Batman Returns,
Benny & Joon,
Blues Brothers, The
Bodies, Rest & Motion
Casablanca,
Celeste & Jesse Forever,
Clockwork Orange, A
Contact,
Courage Under Fire,
Cowboys & Aliens,
Dark Knight, The
Donnie Darko,
Equilibrium,
Executive Decision,
Eyes Wide Shut,
Full Metal Jacket,
Fury,
Ginger Snaps,
Goodfellas,
Harry Potter and the Chamber of Secrets,
Harry Potter and the Deathly Hallows Part 1,
Harry Potter and the Goblet of Fire,
Harry Potter and the Half-Blood Prince,
Harry Potter and the Prisoner of Azkaban,
Harry Potter and the Sorcerer's Stone,
How to Lose Friends & Alienate People,
Innerspace,
Jade,
Kate & Leopold,
Kill Bill Volume 1 & 2,
Kiss of the Spider Woman,
Lethal Weapon,
Lethal Weapon 4,
Lion King, The
Marley & Me,
Matchstick Men,
Monster's Ball,
Mr. Holland's Opus,Officer and a Gentleman, An
Outbreak
Papadopoulos & Sons
Robocop
Romeo & Juliet
Shadow of the Vampire
Sneakers
Speed
Superfights
Thelma & Louise
Troy
Unforgiven
Valentine's Day
Vertigo
When Harry Met Sally
