Speaker,Gender,Movie
sharon,female,10 Things I Hate About You
pepe,male,10 Things I Hate About You
bruce,male,10 Things I Hate About You
guy,male,10 Things I Hate About You
skippy,male,10 Things I Hate About You
clem,female,10 Things I Hate About You
trevor,male,10 Things I Hate About You
julienne,female,12
jim,male,12
debbie,female,12
barry,female,12
allen,male,12
sheridan,male,12
brenda,female,12
anthony,male,12
allen's voice,male,12
dave,male,12
son,male,12
tony,male,12
raven,female,127 Hours
wayne,male,127 Hours
mark,male,127 Hours
erik,male,127 Hours
sergeant,male,12 Monkeys
cole,male,12 Monkeys
teddy,female,12 Monkeys
wallace,male,12 Monkeys
sandy,female,12 Monkeys
scarface,male,12 Monkeys
jose,male,12 Monkeys
louis,male,12 Monkeys
terry,male,12 Monkeys
ben,male,12 Monkeys
louie,male,12 Monkeys
wayne,male,12 Monkeys
jeffrey,male,12 Monkeys
edward,male,12 Years a Slave
emily,female,12 Years a Slave
fitzgerald,male,12 Years a Slave
zachary,male,12 Years a Slave
margaret,female,12 Years a Slave
phebe,female,12 Years a Slave
alonzo,male,12 Years a Slave
bob,male,12 Years a Slave
haley,female,12 and Holding
rudy,male,12 and Holding
debbie,female,12 and Holding
gabe,male,12 and Holding
sara,female,12 and Holding
tommy,female,12 and Holding
jeff,male,12 and Holding
giacomo,male,1492  Conquest of Paradise
beatrix,female,1492  Conquest of Paradise
alonso,male,1492  Conquest of Paradise
fernando,male,1492  Conquest of Paradise
diego,male,1492  Conquest of Paradise
isabel,female,1492  Conquest of Paradise
duffy,male,15 Minutes
unique,female,15 Minutes
waiter,male,15 Minutes
max,male,15 Minutes
garcia,male,15 Minutes
paulie,female,15 Minutes
milos,male,15 Minutes
jordy,male,15 Minutes
ludwig,male,15 Minutes
stern,male,15 Minutes
mike,male,15 Minutes
louie,male,15 Minutes
murphy,male,15 Minutes
maggie,female,15 Minutes
christian,male,187
victor,male,187
stevie,male,187
cesar,male,187
walter,male,187
ellen,female,187
rita,female,187
paco,male,187
trevor,male,187
iris,female,187
benny,female,187
